"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L448","Not","SolrNet.AbstractSolrQuery.Not()SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","28","9","30","10","0","0","0","0","0","0","0","4","4","0","0","3","3","1","0","0","0","1","1","0","0","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L457","Required","SolrNet.AbstractSolrQuery.Required()SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","36","9","38","10","0","0","0","0","0","0","0","4","4","0","0","3","3","1","0","0","0","1","1","0","0","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L464","Boost","SolrNet.AbstractSolrQuery.Boost(double)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","45","9","47","10","0","0","0","0","0","0","0","5","5","0","0","3","3","1","0","0","0","1","1","1","0","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L475","op_BitwiseAnd","SolrNet.AbstractSolrQuery.operator &(SolrNet.AbstractSolrQuery, SolrNet.AbstractSolrQuery)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","52","9","58","10","0","0","0","0","0","0","0","3","3","0","0","7","7","3","0","0","0","0","5","2","0","3","7","7","5","0","0","0","0","0","0","0","0","0","0","0"
"L490","op_BitwiseOr","SolrNet.AbstractSolrQuery.operator |(SolrNet.AbstractSolrQuery, SolrNet.AbstractSolrQuery)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","67","9","73","10","0","0","0","0","0","0","0","7","7","0","0","7","7","3","0","0","0","0","5","2","0","7","7","7","5","0","0","0","0","0","0","0","0","0","0","0"
"L494","op_Addition","SolrNet.AbstractSolrQuery.operator +(SolrNet.AbstractSolrQuery, SolrNet.AbstractSolrQuery)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","78","9","84","10","0","0","0","0","0","0","0","3","3","0","0","7","7","3","0","0","0","0","5","2","0","3","7","7","5","0","0","0","0","0","0","0","0","0","0","0"
"L498","op_Subtraction","SolrNet.AbstractSolrQuery.operator -(SolrNet.AbstractSolrQuery, SolrNet.AbstractSolrQuery)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","89","9","95","10","0","0","0","0","0","0","0","3","3","0","0","7","7","3","0","0","0","1","5","2","0","3","7","7","5","0","0","0","0","0","0","0","0","0","0","0"
"L503","op_False","SolrNet.AbstractSolrQuery.operator false(SolrNet.AbstractSolrQuery)bool","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","100","9","102","10","0","0","0","0","0","0","0","3","3","0","0","3","3","1","0","0","0","0","1","1","0","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L506","op_True","SolrNet.AbstractSolrQuery.operator true(SolrNet.AbstractSolrQuery)bool","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","107","9","109","10","0","0","0","0","0","0","0","3","3","0","0","3","3","1","0","0","0","0","1","1","0","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L509","op_LogicalNot","SolrNet.AbstractSolrQuery.operator !(SolrNet.AbstractSolrQuery)SolrNet.AbstractSolrQuery","L440","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AbstractSolrQuery.cs","114","9","118","10","0","0","0","0","0","0","0","3","3","0","0","5","5","2","0","0","0","1","3","1","0","3","5","5","3","0","0","0","0","0","0","0","0","0","0","0"
"L516","get_Overwrite","SolrNet.AddParameters.Overwrite.getbool?","L511","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","30","34","30","38","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L524","set_Overwrite","SolrNet.AddParameters.Overwrite.setvoid","L511","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","30","39","30","43","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L534","get_CommitWithin","SolrNet.UpdateParameters.CommitWithin.getint?","L512","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","61","36","61","40","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L544","set_CommitWithin","SolrNet.UpdateParameters.CommitWithin.setvoid","L512","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AddParameters.cs","61","41","61","45","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L565","get_Field","SolrNet.AtomicUpdateSpec.Field.getstring","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","57","31","57","35","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L572","set_Field","SolrNet.AtomicUpdateSpec.Field.setvoid","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","57","36","57","48","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L574","get_Type","SolrNet.AtomicUpdateSpec.Type.getSolrNet.AtomicUpdateType","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","62","40","62","44","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L578","set_Type","SolrNet.AtomicUpdateSpec.Type.setvoid","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","62","45","62","57","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L580","get_Value","SolrNet.AtomicUpdateSpec.Value.getobject","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","67","31","67","35","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L584","set_Value","SolrNet.AtomicUpdateSpec.Value.setvoid","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","67","36","67","48","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L586",".ctor","SolrNet.AtomicUpdateSpec.AtomicUpdateSpec(string, SolrNet.AtomicUpdateType, string)void","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","75","9","80","10","0","0","0","0","0","0","0","6","6","0","0","6","6","1","0","0","0","3","3","3","0","6","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L594",".ctor","SolrNet.AtomicUpdateSpec.AtomicUpdateSpec(string, SolrNet.AtomicUpdateType, string[])void","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","88","9","93","10","0","0","0","0","0","0","0","6","6","0","0","6","6","1","0","0","0","3","3","3","0","6","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L601",".ctor","SolrNet.AtomicUpdateSpec.AtomicUpdateSpec(string, SolrNet.AtomicUpdateType, int)void","L563","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\AtomicUpdateSpec.cs","101","9","106","10","0","0","0","0","0","0","0","6","6","0","0","6","6","1","0","0","0","3","3","3","0","6","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L642","get_Label","SolrNet.Cluster.Label.getstring","L641","L103","D:\DataCollection\repos\SolrNet_SolrNet\SolrNet\ClusterResults.cs","13","31","13","35","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
