"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L23362","SqualrSettings","Squalr.SqualrSettings","L159","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\SqualrSettings.cs","8","5","25","6","1","1","0","0","0","0","0","0","0","0","6","0","6","0","0","0","12","18","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","3","0","2","0","2","1","3","0","5","0","6","12","18","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3138","Int16BigEndian","System.Int16BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","8","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3139","Int32BigEndian","System.Int32BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","12","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3140","Int64BigEndian","System.Int64BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","16","5","18","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3141","UInt16BigEndian","System.UInt16BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","20","5","22","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3142","UInt32BigEndian","System.UInt32BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","24","5","26","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3143","UInt64BigEndian","System.UInt64BigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","28","5","30","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3144","SingleBigEndian","System.SingleBigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","32","5","34","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3145","DoubleBigEndian","System.DoubleBigEndian","L3136","L103","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine.Utils\ScannableType.cs","36","5","38","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L10005","Session","Squalr.Engine.Session","L158","L10002","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine\Session.cs","10","5","25","6","1","1","0","0","0","0","0","0","0","0","10","0","10","0","0","0","8","16","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","1","0","1","0","2","1","3","0","4","0","10","8","16","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
