"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L23364","get_AutomaticUpdates","Squalr.SqualrSettings.AutomaticUpdates.getBoolean","L23362","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\SqualrSettings.cs","15","13","18","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","2","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L23371","set_AutomaticUpdates","Squalr.SqualrSettings.AutomaticUpdates.setvoid","L23362","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\SqualrSettings.cs","20","13","23","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","2","1","1","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L10010",".ctor","Squalr.Engine.Session.Session(System.Diagnostics.Process)void","L10005","L10002","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine\Session.cs","16","9","19","10","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","2","1","1","0","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L10016","get_SnapshotManager","Squalr.Engine.Session.SnapshotManager.getSqualr.Engine.Scanning.Snapshots.SnapshotManager","L10005","L10002","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine\Session.cs","24","50","24","54","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10013","set_SnapshotManager","Squalr.Engine.Session.SnapshotManager.setvoid","L10005","L10002","D:\DataCollection\repos\Squalr_Squalr\Squalr.Engine\Session.cs","24","55","24","67","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L23159","LoadImage","Squalr.Content.Images.LoadImage(String)BitmapImage","L23074","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Content\Images.cs","403","9","406","10","0","0","0","0","0","0","0","5","5","0","0","4","4","1","0","0","0","0","1","1","0","5","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L23196","get_Default","Squalr.Properties.Settings.Default.getSqualr.Properties.Settings","L23192","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\Settings.Designer.cs","21","13","23","14","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L23198","get_AutomaticUpdates","Squalr.Properties.Settings.AutomaticUpdates.getbool","L23192","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\Settings.Designer.cs","30","13","32","14","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L23199","set_AutomaticUpdates","Squalr.Properties.Settings.AutomaticUpdates.setvoid","L23192","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Properties\Settings.Designer.cs","33","13","35","14","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L23835","get_Session","Squalr.Source.SessionManager.Session.getSqualr.Engine.Session","L23832","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Source\SessionManager.cs","12","13","15","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L25549","set_Session","Squalr.Source.SessionManager.Session.setvoid","L23832","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Source\SessionManager.cs","17","13","20","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L26200","get_Project","Squalr.Source.SessionManager.Project.getSqualr.Engine.Projects.Project","L23832","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Source\SessionManager.cs","23","41","23","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L26192","set_Project","Squalr.Source.SessionManager.Project.setvoid","L23832","L23062","D:\DataCollection\repos\Squalr_Squalr\Squalr\Source\SessionManager.cs","23","46","23","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
