"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L6060","PacketQueue","PacketQueue","L100","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\MediaFramework\MediaDemuxer\Demuxer.cs","1508","1","1628","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","102","121","0","5","0","0","0","0","5","16","0","10","5","16","0","0","0","0","0","44","0","10","5","0","11","16","0","0","102","121","0","5","0","5","16","0","10","5","16","44","0","10","5","33","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2327","Config","FlyleafLib.Config","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Config.cs","24","1","782","2","0.047619","14","0","0","0","0","0","0","0","0","4","1","3","2","0","0","76","123","0","9","0","0","0","0","9","23","0","20","9","27","1","0","0","13","1","38","0","20","9","1","20","36","0","254","338","759","0","98","0","98","215","0","206","98","243","154","0","206","98","29","0","0","66","0","0","1","0","5","0","3","7","0","51"
"L3244","EngineConfig","FlyleafLib.EngineConfig","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Config.cs","787","1","940","2","0.939394","5","0","0","0","0","0","0","0","0","68","0","68","1","0","0","48","154","0","16","0","0","0","0","16","34","0","32","16","34","0","0","0","4","0","25","0","32","16","31","2","38","0","68","48","154","0","16","0","16","34","0","32","16","34","25","0","32","16","40","0","0","11","0","0","0","0","0","0","0","1","0","10"
"L3374","AudioEngine","FlyleafLib.AudioEngine","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Engine.Audio.cs","15","1","186","2","0.333333","5","0","0","0","0","0","0","0","0","21","0","20","7","0","0","118","156","0","7","0","0","0","0","7","25","0","17","7","25","0","0","0","3","0","49","0","17","7","6","12","28","0","21","118","172","0","7","0","7","25","0","17","7","25","49","0","17","7","40","0","0","6","0","0","0","0","1","0","0","1","0","4"
"L2332","Engine","FlyleafLib.Engine","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Engine.cs","15","1","336","2","1","12","0","0","0","0","0","0","0","0","40","0","38","3","0","0","225","271","0","7","0","0","0","0","7","27","0","11","7","27","0","0","0","17","0","101","0","11","7","12","0","44","0","40","225","322","0","7","0","7","27","0","11","7","27","101","0","11","7","53","0","0","7","0","0","1","0","1","0","2","0","0","4"
"L3283","FFmpegEngine","FlyleafLib.FFmpegEngine","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Engine.FFmpeg.cs","9","1","78","2","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","57","70","0","5","0","0","0","0","5","13","0","7","5","13","0","0","0","8","0","28","0","7","5","0","8","21","0","0","57","70","0","5","0","5","13","0","7","5","13","28","0","7","5","20","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L3514","PluginsEngine","FlyleafLib.PluginsEngine","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Engine.Plugins.cs","10","1","75","2","0.25","5","0","0","0","0","0","0","0","0","8","0","4","2","0","0","48","66","0","2","0","0","0","0","2","7","0","3","2","7","0","0","0","9","0","18","0","3","2","1","3","16","0","8","48","66","0","2","0","2","7","0","3","2","7","18","0","3","2","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3506","VideoEngine","FlyleafLib.VideoEngine","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Engine.Video.cs","11","1","138","2","0.714286","4","0","0","0","0","0","0","0","0","10","0","10","3","0","0","95","128","0","3","0","0","0","0","3","11","0","6","3","11","0","0","0","12","0","36","0","6","3","5","2","23","0","10","95","128","0","3","0","3","11","0","6","3","11","36","0","6","3","29","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L3755","GPUOutput","FlyleafLib.GPUOutput","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Globals.cs","63","1","83","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","21","0","8","0","0","0","0","8","17","0","10","8","17","0","0","0","1","0","2","0","10","8","0","11","18","0","0","19","21","0","8","0","8","17","0","10","8","17","2","0","10","8","18","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3743","GPUAdapter","FlyleafLib.GPUAdapter","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Globals.cs","85","1","103","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","19","0","10","0","0","0","0","10","21","0","11","10","21","0","0","0","0","0","0","0","11","10","0","12","21","0","0","16","19","0","10","0","10","21","0","11","10","21","0","0","11","10","21","0","0","6","0","0","0","0","0","0","0","1","0","5"
"L3994","PlayerStats","FlyleafLib.PlayerStats","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Globals.cs","196","1","202","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","0","0","8","4","0","9","8","0","0","7","7","0","4","0","4","8","0","8","4","8","0","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1323","NotifyPropertyChanged","FlyleafLib.NotifyPropertyChanged","L123","L103","D:\DataCollection\repos\SuRGeoNix_Flyleaf\FlyleafLib\Engine\Globals.cs","203","1","261","2","0","1","0","0","0","0","0","0","0","0","11","0","3","4","0","0","32","59","0","0","0","0","0","0","0","4","0","0","0","4","0","20","34","0","0","12","0","0","0","0","1","4","0","11","32","59","0","0","0","0","4","0","0","0","4","12","0","0","0","16","0","0","3","0","0","0","0","1","0","0","1","1","0"
