"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L44413","ExtensionMethods","UpdateResourceScript.ExtensionMethods","L44410","L44409","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateResourceScript\Program.cs","10","5","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","12","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","11","12","0","0","0","0","2","0","2","0","2","2","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L44421","Program","UpdateResourceScript.Program","L44410","L44409","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateResourceScript\Program.cs","23","5","129","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","36","44","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","5","0","18","0","0","0","0","1","6","0","8","90","107","0","4","0","4","6","0","5","0","6","48","0","5","0","4","0","0","3","0","0","1","0","0","1","0","2","0","0"
"L44515","CommandLineRunner","UpdateAssemblyInfo.CommandLineRunner","L44511","L44510","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateAssemblyInfo\CommandLineRunner.cs","6","5","68","6","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","53","63","0","1","0","0","0","0","1","4","0","3","1","4","0","0","0","0","0","17","0","3","1","0","4","4","0","1","53","63","0","1","0","1","4","0","3","1","4","17","0","3","1","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L44542","Program","UpdateAssemblyInfo.Program","L44511","L44510","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateAssemblyInfo\Program.cs","12","5","620","6","0","2","0","0","0","0","0","0","0","0","17","0","1","1","0","0","429","500","0","0","0","0","0","0","0","15","0","0","0","15","0","0","0","9","0","232","0","0","0","0","1","24","0","17","523","609","0","5","0","5","31","0","13","1","31","265","0","13","1","89","0","0","8","0","0","4","0","1","2","1","2","0","2"
"L122591","LanguageDeserializerGenerator","UpdateLanguageFiles.LanguageDeserializerGenerator","L122587","L116138","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateLanguageFiles\LanguageDeserializerGenerator.cs","7","5","128","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","60","122","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","29","0","1","0","0","2","2","0","0","60","122","0","0","0","0","2","0","1","0","2","29","0","1","0","13","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L122611","Program","UpdateLanguageFiles.Program","L122587","L116138","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateLanguageFiles\Program.cs","8","5","149","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","121","142","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","4","0","60","0","0","0","0","1","9","0","0","121","142","0","0","0","0","5","0","0","0","5","60","0","0","0","21","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L115880","Program","Nikse.SubtitleEdit.Program","L125","L44727","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\ui\Program.cs","9","5","114","6","0","1","0","0","0","0","0","0","0","0","7","0","4","2","0","0","79","106","0","0","0","0","0","0","0","4","0","0","0","4","0","0","0","1","0","27","0","0","0","0","1","5","0","7","79","106","0","0","0","0","4","0","0","0","4","27","0","0","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L44422","VersionInfoResource","UpdateResourceScript.Program.VersionInfoResource","L44421","L44409","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateResourceScript\Program.cs","25","9","89","10","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","54","65","0","4","0","0","0","0","4","5","0","5","0","5","0","0","0","1","0","30","0","5","0","0","6","6","0","8","54","65","0","4","0","4","5","0","5","0","5","30","0","5","0","15","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L44561","VersionInfo","UpdateAssemblyInfo.Program.VersionInfo","L44542","L44510","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\UpdateAssemblyInfo\Program.cs","39","9","149","10","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","94","111","0","5","0","0","0","0","5","16","0","13","1","16","0","0","0","0","0","33","0","13","1","0","14","16","0","0","94","111","0","5","0","5","16","0","13","1","16","33","0","13","1","37","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L122648","TagHelperRemoveTagTest","Test.Assa.TagHelperRemoveTagTest","L122641","L122640","D:\DataCollection\repos\SubtitleEdit_subtitleedit\src\Test\Assa\TagHelperRemoveTagTest.cs","6","5","48","6","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","39","43","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","5","0","15","0","5","0","0","6","10","0","0","39","43","0","0","0","0","5","0","5","0","5","15","0","5","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
