"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L118","FileConverterExtension","FileConverterExtension.FileConverterExtension","L104","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","20","5","328","6","0","5","0","0.157407","1","6","0","2","0.142395","0.144","8","0","0","3","44","36","233","298","0","2","0","0","0","0","2","9","0","0","0","9","0","0","0","13","0","103","0","0","0","0","1","22","0","8","245","309","0","2","0","2","10","0","1","0","10","106","0","1","0","38","0","0","21","0","0","0","17","1","0","0","2","0","1"
"L124","PresetReference","FileConverterExtension.PresetReference","L104","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","7","5","58","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","52","0","4","0","0","0","0","4","9","0","6","4","9","0","0","0","0","0","7","0","6","4","0","7","9","0","0","34","52","0","4","0","4","9","0","6","4","9","7","0","6","4","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L165","PathHelpers","FileConverterExtension.PathHelpers","L104","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\PathHelpers.cs","9","5","75","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","67","0","4","0","0","0","0","4","4","0","4","0","4","0","0","0","0","0","17","0","4","0","0","5","4","0","0","46","67","0","4","0","4","4","0","4","0","4","17","0","4","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L386","XmlHelpers","FileConverterExtension.XmlHelpers","L104","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\XmlHelpers.cs","10","5","74","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","55","65","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","18","0","2","0","0","3","2","0","0","55","65","0","0","0","0","2","0","2","0","2","18","0","2","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L768","ApplicationTerminateArgs","FileConverter.ApplicationTerminateArgs","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\ApplicationTerminateArgs.cs","5","5","17","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","13","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","9","13","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2052","ConversionSettings","FileConverter.ConversionSettings","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\ConversionPreset\ConversionSettings.cs","7","5","9","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1032","Helpers","FileConverter.Helpers","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\Helpers.cs","22","5","364","6","0.1","8","0","0","0","0","0","0","0","0","13","0","7","9","0","0","263","335","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","5","0","100","0","9","0","1","9","14","0","13","272","343","0","0","0","0","9","0","9","0","9","100","0","9","0","117","0","0","6","0","0","5","0","1","3","0","2","0","0"
"L1121","PathHelpers","FileConverter.PathHelpers","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\PathHelpers.cs","12","5","214","6","0","2","0","0","0","0","0","0","0","0","3","0","0","7","0","0","162","203","0","0","0","0","0","0","0","11","0","11","0","11","0","0","0","1","0","91","0","11","0","0","12","12","0","3","162","203","0","0","0","0","11","0","11","0","11","91","0","11","0","33","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2697","Registry","FileConverter.Registry","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\Registry.cs","10","5","205","6","0","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","132","172","0","3","0","0","0","0","3","9","0","5","1","9","0","0","0","8","0","58","0","5","1","0","6","17","0","1","152","196","0","5","0","5","14","0","10","3","14","60","0","10","3","24","0","0","3","0","0","0","0","0","0","0","3","0","0"
"L2566","Pages","FileConverter.Pages","L661","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\Pages.cs","5","5","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
