"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L164","get_DisplayPresetIcons","FileConverterExtension.FileConverterExtension.DisplayPresetIcons.getbool","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","45","13","59","14","0","0","0","0","0","0","0","0","0","0","0","13","15","3","0","0","0","1","6","0","0","0","13","15","6","0","0","0","0","0","0","0","0","0","0","0"
"L187","get_PresetReferences","FileConverterExtension.FileConverterExtension.PresetReferences.getFileConverterExtension.PresetReference[]","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","64","13","69","14","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","1","2","0","0","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L191","CanShowMenu","FileConverterExtension.FileConverterExtension.CanShowMenu()bool","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","72","9","89","10","0","0","0","0","0","0","0","0","0","0","0","16","18","4","0","0","0","3","7","0","0","0","16","18","7","0","0","0","0","0","0","0","0","0","0","0"
"L203","CreateMenu","FileConverterExtension.FileConverterExtension.CreateMenu()System.Windows.Forms.ContextMenuStrip","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","91","9","177","10","0","0","0","0","0","0","0","1","0","0","0","71","87","9","0","0","0","8","30","0","0","1","71","87","30","0","0","1","0","0","0","0","0","0","0","1"
"L192","RefreshExtensionCacheFromSelectedItems","FileConverterExtension.FileConverterExtension.RefreshExtensionCacheFromSelectedItems()void","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","179","9","195","10","0","0","0","0","0","0","0","1","0","0","0","13","17","3","0","0","0","0","7","0","0","1","13","17","7","0","0","0","0","0","0","0","0","0","0","0"
"L207","RefreshPresetList","FileConverterExtension.FileConverterExtension.RefreshPresetList()void","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","197","9","229","10","0","0","0","0","0","0","0","2","0","0","0","26","33","6","0","0","0","4","14","0","0","2","26","33","14","0","0","0","0","0","0","0","0","0","0","0"
"L188","LoadExtensionSettingsIfNecessary","FileConverterExtension.FileConverterExtension.LoadExtensionSettingsIfNecessary()void","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","231","9","259","10","0","0","0","0","0","0","0","2","0","0","0","25","29","5","0","0","0","2","8","0","0","2","25","29","8","0","0","0","0","0","0","0","0","0","0","0"
"L333","OpenSettings","FileConverterExtension.FileConverterExtension.OpenSettings()void","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","261","9","288","10","0.765766","1","3","0","1","0.785714","0.782609","1","0","22","18","23","28","3","0","0","0","1","11","0","0","1","23","28","11","0","0","7","0","0","0","7","0","0","0","0"
"L314","ConvertFiles","FileConverterExtension.FileConverterExtension.ConvertFiles(string)void","L118","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\FileConverterExtension.cs","290","9","327","10","0.508982","1","3","0","1","0.578947","0.5625","1","0","22","18","32","38","4","0","0","0","1","18","1","0","1","32","38","18","0","0","7","0","0","0","7","0","0","0","0"
"L444",".ctor","FileConverterExtension.PresetReference.PresetReference()void","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","13","9","15","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L312","get_FullName","FileConverterExtension.PresetReference.FullName.getstring","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","20","13","20","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","set_FullName","FileConverterExtension.PresetReference.FullName.setvoid","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","21","13","35","14","0","0","0","0","0","0","0","0","0","0","0","14","15","3","0","0","0","2","7","1","0","0","14","15","7","0","0","0","0","0","0","0","0","0","0","0"
"L196","get_InputTypes","FileConverterExtension.PresetReference.InputTypes.getstring[]","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","41","13","41","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L360","set_InputTypes","FileConverterExtension.PresetReference.InputTypes.setvoid","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","42","13","42","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L293","get_Name","FileConverterExtension.PresetReference.Name.getstring","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","48","13","48","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L457","set_Name","FileConverterExtension.PresetReference.Name.setvoid","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","49","13","49","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","get_Folders","FileConverterExtension.PresetReference.Folders.getstring[]","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","55","13","55","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L470","set_Folders","FileConverterExtension.PresetReference.Folders.setvoid","L124","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\ConversionPresetReference.cs","56","13","56","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L394","get_DefaultSettingsFilePath","FileConverterExtension.PathHelpers.DefaultSettingsFilePath.getstring","L165","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\PathHelpers.cs","18","13","27","14","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","1","4","0","0","0","9","10","4","0","0","0","0","0","0","0","0","0","0","0"
"L168","get_FileConverterRegistryKey","FileConverterExtension.PathHelpers.FileConverterRegistryKey.getMicrosoft.Win32.RegistryKey","L165","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\PathHelpers.cs","32","13","44","14","0","0","0","0","0","0","0","0","0","0","0","12","13","3","0","0","0","0","5","0","0","0","12","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L396","get_FileConverterPath","FileConverterExtension.PathHelpers.FileConverterPath.getstring","L165","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\PathHelpers.cs","49","13","57","14","0","0","0","0","0","0","0","0","0","0","0","8","9","2","0","0","0","1","3","0","0","0","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L506","get_GetUserDataFolderPath","FileConverterExtension.PathHelpers.GetUserDataFolderPath.getstring","L165","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\PathHelpers.cs","62","13","73","14","0","0","0","0","0","0","0","0","0","0","0","10","12","2","0","0","0","0","5","0","0","0","10","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L390","LoadFromFile","FileConverterExtension.XmlHelpers.LoadFromFile<T>(string, string, out T)void","L386","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\XmlHelpers.cs","12","9","39","10","0","0","0","0","0","0","0","0","0","0","0","24","28","2","0","0","0","0","8","3","0","0","24","28","8","0","0","0","0","0","0","0","0","0","0","0"
"L625","SaveToFile","FileConverterExtension.XmlHelpers.SaveToFile<T>(string, string, T)void","L386","L103","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverterExtension\XmlHelpers.cs","41","9","73","10","0","0","0","0","0","0","0","0","0","0","0","28","33","3","0","0","0","0","10","3","0","0","28","33","10","0","0","0","0","0","0","0","0","0","0","0"
"L769",".ctor","FileConverter.ApplicationTerminateArgs.ApplicationTerminateArgs(float)void","L768","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\ApplicationTerminateArgs.cs","7","9","10","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L776","get_RemainingTimeBeforeTermination","FileConverter.ApplicationTerminateArgs.RemainingTimeBeforeTermination.getfloat","L768","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\ApplicationTerminateArgs.cs","14","13","14","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L774","set_RemainingTimeBeforeTermination","FileConverter.ApplicationTerminateArgs.RemainingTimeBeforeTermination.setvoid","L768","L660","D:\DataCollection\repos\Tichau_FileConverter\Application\FileConverter\ApplicationTerminateArgs.cs","15","13","15","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
