"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L127","AudioProcesser","LMCSHD.AudioProcesser","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","9","5","192","6","0","3","0","0","0","0","0","0","0.293478","0.315068","4","0","0","2","54","46","147","184","0","0","0","0","0","0","0","10","0","7","0","10","0","0","0","1","0","63","0","7","0","0","8","11","0","4","148","184","0","0","0","0","11","0","8","0","11","63","0","8","0","27","0","0","19","0","0","0","17","1","0","0","1","0","0"
"L448","ImageProcesser","LMCSHD.ImageProcesser","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","9","5","102","6","0.08","1","0","0","0","0","0","0","0","0","2","0","2","2","0","0","80","94","0","9","0","0","0","0","9","24","0","24","9","24","0","0","0","0","0","36","0","24","9","2","23","24","0","2","81","94","0","9","0","9","24","0","24","9","24","36","0","24","9","32","0","0","8","0","0","0","0","1","0","0","1","0","6"
"L621","MainWindow","LMCSHD.MainWindow","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\MainWindowAudio.cs","10","5","287","6","0","18","0","0.147777","3","30","0","8","0.197842","0.211618","35","0","3","21","55","51","1050","1316","0","38","0","0","0","0","38","143","0","76","37","143","0","0","0","55","0","497","0","76","37","0","77","198","0","35","1050","1329","0","38","0","38","143","0","76","37","143","497","0","76","37","259","0","0","106","0","0","3","74","1","2","9","1","0","19"
"L1235","MatrixConnection","LMCSHD.MatrixConnection","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\MatrixConnection.xaml.cs","16","5","99","6","0.5","3","0","0","0","0","0","0","0","0","4","0","3","4","0","0","78","84","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","4","0","35","0","1","0","1","1","12","0","4","78","84","0","0","0","0","8","0","1","0","8","35","0","1","0","18","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L1070","ScreenRecorder","LMCSHD.ScreenRecorder","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ScreenRecorder.cs","8","5","89","6","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","65","82","0","4","0","0","0","0","4","22","0","19","4","22","0","0","0","1","0","23","0","19","4","0","20","23","0","0","65","82","0","4","0","4","23","0","20","4","23","23","0","20","4","24","0","0","5","0","0","1","0","1","0","0","1","0","3"
"L1196","SerialManager","LMCSHD.SerialManager","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\SerialManager.cs","8","5","310","6","0","4","0","0","0","0","0","0","0","0","3","0","0","2","0","0","279","303","0","1","0","0","0","0","1","12","0","9","1","12","0","0","0","6","0","146","0","9","1","0","10","18","0","3","280","303","0","1","0","1","13","0","10","1","13","146","0","10","1","50","0","0","6","0","0","1","0","1","1","0","1","0","3"
"L1578","ExportWindow","LMCSHD.ExportWindow","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ExportWindow.xaml.cs","10","5","80","6","0.5","2","0","0","0","0","0","0","0","0","28","0","3","2","0","0","35","71","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","4","0","14","0","1","0","1","1","8","0","28","35","71","0","0","0","0","4","0","1","0","4","14","0","1","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1529","MatrixDimensions","LMCSHD.MatrixDimensions","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\MatrixDimensions.xaml.cs","15","5","68","6","0.166667","1","0","0","0","0","0","0","0","0","3","0","3","2","0","0","42","54","0","2","0","0","0","0","2","8","0","5","2","8","0","0","0","1","0","14","0","5","2","1","5","9","0","3","42","54","0","2","0","2","8","0","5","2","8","14","0","5","2","11","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1668","App","LMCSHD.App","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\App.xaml.cs","6","5","6","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L762","MatrixFrame","LMCSHD.MatrixFrame","L104","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\MatrixFrame.cs","11","5","279","6","0.214286","8","0","0","0","0","0","0","0","0","18","0","5","3","0","0","218","269","0","7","0","0","0","0","7","30","0","27","6","30","0","0","0","9","0","111","0","27","6","6","22","39","0","18","218","269","0","7","0","7","32","0","29","6","32","111","0","29","6","82","0","0","9","0","0","4","0","1","2","0","1","0","5"
