"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L199","SetupAudioProcessor","LMCSHD.AudioProcesser.SetupAudioProcessor(LMCSHD.AudioProcesser.Callback)void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","35","9","49","10","0","0","0","0","0","0","0","0","0","0","0","13","15","3","0","0","0","0","6","1","0","0","13","15","6","0","0","0","0","0","0","0","0","0","0","0"
"L233","Dispose","LMCSHD.AudioProcesser.Dispose()void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","51","9","55","10","0","0","0","0","0","0","0","0","0","0","0","5","5","2","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L243","GetDefaultDevice","LMCSHD.AudioProcesser.GetDefaultDevice(NAudio.CoreAudioApi.DataFlow)NAudio.CoreAudioApi.MMDevice","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","57","9","67","10","0","0","0","0","0","0.181818","0.181818","0","0","2","2","11","11","2","0","0","0","0","3","1","0","0","11","11","3","0","0","2","0","0","0","2","0","0","0","0"
"L263","GetActiveDevices","LMCSHD.AudioProcesser.GetActiveDevices()NAudio.CoreAudioApi.MMDeviceCollection","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","69","9","72","10","0","0","0","0","0","1","1","0","0","4","4","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","2","0","0","0","2","0","0","0","0"
"L274","BeginCapture","LMCSHD.AudioProcesser.BeginCapture(LMCSHD.AudioProcesser.Callback, int)void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","74","9","101","10","0","0","0","0","0","0.678571","0.73913","0","0","19","17","23","28","4","0","0","0","1","11","2","0","0","23","28","11","0","0","4","0","0","0","4","0","0","0","0"
"L341","StopRecording","LMCSHD.AudioProcesser.StopRecording()void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","103","9","111","10","0","0","0","0","0","0.666667","0.666667","0","0","6","6","9","9","2","0","0","0","1","4","0","0","0","9","9","4","0","0","2","0","0","0","2","0","0","0","0"
"L345","WaveIn_RecordingStopped","LMCSHD.AudioProcesser.WaveIn_RecordingStopped(object, NAudio.Wave.StoppedEventArgs)void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","113","9","116","10","0","0","0","0","0","1","1","0","0","4","4","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","2","0","0","0","2","0","0","0","0"
"L348","OnDataAvailable","LMCSHD.AudioProcesser.OnDataAvailable(object, NAudio.Wave.WaveInEventArgs)void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","118","9","129","10","0","0","0","0","0","1","1","0","0","12","11","11","12","2","0","0","0","1","6","2","0","0","11","12","6","0","0","3","0","0","0","3","0","0","0","0"
"L373","FftCalculated","LMCSHD.AudioProcesser.FftCalculated()void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","131","9","166","10","0","0","0","0","0","0.0555556","0.08","4","0","2","2","26","36","5","0","0","0","1","16","0","0","4","26","36","16","0","0","0","0","0","0","0","0","0","0","0"
"L371","AddSample","LMCSHD.AudioProcesser.AddSample(float)void","L127","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\AudioProcesser.cs","168","9","191","10","0","0","0","0","0","0","0","0","0","0","0","23","24","5","0","0","0","1","13","1","0","0","23","24","13","0","0","0","0","0","0","0","0","0","0","0"
"L455","get_ImageLoadState","LMCSHD.ImageProcesser.ImageLoadState.getLMCSHD.ImageProcesser.LoadState","L448","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","12","50","12","54","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L458","set_ImageLoadState","LMCSHD.ImageProcesser.ImageLoadState.setvoid","L448","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","12","55","12","59","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L460","get_ImageRect","LMCSHD.ImageProcesser.ImageRect.getSystem.Drawing.Rectangle","L448","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","13","45","13","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L466","set_ImageRect","LMCSHD.ImageProcesser.ImageRect.setvoid","L448","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","13","50","13","54","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L468","get_WorkingBitmap","LMCSHD.ImageProcesser.WorkingBitmap.getSystem.Drawing.Bitmap","L448","L103","D:\DataCollection\repos\TylerTimoJ_LMCSHD\LMCSHD\LMCSHD\ImageProcesser.cs","14","46","14","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
