"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L504",".ctor","UnigramBridge.CustomContextMenu.CustomContextMenu()void","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","29","9","32","10","0","0","0","0","0","0","0","1","1","0","0","3","4","1","0","0","0","0","0","0","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L506","get_IsMainMenu","UnigramBridge.CustomContextMenu.IsMainMenu.getbool","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","38","13","38","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L508","set_IsMainMenu","UnigramBridge.CustomContextMenu.IsMainMenu.setvoid","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","39","13","39","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L510","get_MenuItemHeight","UnigramBridge.CustomContextMenu.MenuItemHeight.getint","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","45","13","45","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L512","set_MenuItemHeight","UnigramBridge.CustomContextMenu.MenuItemHeight.setvoid","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","46","13","46","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L514","get_MenuItemWidth","UnigramBridge.CustomContextMenu.MenuItemWidth.getint","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","52","13","52","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L516","set_MenuItemWidth","UnigramBridge.CustomContextMenu.MenuItemWidth.setvoid","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","53","13","53","43","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L518","get_MenuItemTextColor","UnigramBridge.CustomContextMenu.MenuItemTextColor.getSystem.Drawing.Color","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","59","13","59","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L520","set_MenuItemTextColor","UnigramBridge.CustomContextMenu.MenuItemTextColor.setvoid","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","60","13","60","47","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L522","get_PrimaryColor","UnigramBridge.CustomContextMenu.PrimaryColor.getSystem.Drawing.Color","L464","L103","D:\DataCollection\repos\UnigramDev_Unigram\Telegram.Stub\ThemedContextMenu.cs","66","13","66","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
