"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L223","Constants","StyleCop.Constants","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\Constants.cs","23","5","59","6","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","10","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","10","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","AlertDialog","StyleCop.AlertDialog","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AlertDialog.cs","30","5","170","6","1","3","0","0","0","0","0","0","0","0","48","0","41","1","0","0","68","141","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","9","0","34","0","1","0","2","0","12","0","48","68","141","0","0","0","0","3","0","1","0","3","34","0","1","0","11","0","0","1","0","0","0","0","0","0","0","0","0","1"
"L387","AddSettingsPagesEventArgs","StyleCop.AddSettingsPagesEventArgs","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AddSettingsPagesEventArgs.cs","26","5","87","6","1","2","0","0","0","0","0","0","0","0","21","0","21","1","0","0","27","62","0","2","0","0","0","0","2","4","0","3","0","4","0","0","0","2","0","7","0","3","0","4","0","6","0","21","27","62","0","2","0","2","4","0","3","0","4","7","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L422","AutoUpdater","StyleCop.AutoUpdater","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AutoUpdater.cs","31","5","260","6","1","9","0","0","0","0","0","0","0","0","38","0","33","1","0","0","68","151","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","14","0","23","0","1","0","2","0","18","0","59","106","230","0","7","0","7","20","0","17","7","20","29","0","17","7","10","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L759","CodeReader","StyleCop.CodeReader","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","27","5","225","6","0.857143","1","0","0","0","0","0","0","0","0","55","0","45","1","0","0","94","199","0","0","0","0","0","0","0","7","0","6","0","7","0","0","0","4","0","41","0","6","0","6","1","11","0","55","94","199","0","0","0","0","7","0","6","0","7","41","0","6","0","19","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L852","ItemList","StyleCop.ItemList<T>","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\ItemList.cs","30","5","343","6","0.941176","10","0","0","0","0","0","0","0","0","121","1","121","1","0","0","136","314","0","5","0","0","0","0","3","21","0","16","2","32","1","1","1","12","1","48","0","27","2","16","1","33","0","121","136","314","0","5","0","3","21","0","16","2","32","48","0","27","2","33","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L973","LinkedItemList","StyleCop.LinkedItemList<T>","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\LinkedItemList.cs","32","5","968","6","1","9","0","0.196651","1","8","0","2","0.102455","0.155789","311","0","266","1","96","74","466","937","0","4","0","0","0","0","4","38","0","30","0","38","0","0","0","21","0","229","0","30","0","31","0","59","0","311","466","937","0","4","0","4","38","0","30","0","38","229","0","30","0","88","0","0","24","0","0","0","18","0","0","2","0","0","4"
"L1188","LinkedItemListEnumerators","StyleCop.LinkedItemListEnumerators<T>","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\LinkedItemListEnumerators{T}.cs","30","5","652","6","1","0","0","0.245333","1","16","0","4","0.134831","0.271186","6","0","6","0","84","80","4","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","170","288","623","0","4","0","4","36","0","28","0","36","88","0","28","0","0","0","0","58","0","0","0","52","4","0","0","0","0","2"
"L830","Node","StyleCop.Node<T>","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\Node{T}.cs","26","5","197","6","1","3","0","0","0","0","0","0","0","0","49","0","45","2","0","0","85","172","0","5","0","0","0","0","5","11","0","5","3","11","0","0","0","6","0","24","0","5","3","6","0","17","0","49","85","172","0","5","0","5","11","0","5","3","11","24","0","5","3","15","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L1469","CacheOptions","StyleCop.CacheOptions","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CacheOptions.cs","32","5","802","6","1","14","0","0.102482","1","2","0","2","0.0596628","0.0674603","105","1","84","4","46","34","496","771","0","4","0","0","0","0","2","25","0","11","1","34","1","0","0","19","1","245","0","20","2","12","0","44","0","105","496","771","0","4","0","2","25","0","11","1","34","245","0","20","2","89","0","0","20","0","0","3","9","1","2","2","0","0","6"
"L1980","Countdown","StyleCop.Countdown","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Countdown.cs","23","5","128","6","0.857143","0","0","0","0","0","0","0","0","0","37","0","37","1","0","0","51","106","0","1","0","0","0","0","1","6","0","6","0","6","0","0","0","0","0","16","0","6","0","6","1","6","0","37","51","106","0","1","0","1","6","0","6","0","6","16","0","6","0","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2876","NativeMethods","StyleCop.NativeMethods","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\NativeMethods.cs","26","5","83","6","1","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","15","8","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","3","17","58","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4454","UnixNativeMethods","StyleCop.UnixNativeMethods","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\UnixNativeMethods.cs","25","5","71","6","1","1","0","0","0","0","0","0","0","0","7","0","7","1","0","0","18","28","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","5","0","0","0","1","0","2","0","7","34","47","0","0","0","0","2","0","0","0","2","5","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4489","PropertyDialog","StyleCop.PropertyDialog","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Settings\PropertyDialog.cs","32","5","364","6","1","11","0","0.250193","2","12","0","4","0.279279","0.444444","135","1","105","4","93","72","219","429","0","1","0","0","0","0","1","14","0","5","0","16","1","0","0","16","1","105","0","7","0","6","0","30","0","139","219","429","0","1","0","1","15","0","6","0","17","105","0","8","0","28","0","0","29","0","0","0","26","1","0","1","0","0","1"
"L4705","V105Settings","StyleCop.V105Settings","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Settings\v105Settings.cs","28","5","591","6","1","16","0","0.873823","11","67","0","13","0.583333","0.864407","183","0","153","1","329","255","291","539","0","0","0","0","0","0","0","13","0","2","0","13","0","0","0","22","0","152","0","2","0","3","0","35","0","183","298","564","0","0","0","0","13","0","2","0","13","152","0","2","0","68","0","0","79","0","0","3","78","0","0","1","0","0","0"
"L4912","StyleCopRunner","StyleCop.StyleCopRunner","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\StyleCopRunner.cs","29","5","357","6","0.5","11","0","0","0","0","0","0","0","0","71","0","57","2","0","0","187","329","0","4","0","0","0","0","4","13","0","1","2","13","0","2","2","25","0","95","0","1","2","1","1","38","0","71","187","329","0","4","0","4","13","0","1","2","13","95","0","1","2","34","0","0","4","0","0","0","0","1","0","2","1","0","0"
"L5070","StyleCopObjectConsole","StyleCop.StyleCopObjectConsole","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\StyleCopObjectConsole.cs","33","5","209","6","0.75","9","0","0.266174","1","5","0","1","0.112994","0.215054","64","1","61","2","20","20","94","177","0","4","0","0","0","0","0","5","0","3","0","18","1","0","0","23","1","45","0","4","2","3","1","28","0","64","94","177","0","4","0","0","5","0","3","0","18","45","0","4","2","13","0","0","14","0","0","0","11","1","0","1","1","0","0"
"L5074","ObjectBasedEnvironment","StyleCop.ObjectBasedEnvironment","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\ObjectBasedEnvironment.cs","48","5","529","6","1","12","0","0.44668","4","21","0","4","0.242739","0.418502","195","1","174","8","117","95","222","482","0","5","0","0","0","0","2","17","0","16","0","37","1","0","0","13","1","105","0","35","1","17","0","30","0","195","224","482","0","5","0","2","17","0","16","0","37","105","0","35","1","45","0","0","37","0","0","0","34","1","0","1","0","0","1"
"L5320","CoreParser","StyleCop.CoreParser","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CoreParser.cs","27","5","49","6","1","5","0","0","0","0","0","0","0","0","19","3","19","1","0","0","8","23","0","11","0","0","0","0","0","1","0","1","0","50","3","0","0","1","2","2","0","36","0","2","0","2","0","19","8","23","0","11","0","0","1","0","1","0","50","2","0","36","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0"
"L5340","DocumentAnalysisStatus","StyleCop.DocumentAnalysisStatus","L104","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\DocumentAnalysisStatus.cs","23","5","90","6","1","2","0","0","0","0","0","0","0","0","12","0","12","0","0","0","34","68","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","2","0","9","0","6","3","7","0","8","0","12","34","68","0","3","0","3","6","0","6","3","6","9","0","6","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
