"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L241","Show","StyleCop.AlertDialog.Show(StyleCop.StyleCopCore, System.Windows.Forms.Control, string, string, System.Windows.Forms.MessageBoxButtons, System.Windows.Forms.MessageBoxIcon)System.Windows.Forms.DialogResult","L239","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AlertDialog.cs","56","9","81","10","0","0","0","0","0","0","0","26","24","0","0","22","26","3","0","0","0","7","12","6","0","26","22","26","12","0","0","1","0","0","0","0","0","0","0","1"
"L275","DisplayMessageBox","StyleCop.AlertDialog.DisplayMessageBox(System.Windows.Forms.Control, string, string, System.Windows.Forms.MessageBoxButtons, System.Windows.Forms.MessageBoxIcon)System.Windows.Forms.DialogResult","L239","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AlertDialog.cs","104","9","136","10","0","0","0","0","0","0","0","3","0","0","0","27","33","4","0","0","0","2","13","5","0","3","27","33","13","0","0","0","0","0","0","0","0","0","0","0"
"L298","SendToOutput","StyleCop.AlertDialog.SendToOutput(StyleCop.StyleCopCore, string, System.Windows.Forms.MessageBoxIcon)void","L239","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AlertDialog.cs","150","9","169","10","0","0","0","0","0","0","0","14","12","0","0","16","20","4","0","0","0","5","9","3","0","14","16","20","9","0","0","0","0","0","0","0","0","0","0","0"
"L401",".ctor","StyleCop.AddSettingsPagesEventArgs.AddSettingsPagesEventArgs(string)void","L387","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AddSettingsPagesEventArgs.cs","44","9","48","10","0","0","0","0","0","0","0","6","6","0","0","5","5","1","0","0","0","1","2","1","0","6","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L405","get_Pages","StyleCop.AddSettingsPagesEventArgs.Pages.getSystem.Collections.Generic.IEnumerable<StyleCop.IPropertyControlPage>","L387","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AddSettingsPagesEventArgs.cs","55","13","58","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L412","get_SettingsPath","StyleCop.AddSettingsPagesEventArgs.SettingsPath.getstring","L387","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AddSettingsPagesEventArgs.cs","66","13","69","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L414","Add","StyleCop.AddSettingsPagesEventArgs.Add(StyleCop.IPropertyControlPage)void","L387","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AddSettingsPagesEventArgs.cs","78","9","86","10","0","0","0","0","0","0","0","6","6","0","0","8","9","2","0","0","0","1","3","1","0","6","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L426",".ctor","StyleCop.AutoUpdater.AutoUpdater(StyleCop.StyleCopCore)void","L422","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AutoUpdater.cs","58","9","63","10","0","0","0","0","0","0","0","6","6","0","0","5","6","1","0","0","0","1","2","1","0","6","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L430","CheckForUpdate","StyleCop.AutoUpdater.CheckForUpdate()void","L422","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AutoUpdater.cs","68","9","82","10","0","0","0","0","0","0","0","5","3","0","0","12","15","2","0","0","0","3","4","0","0","5","12","15","4","0","0","0","0","0","0","0","0","0","0","0"
"L452","PromptUserForDownload","StyleCop.AutoUpdater.PromptUserForDownload(string, string, string)bool","L422","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AutoUpdater.cs","99","9","134","10","0","0","0","0","0","0","0","17","15","0","0","30","36","3","0","0","0","5","8","3","0","17","30","36","8","0","0","0","0","0","0","0","0","0","0","0"
"L450","ProcessResponse","StyleCop.AutoUpdater.ProcessResponse(string)void","L422","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\AutoUpdater.cs","142","9","162","10","0","0","0","0","0","0","0","7","6","0","0","16","21","4","0","0","0","7","9","1","0","7","16","21","9","0","0","0","0","0","0","0","0","0","0","0"
"L651",".ctor","StyleCop.CodeLocation.CodeLocation(int, int, int, int, int, int)void","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","69","9","89","10","0","0","0","0","0","0","0","1","0","0","0","16","21","2","0","0","0","4","10","6","0","1","16","21","10","0","0","1","0","0","0","0","0","0","0","1"
"L685","get_EndPoint","StyleCop.CodeLocation.EndPoint.getStyleCop.CodePoint","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","97","13","100","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L686","get_LineNumber","StyleCop.CodeLocation.LineNumber.getint","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","108","13","111","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","1","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L690","get_LineSpan","StyleCop.CodeLocation.LineSpan.getint","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","120","13","123","14","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","1","1","0","0","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L696","get_StartPoint","StyleCop.CodeLocation.StartPoint.getStyleCop.CodePoint","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","131","13","134","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L698","Join","StyleCop.CodeLocation.Join(StyleCop.CodeLocation?, StyleCop.CodeLocation?)StyleCop.CodeLocation?","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","149","9","194","10","0","0","0","0","0","0","0","13","12","0","0","40","46","7","0","0","0","7","18","2","0","13","40","46","18","0","0","0","0","0","0","0","0","0","0","0"
"L735","Join","StyleCop.CodeLocation.Join(StyleCop.CodeLocation, StyleCop.CodeLocation?)StyleCop.CodeLocation","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","208","9","243","10","0","0","0","0","0","0","0","13","12","0","0","32","36","4","0","0","0","7","14","2","0","13","32","36","14","0","0","0","0","0","0","0","0","0","0","0"
"L738","Join","StyleCop.CodeLocation.Join(StyleCop.CodeLocation, StyleCop.CodeLocation)StyleCop.CodeLocation","L638","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeLocation.cs","257","9","287","10","0","0","0","0","0","0","0","13","12","0","0","28","31","3","0","0","0","7","12","2","0","13","28","31","12","0","0","0","0","0","0","0","0","0","0","0"
"L682",".ctor","StyleCop.CodePoint.CodePoint(int, int, int)void","L647","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodePoint.cs","51","9","65","10","0","0","0","0","0","0","0","0","0","0","0","14","15","1","0","0","0","2","6","3","0","0","14","15","6","0","0","0","0","0","0","0","0","0","0","0"
"L732","get_Index","StyleCop.CodePoint.Index.getint","L647","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodePoint.cs","72","13","75","14","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L717","get_IndexOnLine","StyleCop.CodePoint.IndexOnLine.getint","L647","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodePoint.cs","89","13","92","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L688","get_LineNumber","StyleCop.CodePoint.LineNumber.getint","L647","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodePoint.cs","100","13","108","14","0","0","0","0","0","0","0","3","3","0","0","8","9","2","0","0","0","0","3","0","0","3","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L754","Join","StyleCop.CodePoint.Join(StyleCop.CodePoint, StyleCop.CodePoint)StyleCop.CodePoint","L647","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodePoint.cs","117","9","145","10","0","0","0","0","0","0","0","7","6","0","0","25","29","9","0","0","0","4","11","2","0","7","25","29","11","0","0","0","0","0","0","0","0","0","0","0"
"L770",".ctor","StyleCop.CodeReader.CodeReader(System.IO.TextReader)void","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","60","9","64","10","0","0","0","0","0","0","0","6","6","0","0","5","5","1","0","0","0","1","2","1","0","6","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L774","Peek","StyleCop.CodeReader.Peek()char","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","70","9","78","10","0","0","0","0","0","0","0","4","4","0","0","8","9","2","0","0","0","1","3","0","0","4","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L785","Peek","StyleCop.CodeReader.Peek(int)char","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","89","9","100","10","0","0","0","0","0","0","0","0","0","0","0","10","12","2","0","0","0","2","4","1","0","0","10","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L791","ReadNext","StyleCop.CodeReader.ReadNext()char","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","106","9","114","10","0","0","0","0","0","0","0","4","4","0","0","8","9","2","0","0","0","1","3","0","0","4","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L796","ReadNext","StyleCop.CodeReader.ReadNext(int)char[]","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","125","9","141","10","0","0","0","0","0","0","0","9","9","0","0","14","17","3","0","0","0","2","7","1","0","9","14","17","7","0","0","0","0","0","0","0","0","0","0","0"
"L799","ReadString","StyleCop.CodeReader.ReadString(int)string","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","152","9","163","10","0","0","0","0","0","0","0","9","9","0","0","10","12","2","0","0","0","2","5","1","0","9","10","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L781","LoadBuffer","StyleCop.CodeReader.LoadBuffer(int)bool","L759","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\CodeReader.cs","175","9","224","10","0","0","0","0","0","0","0","20","10","0","0","31","50","7","0","0","0","1","17","1","0","20","31","50","17","0","0","0","0","0","0","0","0","0","0","0"
"L828","get_First","StyleCop.INodeList<T>.First.getStyleCop.Node<T>","L821","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\INodeList{T}.cs","36","25","36","29","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L833","get_Last","StyleCop.INodeList<T>.Last.getStyleCop.Node<T>","L821","L103","D:\DataCollection\repos\Visual-Stylecop_Visual-StyleCop\Project\Src\StyleCop\Collections\INodeList{T}.cs","41","24","41","28","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
