"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L3048","WindowsFirewall","WindowsGSM.WindowsFirewall","L115","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","7","5","101","6","0.166667","0","0","0","0","0","0","0","0","0","2","0","1","4","0","0","84","43","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","8","0","5","0","1","5","5","0","2","84","95","0","0","0","0","5","0","5","0","5","8","0","5","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L4461","App","WindowsGSM.App","L115","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\App.xaml.cs","19","5","99","6","1","1","0","0","0","0","0","0","0","0","5","0","3","1","0","0","53","54","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0","19","0","0","0","1","0","3","0","5","53","81","0","0","0","0","2","0","0","0","2","19","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5102","Program","WindowsGSM.Program","L115","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Program.cs","10","5","60","6","0","4","0","0","0","0","0","0","0","0","5","0","0","1","0","0","44","38","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","3","0","16","0","1","0","0","2","4","0","5","44","51","0","0","0","0","1","0","1","0","1","16","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L333","MainWindow","WindowsGSM.MainWindow","L115","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\MainWindow.xaml.cs","37","5","4038","6","0.047619","31","0","0.0287534","2","22","0","4","0.0269865","0.0295877","143","0","31","53","108","94","3133","3589","0","0","0","0","0","0","0","163","0","20","0","163","0","0","0","108","0","1729","0","20","0","1","20","271","0","143","3178","4002","0","0","0","0","163","0","20","0","163","1729","0","20","0","663","0","0","85","0","0","29","31","1","10","11","3","0","29"
"L7083","Program","WindowsGSM_Plugin_Development.Program","L7081","L6972","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM-Plugin-Development\Program.cs","12","5","116","6","0","0","0","0","0","0","0","0","0","0","9","0","0","1","0","0","83","105","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","58","0","0","0","0","1","2","0","9","83","105","0","0","0","0","2","0","0","0","2","58","0","0","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L116","AdminListItem","WindowsGSM.DiscordBot.AdminListItem","L104","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\DiscordBot\AdminListItem.cs","3","5","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","0","0","4","2","0","5","4","0","0","5","5","0","2","0","2","4","0","4","2","4","0","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L136","Bot","WindowsGSM.DiscordBot.Bot","L104","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\DiscordBot\Bot.cs","13","2","142","3","0","2","0","0","0","0","0","0","0","0","4","0","0","1","0","0","109","114","0","0","0","0","0","0","0","7","0","5","0","7","0","0","0","3","0","30","0","5","0","0","6","10","0","4","109","130","0","0","0","0","7","0","5","0","7","30","0","5","0","20","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L196","Commands","WindowsGSM.DiscordBot.Commands","L104","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\DiscordBot\Commands.cs","12","5","443","6","0","3","0","0.147095","1","10","0","2","0.125","0.136126","5","0","0","2","54","52","385","268","0","0","0","0","0","0","0","16","0","1","0","16","0","0","0","7","0","110","0","1","0","0","2","23","0","5","385","432","0","0","0","0","16","0","1","0","16","110","0","1","0","60","0","0","34","0","0","1","30","1","1","1","1","0","0"
"L155","Configs","WindowsGSM.DiscordBot.Configs","L104","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\DiscordBot\Configs.cs","8","5","166","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","143","159","0","0","0","0","0","0","0","14","0","14","0","14","0","0","0","0","0","51","0","14","0","0","15","14","0","0","143","159","0","0","0","0","14","0","14","0","14","51","0","14","0","26","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L878","BackupConfig","WindowsGSM.Functions.BackupConfig","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\BackupConfig.cs","11","5","59","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","38","46","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","1","0","16","0","2","0","0","3","4","0","0","43","49","0","0","0","0","3","0","2","0","3","16","0","2","0","10","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L993","DirectoryManagement","WindowsGSM.Functions.DirectoryManagement","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\DirectoryManagement.cs","7","5","24","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","8","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","18","18","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1007","FileManagement","WindowsGSM.Functions.FileManagement","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\FileManagement.cs","9","5","82","6","0.75","0","0","0","0","0","0","0","0","0","18","0","18","3","0","0","53","38","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","3","0","3","0","3","1","3","0","18","53","74","0","0","0","0","3","0","3","0","3","3","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1053","Github","WindowsGSM.Functions.Github","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\Github.cs","11","5","77","6","1","0","0","0","0","0","0","0","0","0","14","0","10","2","0","0","46","67","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","19","0","2","0","3","0","2","0","14","46","67","0","0","0","0","2","0","2","0","2","19","0","2","0","6","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L1096","GoogleAnalytics","WindowsGSM.Functions.GoogleAnalytics","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\GoogleAnalytics.cs","13","5","206","6","0","1","0","0","0","0","0","0","0","0","3","0","0","8","0","0","160","115","0","0","0","0","0","0","0","10","0","8","0","10","0","0","0","0","0","37","0","8","0","0","9","10","0","3","160","194","0","0","0","0","10","0","8","0","10","37","0","8","0","21","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1296","Plugin","WindowsGSM.Functions.Plugin","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\Plugin.cs","3","5","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1303","PluginMetadata","WindowsGSM.Functions.PluginMetadata","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\PluginManagement.cs","14","5","20","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1317","PluginManagement","WindowsGSM.Functions.PluginManagement","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\PluginManagement.cs","22","5","135","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","103","114","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","2","0","50","0","6","0","0","7","8","0","0","103","114","0","0","0","0","6","0","6","0","6","50","0","6","0","16","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L1486","ProcessManagement","WindowsGSM.Functions.ProcessManagement","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\ProcessManagement.cs","11","5","33","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","23","8","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","23","23","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1508","ServerAddon","WindowsGSM.Functions.ServerAddon","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\ServerAddon.cs","6","5","200","6","0","4","0","0.380446","1","10","0","2","0.317949","0.345238","0","0","0","2","62","58","167","195","0","0","0","0","0","0","0","7","0","7","0","7","0","0","0","3","0","84","0","7","0","0","8","10","0","0","167","195","0","0","0","0","7","0","7","0","7","84","0","7","0","36","0","0","21","0","0","0","19","1","0","0","1","0","0"
"L1556","ServerCache","WindowsGSM.Functions.ServerCache","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\ServerCache.cs","6","5","79","6","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","64","74","0","0","0","0","0","0","0","9","0","6","0","9","0","0","0","1","0","26","0","6","0","0","7","10","0","0","64","74","0","0","0","0","9","0","6","0","9","26","0","6","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1590","ServerConsole","WindowsGSM.Functions.ServerConsole","L852","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Functions\ServerConsole.cs","10","5","192","6","0","0","0","0","0","0","0","0","0","0","15","0","0","6","0","0","146","161","0","0","0","0","0","0","0","16","0","12","0","16","0","0","0","0","0","35","0","12","0","0","13","16","0","15","146","183","0","0","0","0","16","0","12","0","16","35","0","12","0","33","0","0","2","0","0","0","0","1","0","0","1","0","0"
