"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L3051",".ctor","WindowsGSM.WindowsFirewall.WindowsFirewall(string, string)void","L3048","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","12","9","16","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L3053","IsRuleExist","WindowsGSM.WindowsFirewall.IsRuleExist()System.Threading.Tasks.Task<bool>","L3048","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","18","9","41","10","0","0","0","0","0","0","0","0","0","0","0","22","5","1","0","0","0","0","1","0","0","0","22","24","1","0","0","0","0","0","0","0","0","0","0","0"
"L3055","AddRule","WindowsGSM.WindowsFirewall.AddRule()System.Threading.Tasks.Task<bool>","L3048","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","43","9","62","10","0","0","0","0","0","0","0","0","0","0","0","20","5","1","0","0","0","0","1","0","0","0","20","20","1","0","0","0","0","0","0","0","0","0","0","0"
"L4457","RemoveRule","WindowsGSM.WindowsFirewall.RemoveRule()void","L3048","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","64","9","75","10","0","0","0","0","0","0","0","1","0","0","0","11","12","2","0","0","0","0","3","0","0","1","11","12","3","0","0","0","0","0","0","0","0","0","0","0"
"L4458","RemoveRuleEx","WindowsGSM.WindowsFirewall.RemoveRuleEx()void","L3048","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\WindowsFirewall.cs","78","9","100","10","0","0","0","0","0","0","0","1","1","0","0","21","5","1","0","0","0","0","1","0","0","1","21","23","1","0","0","0","0","0","0","0","0","0","0","0"
"L4469","SetForegroundWindow","WindowsGSM.App.SetForegroundWindow(System.IntPtr)bool","L4461","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\App.xaml.cs","21","9","22","69","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4471","OnStartup","WindowsGSM.App.OnStartup(System.Windows.StartupEventArgs)void","L4461","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\App.xaml.cs","24","9","98","10","0","0","0","0","0","0","0","2","0","0","0","37","48","7","0","0","0","2","19","1","0","2","37","75","19","0","0","0","0","0","0","0","0","0","0","0"
"L5103","Main","WindowsGSM.Program.Main()void","L5102","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\Program.cs","12","9","59","10","0","0","0","0","0","0","0","5","0","0","0","41","35","8","0","0","0","3","16","0","0","5","41","48","16","0","0","0","0","0","0","0","0","0","0","0"
"L5329","ShowWindow","WindowsGSM.MainWindow.ShowWindow(System.IntPtr, WindowsGSM.MainWindow.WindowShowStyle)bool","L333","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\MainWindow.xaml.cs","39","9","40","86","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5335","SetWindowText","WindowsGSM.MainWindow.SetWindowText(System.IntPtr, string)int","L333","L103","D:\DataCollection\repos\WindowsGSM_WindowsGSM\WindowsGSM\MainWindow.xaml.cs","42","9","43","81","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
