"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L4132","GlobalMembersStdafx","GlobalMembersStdafx","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AAAberration.cs","2","1","6","2","0","96","0","0","0","0","0","0","0","0","67","0","0","2","0","0","848","1272","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","304","0","618","0","2","0","0","3","306","0","67","848","1272","0","0","0","0","2","0","2","0","2","618","0","2","0","21","0","0","15","0","0","2","0","1","1","4","1","0","8"
"L4157","CAAAberration","CAAAberration","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AAAberration.cs","42","1","127","2","0.5","6","0","0","0","0","0","0","0","0","34","0","30","2","0","0","62","86","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","2","0","48","0","3","0","2","2","5","0","34","62","86","0","0","0","0","3","0","3","0","3","48","0","3","0","4","0","0","2","0","0","2","0","1","0","0","1","0","0"
"L4154","AberrationCoefficient","AberrationCoefficient","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AAAberration.cs","134","1","188","2","0.5","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","52","55","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","23","0","1","0","1","1","1","0","1","52","55","0","0","0","0","1","0","1","0","1","23","0","1","0","1","0","0","2","0","0","1","0","0","0","0","1","0","1"
"L4271","CAAAngularSeparation","CAAAngularSeparation","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AAAngularSeparation.cs","31","1","145","2","0.4","1","0","0","0","0","0","0","0","0","26","0","26","3","0","0","93","115","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","3","0","69","0","4","0","2","3","7","0","26","93","115","0","0","0","0","4","0","4","0","4","69","0","4","0","9","0","0","4","0","0","1","0","1","0","0","1","0","2"
"L4305","CAABinaryStarDetails","CAABinaryStarDetails","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AABinaryStar.cs","30","1","44","2","1","0","0","0","0","0","0","0","0","0","25","0","25","0","0","0","12","15","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","3","0","1","0","2","0","1","0","25","12","15","0","0","0","0","1","0","1","0","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4316","CAABinaryStar","CAABinaryStar","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AABinaryStar.cs","46","1","96","2","0.333333","3","0","0","0","0","0","0","0","0","3","0","3","2","0","0","38","51","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","29","0","2","0","1","2","7","0","3","38","51","0","0","0","0","2","0","2","0","2","29","0","2","0","2","0","0","3","0","0","1","0","1","0","0","1","0","1"
"L4232","CAACoordinateTransformation","CAACoordinateTransformation","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AACoordinateTransformation.cs","71","1","233","2","0.166667","1","0","0","0","0","0","0","0","0","8","0","5","7","0","0","131","163","0","0","0","0","0","0","0","17","0","17","0","17","0","0","0","0","0","74","0","17","0","3","15","17","0","8","131","163","0","0","0","0","17","0","17","0","17","74","0","17","0","25","0","0","3","0","0","0","0","1","0","0","1","0","1"
"L4400","CAACalendarDate","CAACalendarDate","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AADate.cs","67","1","86","2","0.666667","0","0","0","0","0","0","0","0","0","61","0","61","0","0","0","18","20","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","2","1","2","0","61","18","20","0","0","0","0","2","0","2","0","2","6","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4414","CAADate","CAADate","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AADate.cs","89","1","474","2","0.558824","3","0","0","0","0","0","0","0","0","48","0","38","4","0","0","302","378","0","0","0","0","0","0","0","33","0","33","0","33","0","0","0","2","0","175","0","33","0","19","15","35","0","48","304","386","0","0","0","0","33","0","33","0","33","175","0","33","0","56","0","0","9","0","0","2","0","1","0","0","1","0","7"
"L4556","CAADiameters","CAADiameters","L100","L4131","D:\DataCollection\repos\WorldWideTelescope_wwt-windows-client\WWTCore\WWTCore\Astrocalc\AADiameters.cs","31","1","157","2","0.0740741","2","0","0","0","0","0","0","0","0","28","0","27","23","0","0","118","127","0","0","0","0","0","0","0","26","0","26","0","26","0","0","0","4","0","37","0","26","0","2","25","30","0","28","118","127","0","0","0","0","26","0","26","0","26","37","0","26","0","26","0","0","5","0","0","0","0","1","0","0","1","0","3"
