"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L11234","UseCultureAttribute","UseCultureAttribute","L100","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","12","1","86","2","0.857143","0","0","0","0","0","0","0","0","0","34","0","34","1","0","0","31","75","0","2","0","0","0","0","2","6","0","6","0","6","0","0","0","0","0","16","0","6","0","6","1","6","0","34","31","75","0","2","0","2","6","0","6","0","6","16","0","6","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3226","ReferenceEqualityComparer","Parquet.ReferenceEqualityComparer<T>","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","8","5","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","6","0","1","0","0","0","0","1","3","0","3","0","3","0","0","0","0","0","0","0","3","0","0","4","3","0","0","5","6","0","1","0","1","3","0","3","0","3","0","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3239","CollectionExtensions","Parquet.CollectionExtensions","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","15","5","126","6","0.166667","1","0","0","0","0","0","0","0","0","5","0","3","5","0","0","50","73","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","32","0","5","0","1","5","5","0","5","80","112","0","1","0","1","13","0","11","1","13","42","0","11","1","21","0","0","4","0","0","0","0","2","0","0","2","0","0"
"L3464","OtherExtensions","Parquet.OtherExtensions","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\OtherExtensions.cs","8","5","79","6","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","50","72","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","0","0","24","0","9","0","0","10","9","0","0","50","72","0","0","0","0","9","0","9","0","9","24","0","9","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3662","ThriftExtensions","Parquet.ThriftExtensions","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\ThriftExtensions.cs","10","5","31","6","0.2","6","0","0","0","0","0","0","0","0","3","0","3","4","0","0","18","22","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","8","0","6","0","4","0","1","4","12","0","3","18","22","0","0","0","0","4","0","4","0","4","6","0","4","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3685","TypeExtensions","Parquet.TypeExtensions","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\TypeExtensions.cs","8","5","165","6","0.142857","0","0","0","0","0","0","0","0","0","12","0","9","10","0","0","117","158","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","0","0","57","0","13","0","2","12","13","0","12","117","158","0","0","0","0","13","0","13","0","13","57","0","13","0","53","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L5028","Globals","Parquet.Globals","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Globals.cs","7","5","19","6","1","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","4","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","4","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6652","ParquetActor","Parquet.ParquetActor","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\ParquetActor.cs","15","5","66","6","1","4","0","0","0","0","0","0","0","0","10","0","8","1","0","0","29","52","0","0","0","0","0","0","0","4","0","0","0","4","0","2","2","4","0","14","0","0","0","1","0","8","0","10","29","52","0","0","0","0","4","0","0","0","4","14","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2448","ParquetException","Parquet.ParquetException","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\ParquetException.cs","8","4","24","5","1","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","6","17","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","0","0","3","0","4","0","3","0","6","6","17","0","0","0","0","3","0","3","0","3","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6697","ParquetExtensions","Parquet.ParquetExtensions","L104","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\ParquetExtensions.cs","23","5","230","6","1","14","0","0","0","0","0","0","0","0","48","0","46","6","0","0","135","208","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","16","0","74","0","9","0","10","0","25","0","48","136","208","0","0","0","0","9","0","9","0","9","74","0","9","0","26","0","0","2","0","0","1","0","1","0","1","0","0","0"
