"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L11247",".ctor","UseCultureAttribute.UseCultureAttribute(string)void","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","31","5","32","37","0","0","0","0","0","0","0","11","11","0","0","2","2","1","0","0","0","1","0","1","0","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L11249",".ctor","UseCultureAttribute.UseCultureAttribute(string, string)void","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","40","5","43","6","0","0","0","0","0","0","0","6","6","0","0","4","4","1","0","0","0","0","2","2","0","6","4","4","2","0","0","0","0","0","0","0","0","0","0","0"
"L11271","get_Culture","UseCultureAttribute.Culture.getSystem.Globalization.CultureInfo","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","48","34","48","63","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","1","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L11275","get_UICulture","UseCultureAttribute.UICulture.getSystem.Globalization.CultureInfo","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","53","36","53","67","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","1","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L11277","Before","UseCultureAttribute.Before(System.Reflection.MethodInfo)void","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","61","5","70","6","0","0","0","0","0","0","0","6","6","0","0","8","10","1","0","0","0","2","6","1","0","6","8","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L11308","After","UseCultureAttribute.After(System.Reflection.MethodInfo)void","L11234","L9680","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet.Test\Reader\UseCultureAttribute.cs","77","5","85","6","0","0","0","0","0","0","0","5","5","0","0","8","9","3","0","0","0","0","6","1","0","5","8","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L3231","get_Default","Parquet.ReferenceEqualityComparer<T>.Default.getIEqualityComparer<T>","L3226","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","9","54","9","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3234","Equals","Parquet.ReferenceEqualityComparer<T>.Equals(T?, T?)bool","L3226","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","11","9","11","65","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3237","GetHashCode","Parquet.ReferenceEqualityComparer<T>.GetHashCode(T)int","L3226","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","12","9","12","74","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L3240","TrimTail","Parquet.CollectionExtensions.TrimTail(IList, int)void","L3239","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","16","9","25","10","0","0","0","0","0","0","0","1","0","0","0","9","10","4","0","0","0","0","6","2","0","1","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L3246","TrimHead","Parquet.CollectionExtensions.TrimHead(IList, int)void","L3239","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","27","9","34","10","0","0","0","0","0","0","0","0","0","0","0","7","8","4","0","0","0","0","4","2","0","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L3249","Batch","Parquet.CollectionExtensions.Batch<T>(IEnumerable<T>, int)IEnumerable<IEnumerable<T>>","L3239","L103","D:\DataCollection\repos\aloneguid_parquet-dotnet\src\Parquet\Extensions\CollectionExtensions.cs","39","9","61","10","0","0","0","0","0","0","0","4","3","0","0","16","23","6","0","0","0","0","13","2","0","4","16","23","13","0","0","0","0","0","0","0","0","0","0","0"
