"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L131","AlphaSelector","ColorBox.AlphaSelector","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","20","5","137","6","0","1","0","0","0","0","0","0","0","0","1","1","0","3","0","0","92","118","0","4","0","0","0","0","2","13","0","5","2","17","1","0","0","2","1","44","0","8","4","0","6","15","0","1","92","118","0","4","0","2","13","0","5","2","17","44","0","8","4","21","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L132","BaseSelector","ColorBox.BaseSelector","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BaseSelector.cs","20","5","37","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","18","0","2","0","0","0","0","2","4","0","3","2","4","0","3","3","0","0","4","0","3","2","0","4","4","0","0","13","18","0","2","0","2","4","0","3","2","4","4","0","3","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L386","BrushChangedEventArgs","ColorBox.BrushChangedEventArgs","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BrushChangedEventArgs.cs","6","5","20","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","15","0","1","0","0","0","0","1","3","0","3","1","3","0","0","0","0","0","4","0","3","1","0","4","3","0","0","12","15","0","1","0","1","3","0","3","1","3","4","0","3","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L405","ColorBox","ColorBox.ColorBox","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","26","5","837","6","0.125","6","0","0","0","0","0","0","0","0","25","0","3","8","0","0","560","812","0","30","0","0","0","0","30","92","0","15","27","92","0","0","0","4","0","302","0","15","27","2","14","96","0","25","560","812","0","30","0","30","92","0","15","27","92","302","0","15","27","146","0","0","17","0","0","1","0","1","1","3","1","0","11"
"L1014","ColorChangedEventArgs","ColorBox.ColorChangedEventArgs","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorChangedEventArgs.cs","18","5","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","15","0","1","0","0","0","0","1","3","0","3","1","3","0","0","0","0","0","4","0","3","1","0","4","3","0","0","12","15","0","1","0","1","3","0","3","1","3","4","0","3","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1066","DoubleUpDown","ColorBox.DoubleUpDown","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\DoubleUpDown.cs","19","5","195","6","0","6","0","0","0","0","0","0","0","0","0","2","0","1","0","0","134","177","0","14","0","0","0","0","0","13","0","1","0","91","2","0","0","16","2","66","0","28","14","0","2","29","0","0","134","177","0","14","0","0","15","0","3","0","93","66","0","30","14","42","0","0","3","0","0","0","0","0","0","0","1","1","1"
"L1290","GradientStopAdder","ColorBox.GradientStopAdder","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\GradientStopAdder.cs","22","5","80","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","49","59","0","1","0","0","0","0","1","4","0","2","1","4","0","0","0","5","0","28","0","2","1","0","3","9","0","1","49","59","0","1","0","1","4","0","2","1","4","28","0","2","1","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1428","GradientStopSlider","ColorBox.GradientStopSlider","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\GradientStopSlider.cs","20","5","72","6","0","1","0","0","0","0","0","0","0","0","6","0","0","1","0","0","35","53","0","2","0","0","0","0","2","6","0","4","2","6","0","0","0","3","0","16","0","4","2","0","5","9","0","6","35","53","0","2","0","2","6","0","4","2","6","16","0","4","2","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1457","HueSelector","ColorBox.HueSelector","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\HueSelector.cs","20","5","142","6","0","2","0","0","0","0","0","0","0","0","1","1","0","3","0","0","97","123","0","4","0","0","0","0","2","13","0","5","2","17","1","0","0","3","1","49","0","8","4","0","6","16","0","1","97","123","0","4","0","2","13","0","5","2","17","49","0","8","4","21","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1500","SaturationBrightnessSelector","ColorBox.SaturationBrightnessSelector","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\SaturationBrightnessSelector.cs","19","5","173","6","0","2","0","0","0","0","0","0","0","0","1","1","0","4","0","0","115","155","0","8","0","0","0","0","6","24","0","17","6","28","1","0","0","2","1","62","0","20","8","0","18","26","0","1","115","155","0","8","0","6","24","0","17","6","28","62","0","20","8","29","0","0","6","0","0","0","0","1","0","0","1","0","4"
"L1583","SpinEventArgs","ColorBox.SpinEventArgs","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\SpinEventArgs.cs","16","5","29","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","14","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","1","0","1","0","2","1","0","3","4","0","0","11","14","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1594","Spinner","ColorBox.Spinner","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\Spinner.cs","19","5","45","6","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","23","27","0","1","0","0","0","0","1","5","0","3","1","5","0","0","0","0","0","8","0","3","1","0","4","5","0","0","23","27","0","1","0","1","5","0","3","1","5","8","0","3","1","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1628","TextBoxBehavior","ColorBox.TextBoxBehavior","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Utils\TextBoxBehavior.cs","10","5","63","6","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","46","54","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","0","0","21","0","2","0","0","3","5","0","0","46","54","0","0","0","0","5","0","2","0","5","21","0","2","0","11","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1067","UpDownBase","ColorBox.UpDownBase","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\UpDownBase.cs","22","5","740","6","0","8","0","0","0","0","0","0","0","0","10","1","0","7","0","0","500","719","0","14","0","0","0","0","14","77","0","26","14","78","1","1","1","6","1","182","0","27","14","0","27","83","0","10","501","719","0","14","0","14","77","0","26","14","78","182","0","27","14","137","0","0","15","0","0","2","0","1","2","2","1","0","9"
"L880","ColorHelper","ColorBox.ColorHelper","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Utils\ColorHelper.cs","20","5","180","6","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","131","161","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","109","0","6","0","0","7","6","0","0","131","161","0","0","0","0","6","0","6","0","6","109","0","6","0","41","0","0","3","0","0","2","0","1","1","0","1","0","0"
"L1947","InputValidationErrorEventArgs","ColorBox.InputValidationErrorEventArgs","L104","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Utils\InputValidationErrorEventArgs.cs","21","5","55","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","35","0","2","0","0","0","0","2","5","0","4","2","5","0","0","0","0","0","5","0","4","2","0","5","5","0","0","26","35","0","2","0","2","5","0","4","2","5","5","0","4","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
