"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L156","get_Alpha","ColorBox.AlphaSelector.Alpha.getdouble","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","24","13","24","60","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L172","set_Alpha","ColorBox.AlphaSelector.Alpha.setvoid","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","25","13","25","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L181","AlphaChanged","ColorBox.AlphaSelector.AlphaChanged(object, System.Windows.DependencyPropertyChangedEventArgs)void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","30","9","35","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L193","AlphaCoerce","ColorBox.AlphaSelector.AlphaCoerce(System.Windows.DependencyObject, object)object","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","36","9","42","10","0","0","0","0","0","0","0","0","0","0","0","7","7","3","0","0","0","0","6","2","0","0","7","7","6","0","0","0","0","0","0","0","0","0","0","0"
"L210","get_AlphaOffset","ColorBox.AlphaSelector.AlphaOffset.getdouble","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","47","13","47","66","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L213","set_AlphaOffset","ColorBox.AlphaSelector.AlphaOffset.setvoid","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","48","13","48","66","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L215","OnMouseMove","ColorBox.AlphaSelector.OnMouseMove(System.Windows.Input.MouseEventArgs)void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","54","9","70","10","0","0","0","0","0","0","0","0","0","0","0","16","17","3","0","0","0","2","6","1","0","0","16","17","6","0","0","0","0","0","0","0","0","0","0","0"
"L262","OnMouseDown","ColorBox.AlphaSelector.OnMouseDown(System.Windows.Input.MouseButtonEventArgs)void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","72","9","89","10","0","0","0","0","0","0","0","0","0","0","0","17","18","3","0","0","0","2","7","1","0","0","17","18","7","0","0","0","0","0","0","0","0","0","0","0"
"L274","OnMouseUp","ColorBox.AlphaSelector.OnMouseUp(System.Windows.Input.MouseButtonEventArgs)void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","91","9","95","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L281","OnRender","ColorBox.AlphaSelector.OnRender(System.Windows.Media.DrawingContext)void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","97","9","115","10","0","0","0","0","0","0","0","0","0","0","0","13","19","2","0","0","0","2","9","1","0","0","13","19","9","0","0","0","0","0","0","0","0","0","0","0"
"L350","ArrangeOverride","ColorBox.AlphaSelector.ArrangeOverride(System.Windows.Size)System.Windows.Size","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","117","9","121","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L189","SetAlphaOffset","ColorBox.AlphaSelector.SetAlphaOffset()void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","124","9","130","10","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","3","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L191","SetColor","ColorBox.AlphaSelector.SetColor()void","L131","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\AlphaSelector.cs","132","9","136","10","0","0","0","0","0","0","0","1","0","0","0","4","5","1","0","0","0","2","1","0","0","1","4","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L236","get_Orientation","ColorBox.BaseSelector.Orientation.getSystem.Windows.Controls.Orientation","L132","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BaseSelector.cs","24","13","24","71","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L380","set_Orientation","ColorBox.BaseSelector.Orientation.setvoid","L132","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BaseSelector.cs","25","13","25","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L382","get_Color","ColorBox.BaseSelector.Color.getSystem.Windows.Media.Color","L132","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BaseSelector.cs","32","13","32","59","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L368","set_Color","ColorBox.BaseSelector.Color.setvoid","L132","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BaseSelector.cs","33","13","33","62","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L390",".ctor","ColorBox.BrushChangedEventArgs.BrushChangedEventArgs(System.Windows.RoutedEvent, System.Windows.Media.Brush)void","L386","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BrushChangedEventArgs.cs","8","9","12","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L402","get_Brush","ColorBox.BrushChangedEventArgs.Brush.getSystem.Windows.Media.Brush","L386","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BrushChangedEventArgs.cs","17","13","17","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L399","set_Brush","ColorBox.BrushChangedEventArgs.Brush.setvoid","L386","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\BrushChangedEventArgs.cs","18","13","18","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L418","get_CurrentColorTextBox","ColorBox.ColorBox.CurrentColorTextBox.getSystem.Windows.Controls.TextBox","L405","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","40","13","40","17","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L424","set_CurrentColorTextBox","ColorBox.ColorBox.CurrentColorTextBox.setvoid","L405","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","41","13","41","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L426",".cctor","ColorBox.ColorBox.ColorBox()void","L405","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","44","9","47","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L450","OnApplyTemplate","ColorBox.ColorBox.OnApplyTemplate()void","L405","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","52","9","64","10","0","0","0","0","0","0","0","0","0","0","0","11","13","2","0","0","0","2","6","0","0","0","11","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L496","CurrentColorTextBox_PreviewKeyDown","ColorBox.ColorBox.CurrentColorTextBox_PreviewKeyDown(object, System.Windows.Input.KeyEventArgs)void","L405","L103","D:\DataCollection\repos\antonpup_Aurora\Project-Aurora\ColorBox\Implementation\ColorBox.cs","66","9","76","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","1","4","2","0","0","11","11","4","0","0","0","0","0","0","0","0","0","0","0"
