"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L4243","Build","Build","L100","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.Clean.cs","6","1","21","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","224","272","0","1","0","0","0","0","1","12","0","0","1","12","0","0","0","0","0","60","0","0","1","0","1","12","0","0","224","272","0","1","0","1","12","0","0","1","12","60","0","0","1","29","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L4307","BuilderExtensions","BuilderExtensions","L100","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\BuilderExtensions.cs","5","1","32","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","24","28","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","9","0","3","0","0","4","4","0","0","24","28","0","0","0","0","4","0","3","0","4","9","0","3","0","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L121","ExternalCommandAssemblyBuilder","RpsRuntime.ExternalCommandAssemblyBuilder","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ExternalCommandAssemblyBuilder.cs","15","5","62","6","1","1","0","0","0","0","0","0","0","0","18","0","10","1","0","0","35","48","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","25","0","1","0","2","0","1","0","18","35","48","0","0","0","0","1","0","1","0","1","25","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L298","RpsConfig","RpsRuntime.RpsConfig","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsConfig.cs","10","5","44","6","0.75","2","0","0","0","0","0","0","0","0","10","1","10","1","0","0","23","35","0","0","0","0","0","0","0","3","0","3","0","5","1","0","0","1","1","6","0","5","0","3","1","4","0","10","23","35","0","0","0","0","3","0","3","0","5","6","0","5","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L348","RpsExternalApplicationBase","RpsRuntime.RpsExternalApplicationBase","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","28","5","262","6","1","2","0","0.181818","1","4","0","1","0.140426","0.166667","68","0","58","2","33","27","163","235","0","0","0","0","0","0","0","11","0","0","0","11","0","0","0","4","0","80","0","0","0","1","0","15","0","68","163","235","0","0","0","0","11","0","0","0","11","80","0","0","0","30","0","0","12","0","0","0","11","1","0","0","0","0","0"
"L595","RpsExternalCommandBase","RpsRuntime.RpsExternalCommandBase","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalCommandBase.cs","13","5","82","6","1","2","0","0.536986","1","4","0","1","0.471429","0.55102","13","0","10","1","33","27","51","70","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","3","0","27","0","0","0","1","0","5","0","13","51","70","0","0","0","0","2","0","0","0","2","27","0","0","0","8","0","0","12","0","0","0","12","0","0","0","0","0","0"
"L214","RpsExternalCommandScriptBase","RpsRuntime.RpsExternalCommandScriptBase","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalCommandScriptBase.cs","15","5","103","6","0.333333","2","0","0.568116","1","4","0","1","0.370787","0.473684","19","0","17","1","33","27","59","89","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","4","0","27","0","2","0","1","2","7","0","19","59","89","0","0","0","0","3","0","2","0","3","27","0","2","0","9","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L508","ScriptExecutor","RpsRuntime.ScriptExecutor","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ScriptExecutor.cs","16","5","212","6","0.428571","4","0","0","0","0","0","0","0","0","31","0","17","2","0","0","136","197","0","1","0","0","0","0","1","10","0","6","0","10","0","0","0","4","0","75","0","6","0","3","4","14","0","31","136","197","0","1","0","1","10","0","6","0","10","75","0","6","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L684","ErrorReporter","RpsRuntime.ErrorReporter","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ScriptExecutor.cs","215","5","228","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","14","0","1","0","0","0","0","1","2","0","2","0","2","0","0","0","0","0","2","0","2","0","0","3","2","0","0","9","14","0","1","0","1","2","0","2","0","2","2","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L666","ScriptOutput","RpsRuntime.ScriptOutput","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ScriptOutput.cs","5","5","12","6","0","0","0","0","0","0","0","0","0","0","14","0","8","2","0","0","44","70","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","25","0","1","0","0","2","3","0","14","44","70","0","0","0","0","3","0","1","0","3","25","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L674","ScriptOutputStream","RpsRuntime.ScriptOutputStream","L104","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ScriptOutputStream.cs","18","5","216","6","0.230769","1","0","0","0","0","0","0","0","0","28","0","16","4","0","0","135","195","0","5","0","0","0","0","5","16","0","12","1","16","0","0","0","0","0","66","0","12","1","3","10","16","0","28","135","199","0","5","0","5","16","0","12","1","16","66","0","12","1","29","0","0","2","0","0","0","0","1","0","0","1","0","0"
