"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L4272",".ctor","Build.Build(_, output)void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.cs","18","12","18","28","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4281",".ctor","Build.Build()void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.cs","20","17","21","1","0","0","0","0","0","0","0","0","0","0","0","3","5","1","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0"
"L4322","get_GitHubToken","Build.GitHubToken.getstring","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","13","46","13","50","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4325","set_GitHubToken","Build.GitHubToken.setvoid","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","13","51","13","55","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4332","CreateChangelog","Build.CreateChangelog(string)string","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","51","5","81","6","0","0","0","0","0","0","0","0","0","0","0","25","31","7","0","0","0","0","20","1","0","0","25","31","20","0","0","0","0","0","0","0","0","0","0","0"
"L4335","CheckTags","Build.CheckTags(string, string, string)void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","83","5","90","6","0","0","0","0","0","0","0","0","0","0","0","7","8","2","0","0","0","0","3","3","0","0","7","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L4341","GetProductVersion","Build.GetProductVersion(IEnumerable<string>)string","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","92","5","113","6","0","0","0","0","0","0","0","0","0","0","0","20","22","5","0","0","0","0","15","1","0","0","20","22","15","0","0","0","0","0","0","0","0","0","0","0"
"L4347","UploadArtifacts","Build.UploadArtifacts(Release, IEnumerable<string>)void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","115","5","128","6","0","0","0","0","0","0","0","0","0","0","0","14","14","2","0","0","0","0","4","2","0","0","14","14","4","0","0","0","0","0","0","0","0","0","0","0"
"L4353","CreatedDraft","Build.CreatedDraft(string, string, NewRelease)Release","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","130","5","133","21","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","0","3","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L4360","ReleaseDraft","Build.ReleaseDraft(string, string, Release)void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.GitHubRelease.cs","135","5","140","6","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","1","3","0","0","6","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L4365","ParseProcessOutput","Build.ParseProcessOutput(string)void","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.Installer.cs","43","5","60","6","0","0","0","0","0","0","0","0","0","0","0","17","18","3","0","0","0","0","8","1","0","0","17","18","8","0","0","0","0","0","0","0","0","0","0","0"
"L4372","BuildExeArguments","Build.BuildExeArguments(IReadOnlyList<string>)string","L4243","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\Build.Installer.cs","62","5","74","6","0","0","0","0","0","0","0","0","0","0","0","12","13","4","0","0","0","0","9","1","0","0","12","13","9","0","0","0","0","0","0","0","0","0","0","0"
"L4386","GetProject","BuilderExtensions.GetProject(Solution, string)Project","L4307","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\BuilderExtensions.cs","7","5","8","120","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4310","GetBinDirectory","BuilderExtensions.GetBinDirectory(Project)AbsolutePath","L4307","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\BuilderExtensions.cs","10","5","10","99","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4393","GetExePath","BuilderExtensions.GetExePath(Project, string)AbsolutePath","L4307","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\BuilderExtensions.cs","12","5","12","157","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4396","GetExecutableFile","BuilderExtensions.GetExecutableFile(Project, IEnumerable<string>, List<DirectoryInfo>)AbsolutePath","L4307","L4242","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\build\BuilderExtensions.cs","14","5","31","6","0","0","0","0","0","0","0","0","0","0","0","17","18","5","0","0","0","1","9","3","0","0","17","18","9","0","0","0","0","0","0","0","0","0","0","0"
"L126","BuildExternalCommandAssembly","RpsRuntime.ExternalCommandAssemblyBuilder.BuildExternalCommandAssembly(string, System.Collections.Generic.IDictionary<string, string>)void","L121","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\ExternalCommandAssemblyBuilder.cs","22","9","61","10","0","0","0","0","0","0","0","13","5","0","0","32","40","2","0","0","0","0","25","2","0","13","32","40","25","0","0","0","0","0","0","0","0","0","0","0"
"L292","GetVariables","RpsRuntime.IRpsConfig.GetVariables()System.Collections.Generic.IDictionary<string, string>","L291","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\IRpsConfig.cs","13","9","13","52","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L293","GetSearchPaths","RpsRuntime.IRpsConfig.GetSearchPaths()System.Collections.Generic.IEnumerable<string>","L291","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\IRpsConfig.cs","20","9","20","46","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L311",".ctor","RpsRuntime.RpsConfig.RpsConfig(string)void","L298","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsConfig.cs","19","9","24","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","1","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L321","GetSearchPaths","RpsRuntime.RpsConfig.GetSearchPaths()System.Collections.Generic.IEnumerable<string>","L298","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsConfig.cs","29","9","35","10","0","0","0","0","0","0","0","3","3","0","0","7","7","2","0","0","0","0","2","0","0","3","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L346","GetVariables","RpsRuntime.RpsConfig.GetVariables()System.Collections.Generic.IDictionary<string, string>","L298","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsConfig.cs","40","9","43","10","0","0","0","0","0","0","0","3","3","0","0","4","4","1","0","0","0","0","1","0","0","3","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L353","IExternalApplication.OnShutdown","RpsRuntime.RpsExternalApplicationBase.OnShutdown(UIControlledApplication)Result","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","30","9","33","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L361","IExternalApplication.OnStartup","RpsRuntime.RpsExternalApplicationBase.OnStartup(UIControlledApplication)Result","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","38","9","49","10","0","0","0","0","0","0","0","1","0","0","0","9","12","1","0","0","0","2","6","1","0","1","9","12","6","0","0","0","0","0","0","0","0","0","0","0"
"L383","BuildRibbonPanels","RpsRuntime.RpsExternalApplicationBase.BuildRibbonPanels(UIControlledApplication, System.Xml.Linq.XDocument, System.Reflection.Assembly)void","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","56","9","82","10","0","0","0","0","0","0","0","5","5","0","0","27","27","6","0","0","0","1","11","3","0","5","27","27","11","0","0","0","0","0","0","0","0","0","0","0"
"L402","BuildPushButtonData","RpsRuntime.RpsExternalApplicationBase.BuildPushButtonData(System.Reflection.Assembly, System.Xml.Linq.XElement)PushButtonData","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","88","9","119","10","0","0","0","0","0","0","0","9","4","0","0","28","32","3","0","0","0","3","15","2","0","9","28","32","15","0","0","0","0","0","0","0","0","0","0","0"
"L412","IsValidPath","RpsRuntime.RpsExternalApplicationBase.IsValidPath(System.Xml.Linq.XAttribute)bool","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","125","9","132","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","1","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L414","GetAbsolutePath","RpsRuntime.RpsExternalApplicationBase.GetAbsolutePath(string)string","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","139","9","150","10","0","0","0","0","0","0","0","5","5","0","0","12","12","2","0","0","0","0","4","1","0","5","12","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L452","GetEmbeddedPng","RpsRuntime.RpsExternalApplicationBase.GetEmbeddedPng(string)System.Windows.Media.ImageSource","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","159","9","165","10","0","0","0","0","0","0","0","7","7","0","0","7","7","1","0","0","0","0","4","1","0","7","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L385","ExecuteStartupScript","RpsRuntime.RpsExternalApplicationBase.ExecuteStartupScript(UIControlledApplication, System.Xml.Linq.XDocument, System.Reflection.Assembly)void","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","171","9","191","10","0","0","0","0","0","0","0","7","4","0","0","18","21","4","0","0","0","6","11","3","0","7","18","21","11","0","0","0","0","0","0","0","0","0","0","0"
"L502","GetEmbeddedScript","RpsRuntime.RpsExternalApplicationBase.GetEmbeddedScript(string, System.Reflection.Assembly)string","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","198","9","206","10","0","0","0","0","0","0","0","5","5","0","0","9","9","2","0","0","0","0","4","2","0","5","9","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L500","GetStartupScriptName","RpsRuntime.RpsExternalApplicationBase.GetStartupScriptName(System.Xml.Linq.XDocument)string","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","208","9","218","10","0","0","0","0","0","0","0","0","0","0","0","11","11","3","0","0","0","0","6","1","0","0","11","11","6","0","0","0","0","0","0","0","0","0","0","0"
"L511","GetConfig","RpsRuntime.RpsExternalApplicationBase.GetConfig()RpsRuntime.RpsConfig","L348","L103","D:\DataCollection\repos\architecture-building-systems_revitpythonshell\RpsRuntime\RpsExternalApplicationBase.cs","229","9","261","10","1","1","4","0","1","1","1","10","9","33","27","27","33","4","0","0","0","1","15","0","0","10","27","33","15","0","0","7","0","0","0","7","0","0","0","0"
