"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L15877","AppConfig","AppConfig","L100","L15876, L16160","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\LinkCodeGenCLI\AppConfig.cs","6","1","63","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","12","0","0","0","0","0","0","0","2","0","2","0","2","0","1","1","1","0","1","0","2","0","0","3","3","0","0","48","58","0","0","0","0","5","0","4","0","7","11","0","6","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L187","ASRunTimeException","ASBinCode.ASRunTimeException","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","10","5","56","3","0.142857","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","31","47","0","3","0","0","0","0","3","6","0","6","0","6","0","1","1","0","0","8","0","6","0","1","6","6","0","3","31","47","0","3","0","3","6","0","6","0","6","8","0","6","0","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L210","ClassMemberFinder","ASBinCode.ClassMemberFinder","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","8","5","168","6","0","8","0","0","0","0","0","0","0","0","47","0","0","2","0","0","93","161","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","2","0","34","0","6","0","0","7","8","0","47","93","161","0","0","0","0","6","0","6","0","6","34","0","6","0","25","0","0","4","0","0","2","0","1","1","0","1","0","1"
"L302","ClassMethodGetter","ASBinCode.ClassMethodGetter","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","10","2","277","3","0.25","16","0","0","0","0","0","0","0","0","71","4","9","2","0","0","116","268","0","23","0","0","0","0","8","11","0","11","0","35","5","0","0","8","3","64","0","35","2","3","9","19","0","71","116","268","0","23","0","8","11","0","11","0","35","64","0","35","2","16","0","0","6","0","0","3","0","1","0","1","1","1","2"
"L429","ClassPropertyGetter","ASBinCode.ClassPropertyGetter","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","10","2","197","6","0","14","0","0","0","0","0","0","0","0","5","3","0","2","0","0","67","112","0","10","0","0","0","0","5","10","0","10","0","18","4","0","0","1","3","27","0","18","0","0","11","11","0","13","122","188","0","15","0","7","23","0","23","7","44","40","0","44","14","12","0","0","7","0","0","0","0","2","0","1","2","1","1"
"L540","CodeBlock","ASBinCode.CodeBlock","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","12","2","169","3","0.166667","7","0","0","0","0","0","0","0","0","15","1","3","1","0","0","99","158","0","0","0","0","0","0","0","5","0","5","0","6","1","0","0","2","1","54","0","6","0","1","5","7","0","15","99","158","0","0","0","0","5","0","5","0","6","54","0","6","0","13","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L617","CSWC","ASBinCode.CSWC","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CSWC.cs","12","2","444","3","0.125","11","0","0","0","0","0","0","0","0","32","1","6","3","0","0","288","433","0","9","0","0","0","0","7","16","0","15","0","18","1","0","0","4","1","107","0","17","0","2","14","20","0","32","288","433","0","9","0","7","16","0","15","0","18","107","0","17","0","45","0","0","4","0","0","0","0","1","0","1","1","0","1"
"L407","CSWCSerizlizer","ASBinCode.CSWCSerizlizer","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CSWCSerizlizer.cs","17","2","556","3","0","12","0","0","0","0","0","0","0","0","107","0","0","2","0","0","212","522","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","4","0","128","0","4","0","0","5","10","0","215","230","540","0","0","0","0","8","0","6","0","8","133","0","6","0","28","0","0","7","0","0","3","0","1","0","1","2","0","3"
"L851","Field","ASBinCode.Field","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\Field.cs","12","2","229","3","0.111111","16","0","0.196679","1","8","0","2","0.220183","0.258993","23","4","3","2","48","36","140","218","0","11","0","0","0","0","3","9","0","8","0","32","5","0","0","8","3","67","0","28","0","1","8","17","0","23","140","218","0","11","0","3","9","0","8","0","32","67","0","28","0","30","0","0","24","0","0","3","19","1","1","1","1","1","0"
"L863","FieldMeta","ASBinCode.FieldMeta","L104","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\FieldMeta.cs","9","2","46","3","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","31","38","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","0","1","13","0","3","0","0","3","2","0","0","31","38","0","0","0","0","2","0","2","0","3","13","0","3","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
