"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L15880","Change","AppConfig.Change(string)AppConfig","L15877","L15876, L16160","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\LinkCodeGenCLI\AppConfig.cs","8","2","11","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L15889","Dispose","AppConfig.Dispose()void","L15877","L15876, L16160","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\LinkCodeGenCLI\AppConfig.cs","13","2","13","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L196",".ctor","ASBinCode.ASRunTimeException.ASRunTimeException()void","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","14","9","14","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L200",".ctor","ASBinCode.ASRunTimeException.ASRunTimeException(string, string)void","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","15","9","15","119","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L204",".ctor","ASBinCode.ASRunTimeException.ASRunTimeException(string, Exception)void","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","17","9","17","104","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","get_Message","ASBinCode.ASRunTimeException.Message.getstring","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","21","4","30","5","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","0","3","0","0","0","9","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L208","get_AS3StackTrace","ASBinCode.ASRunTimeException.AS3StackTrace.getstring","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","35","4","38","5","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L209","get_StackTrace","ASBinCode.ASRunTimeException.StackTrace.getstring","L187","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ASRunTimeException.cs","44","4","54","5","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","0","3","0","0","0","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L214","find","ASBinCode.ClassMemberFinder.find(ASBinCode.rtti.Class, string, ASBinCode.rtti.Class)ASBinCode.rtti.ClassMember","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","10","9","111","4","0","0","0","0","0","0","0","47","0","0","0","48","102","13","0","0","0","2","18","3","0","47","48","102","18","0","0","2","0","0","2","0","1","0","0","1"
"L258","check_isinherits","ASBinCode.ClassMemberFinder.check_isinherits(ASBinCode.RunTimeValueBase, ASBinCode.RunTimeDataType, ASBinCode.IClassFinder)bool","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","114","9","118","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","3","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L280","check_isImplements","ASBinCode.ClassMemberFinder.check_isImplements(ASBinCode.RunTimeValueBase, ASBinCode.RunTimeDataType, ASBinCode.IClassFinder)bool","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","120","9","124","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","3","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L286","check_isinherits","ASBinCode.ClassMemberFinder.check_isinherits(ASBinCode.RunTimeDataType, ASBinCode.RunTimeDataType, ASBinCode.IClassFinder)bool","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","126","9","131","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","3","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L256","isInherits","ASBinCode.ClassMemberFinder.isInherits(ASBinCode.rtti.Class, ASBinCode.rtti.Class)bool","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","133","9","150","10","0","0","0","0","0","0","0","0","0","0","0","13","18","3","0","0","0","0","6","2","0","0","13","18","6","0","0","0","0","0","0","0","0","0","0","0"
"L284","isImplements","ASBinCode.ClassMemberFinder.isImplements(ASBinCode.rtti.Class, ASBinCode.rtti.Class)bool","L210","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMemberFinder.cs","153","9","166","10","0","0","0","0","0","0","0","0","0","0","0","13","14","6","0","0","0","0","3","2","0","0","13","14","3","0","0","0","0","0","0","0","0","0","0","0"
"L312",".ctor","ASBinCode.ClassMethodGetter.ClassMethodGetter(string, ASBinCode.rtti.Class, int, int)void","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","12","9","20","10","0","0","0","0","0","0","0","1","0","0","0","6","9","1","0","0","0","1","1","4","0","1","6","9","1","0","0","0","0","0","0","0","0","0","0","0"
"L327","get_functionId","ASBinCode.ClassMethodGetter.functionId.getint","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","23","13","23","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L331","getValue","ASBinCode.ClassMethodGetter.getValue(ASBinCode.RunTimeScope, ASRuntime.StackFrame)ASBinCode.RunTimeValueBase","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","26","9","35","10","0","0","0","0","0","0","0","1","0","0","0","6","10","1","0","0","0","3","3","2","0","1","6","10","3","0","0","0","0","0","0","0","0","0","0","0"
"L347","getConstructor","ASBinCode.ClassMethodGetter.getConstructor(ASBinCode.RunTimeScope)ASBinCode.RunTimeValueBase","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","47","9","60","4","0","0","0","0","0","0","0","8","4","0","0","7","14","1","0","0","0","3","4","1","0","8","7","14","4","0","0","0","0","0","0","0","0","0","0","0"
"L359","getImplicitConvertFunction","ASBinCode.ClassMethodGetter.getImplicitConvertFunction(ASBinCode.RunTimeScope)ASBinCode.rtData.rtFunction","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","67","9","79","10","0","0","0","0","0","0","0","8","4","0","0","7","13","1","0","0","0","3","4","1","0","8","7","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L362","getMethodForClearThis","ASBinCode.ClassMethodGetter.getMethodForClearThis(ASBinCode.RunTimeScope)ASBinCode.rtData.rtFunction","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","81","9","96","4","0","0","0","0","0","0","0","5","0","0","0","7","16","1","0","0","0","3","4","1","0","5","7","16","4","0","0","0","0","0","0","0","0","0","0","0"
"L364","getMethod","ASBinCode.ClassMethodGetter.getMethod(ASBinCode.rtData.rtObjectBase)ASBinCode.RunTimeValueBase","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","100","9","145","10","0","0","0","0","0","0","0","18","1","0","0","18","46","2","0","0","0","4","10","1","0","18","18","46","10","0","0","0","0","0","1","0","0","0","0","0"
"L341","getMethod","ASBinCode.ClassMethodGetter.getMethod(ASBinCode.RunTimeScope)ASBinCode.RunTimeValueBase","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","147","9","199","10","0","0","0","0","0","0","0","17","0","0","0","22","53","3","0","0","0","4","12","1","0","17","22","53","12","0","0","0","0","0","1","0","0","0","0","0"
"L395","getSuperMethod","ASBinCode.ClassMethodGetter.getSuperMethod(ASBinCode.RunTimeScope, ASBinCode.rtti.Class)ASBinCode.RunTimeValueBase","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","201","9","227","4","0","0","0","0","0","0","0","4","0","0","0","16","27","3","0","0","0","4","9","2","0","4","16","27","9","0","0","0","0","0","1","0","0","0","0","0"
"L401","LoadClassMethodGetter","ASBinCode.ClassMethodGetter.LoadClassMethodGetter(BinaryReader, ASBinCode.CSWCSerizlizer, IDictionary<int, object>, int)ASBinCode.ClassMethodGetter","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","230","3","265","4","0","0","0","0","0","0","0","9","0","0","0","17","36","1","0","0","0","1","14","4","0","9","17","36","14","0","0","0","0","0","0","0","0","0","0","0"
"L421","Serialize","ASBinCode.ClassMethodGetter.Serialize(BinaryWriter, ASBinCode.CSWCSerizlizer)void","L302","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassMethodGetter.cs","269","3","273","4","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L436",".ctor","ASBinCode.ClassPropertyGetter.ClassPropertyGetter(string, ASBinCode.rtti.Class, int)void","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","16","9","24","10","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","1","5","3","0","0","9","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L454","get_indexOfMembers","ASBinCode.ClassPropertyGetter.indexOfMembers.getint","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","33","13","36","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L455","get_name","ASBinCode.ClassPropertyGetter.name.getstring","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","41","13","44","14","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L456","clone","ASBinCode.ClassPropertyGetter.clone()ASBinCode.IMember","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","48","9","51","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L457","getValue","ASBinCode.ClassPropertyGetter.getValue(ASBinCode.RunTimeScope, ASRuntime.StackFrame)ASBinCode.RunTimeValueBase","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","53","9","56","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L460","getSlotForAssign","ASBinCode.ClassPropertyGetter.getSlotForAssign(ASBinCode.RunTimeScope, ASRuntime.StackFrame)ASBinCode.SLOT","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","61","9","64","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L467","getSlot","ASBinCode.ClassPropertyGetter.getSlot(ASBinCode.RunTimeScope, ASRuntime.StackFrame)ASBinCode.SLOT","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","66","9","70","10","0","0","0","0","0","0","0","0","0","0","0","4","5","1","0","0","0","0","1","2","0","0","4","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L471","ToString","ASBinCode.ClassPropertyGetter.ToString()string","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","72","9","75","10","0","0","0","0","0","0","0","0","0","0","0","4","4","3","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L475","LoadClassPropertyGetter","ASBinCode.ClassPropertyGetter.LoadClassPropertyGetter(BinaryReader, ASBinCode.CSWCSerizlizer, IDictionary<int, object>, int)ASBinCode.ClassPropertyGetter","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","79","3","96","4","0","0","0","0","0","0","0","0","0","0","0","12","18","1","0","0","0","1","9","4","0","0","12","18","9","0","0","0","0","0","0","0","0","0","0","0"
"L486","Serialize","ASBinCode.ClassPropertyGetter.Serialize(BinaryWriter, ASBinCode.CSWCSerizlizer)void","L429","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\ClassPropertyGetter.cs","99","3","115","4","0","0","0","0","0","0","0","5","0","0","0","9","17","1","0","0","0","0","6","2","0","5","9","17","6","0","0","0","0","0","0","0","0","0","0","0"
"L579",".ctor","ASBinCode.CodeBlock.CodeBlock(int, string, int, bool)void","L540","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","50","9","59","10","0","0","0","0","0","0","0","0","0","0","0","9","10","1","0","0","0","0","6","4","0","0","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L591","ToString","ASBinCode.CodeBlock.ToString()string","L540","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","61","3","74","10","0","0","0","0","0","0","0","0","0","0","0","13","14","3","0","0","0","0","6","0","0","0","13","14","6","0","0","0","0","0","0","0","0","0","0","0"
"L592","GetInstruction","ASBinCode.CodeBlock.GetInstruction()string","L540","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","76","3","87","4","0","0","0","0","0","0","0","0","0","0","0","12","12","3","0","0","0","1","5","0","0","0","12","12","5","0","0","0","0","0","0","0","0","0","0","0"
"L596","Deserialize","ASBinCode.CodeBlock.Deserialize(BinaryReader, ASBinCode.CSWCSerizlizer, IDictionary<int, object>, int)ASBinCode.CodeBlock","L540","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","95","3","131","4","0","0","0","0","0","0","0","5","0","0","0","28","37","3","0","0","0","1","22","4","0","5","28","37","22","0","0","0","0","0","0","0","0","0","0","0"
"L614","Serialize","ASBinCode.CodeBlock.Serialize(BinaryWriter, ASBinCode.CSWCSerizlizer)void","L540","L103","D:\DataCollection\repos\asheigithub_apple-juice-actionscript\ASRuntime\ASBinCode\CodeBlock.cs","133","3","166","4","0","0","0","0","0","0","0","7","0","0","0","22","34","3","0","0","0","0","15","2","0","7","22","34","15","0","0","0","0","0","0","0","0","0","0","0"
