"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L806","Asn1Encodable","Org.BouncyCastle.Asn1.Asn1Encodable","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1Encodable.cs","5","2","71","6","0.333333","2","0","0","0","0","0","0","0","0","6","1","6","1","0","0","49","67","0","0","0","0","0","0","0","8","0","8","0","9","1","298","369","6","1","15","0","9","0","3","6","14","0","6","49","67","0","0","0","0","8","0","8","0","9","15","0","9","0","13","0","0","3","0","0","0","0","0","0","0","1","2","0"
"L852","Asn1EncodableVector","Org.BouncyCastle.Asn1.Asn1EncodableVector","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1EncodableVector.cs","9","5","240","6","0.0555556","2","0","0","0","0","0","0","0","0","3","0","3","1","0","0","191","232","0","1","0","0","0","0","1","22","0","17","0","22","0","0","0","2","0","81","0","17","0","1","17","24","0","3","191","232","0","1","0","1","22","0","17","0","22","81","0","17","0","46","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L941","Asn1Exception","Org.BouncyCastle.Asn1.Asn1Exception","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1Exception.cs","7","5","30","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","24","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","21","24","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L963","Asn1GeneralizedTime","Org.BouncyCastle.Asn1.Asn1GeneralizedTime","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1GeneralizedTime.cs","11","5","272","6","0.166667","13","0","0.084898","2","14","0","2","0.10687","0.116822","5","3","2","5","28","25","211","253","0","0","0","0","0","0","0","20","0","5","0","44","3","1","1","10","2","101","0","20","0","1","5","30","0","5","220","262","0","2","0","0","22","0","5","0","57","102","0","22","0","77","0","0","16","0","0","1","9","1","1","1","2","1","1"
"L1104","Asn1Generator","Org.BouncyCastle.Asn1.Asn1Generator","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\ASN1Generator.cs","6","5","50","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","45","0","1","0","0","0","0","1","8","0","4","0","8","0","2","7","0","0","8","0","4","0","0","5","8","0","0","31","45","0","1","0","1","8","0","4","0","8","8","0","4","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1124","Asn1InputStream","Org.BouncyCastle.Asn1.Asn1InputStream","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1InputStream.cs","18","5","537","6","0.5","45","0","0","0","0","0","0","0","0","34","1","21","1","0","0","379","520","0","5","0","0","0","0","0","19","0","5","0","35","1","1","1","51","1","193","0","19","1","3","3","70","0","34","379","520","0","5","0","0","19","0","5","0","35","193","0","19","1","108","0","0","7","0","0","6","0","0","2","3","1","0","1"
"L1378","Asn1Null","Org.BouncyCastle.Asn1.Asn1Null","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1Null.cs","11","5","76","6","0.25","7","0","0.494949","2","14","0","2","0.424242","0.471698","3","3","3","4","28","25","46","57","0","0","0","0","0","0","0","5","0","3","0","29","3","1","1","4","2","18","0","18","0","1","3","9","0","3","55","66","0","2","0","0","7","0","3","0","42","19","0","20","0","12","0","0","16","0","0","0","12","1","0","0","2","1","0"
"L841","Asn1Object","Org.BouncyCastle.Asn1.Asn1Object","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1Object.cs","7","5","112","3","0.285714","7","0","0","0","0","0","0","0","0","10","2","10","6","0","0","83","106","0","0","0","0","0","0","0","15","0","6","0","24","2","17","60","7","2","26","0","15","0","2","5","22","0","10","83","106","0","0","0","0","15","0","6","0","24","26","0","15","0","19","0","0","5","0","0","0","0","1","0","0","1","3","0"
"L1392","Asn1ObjectDescriptor","Org.BouncyCastle.Asn1.Asn1ObjectDescriptor","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1ObjectDescriptor.cs","8","5","130","6","0.4","10","0","0.268817","2","14","0","2","0.227642","0.287356","15","3","15","3","28","25","72","107","0","1","0","0","0","0","1","11","0","4","0","35","3","0","0","9","2","26","0","19","0","2","3","20","0","15","87","123","0","3","0","1","14","0","4","0","49","28","0","21","0","19","0","0","17","0","0","0","12","2","0","0","2","1","0"
"L1298","Asn1OctetString","Org.BouncyCastle.Asn1.Asn1OctetString","L115","L103","D:\DataCollection\repos\bcgit_bc-csharp\crypto\src\asn1\Asn1OctetString.cs","9","5","152","6","0.25","10","0","0.301205","2","14","0","2","0.194444","0.294118","16","3","16","5","28","25","72","130","0","1","0","0","0","0","1","11","0","7","0","36","4","1","2","8","3","27","0","23","0","2","6","19","0","16","85","144","0","3","0","1","14","0","7","0","50","29","0","25","0","19","0","0","17","0","0","0","12","2","0","0","2","1","0"
