"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L210","AppBootstrapper","SimpleDnsCrypt.AppBootstrapper","L104","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","19","2","115","3","0","2","0","0","0","0","0","0","0","0","2","0","0","1","0","0","83","95","0","0","0","0","0","0","0","7","0","1","0","7","0","0","0","1","0","32","0","1","0","0","2","8","0","2","83","97","0","0","0","0","7","0","1","0","7","32","0","1","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L263","AppWindowManager","SimpleDnsCrypt.AppWindowManager","L104","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppWindowManager.cs","11","2","87","3","1","8","0","0","0","0","0","0","0","0","10","0","10","1","0","0","68","77","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","5","0","16","0","0","0","1","0","6","0","10","68","77","0","0","0","0","1","0","0","0","1","16","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L396","LogMode","SimpleDnsCrypt.LogMode","L104","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\LogMode.cs","3","2","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","0","0","6","3","0","7","6","0","0","6","6","0","3","0","3","6","0","6","3","6","0","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6025","App","SimpleDnsCrypt.App","L104","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\App.xaml.cs","5","2","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6114","Program","Uninstall.Program","L6111","L6110","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\Uninstall\Program.cs","12","5","170","6","0","0","0","0","0","0","0","0","0","0","17","0","15","1","0","0","133","159","0","0","0","0","0","0","0","6","0","0","0","6","0","0","0","0","0","59","0","0","0","0","1","6","0","17","133","159","0","0","0","0","6","0","0","0","6","59","0","0","0","22","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L504","Global","SimpleDnsCrypt.Config.Global","L503","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\Config\Global.cs","3","2","134","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","59","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L535","BaseMetroDialog","SimpleDnsCrypt.Controls.BaseMetroDialog","L534","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\Controls\BaseMetroDialog.xaml.cs","3","2","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L537","LoggingListView","SimpleDnsCrypt.Controls.LoggingListView","L534","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\Controls\LoggingListView.cs","9","2","106","3","0.25","0","0","0","0","0","0","0","0","0","28","0","24","2","0","0","54","98","0","1","0","0","0","0","1","6","0","3","1","6","0","0","0","0","0","9","0","3","1","1","3","6","0","28","54","98","0","1","0","1","6","0","3","1","6","9","0","3","1","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L662","BoolToForegroundConverter","SimpleDnsCrypt.Converters.BoolToForegroundConverter","L661","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\Converters\BoolToForegroundConverter.cs","7","2","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","4","0","2","0","0","3","2","0","0","15","17","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L684","BoolToTextConverter","SimpleDnsCrypt.Converters.BoolToTextConverter","L661","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\Converters\BoolToTextConverter.cs","9","2","25","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","15","17","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","4","0","2","0","0","3","3","0","0","15","17","0","0","0","0","2","0","2","0","2","4","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
