"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L226",".ctor","SimpleDnsCrypt.AppBootstrapper.AppBootstrapper()void","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","25","3","29","4","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L237","Configure","SimpleDnsCrypt.AppBootstrapper.Configure()void","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","31","3","49","4","0","0","0","0","0","0","0","0","0","0","0","19","19","2","0","0","0","0","8","0","0","0","19","19","8","0","0","0","0","0","0","0","0","0","0","0"
"L280","GetInstance","SimpleDnsCrypt.AppBootstrapper.GetInstance(System.Type, string)object","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","51","3","61","4","0","0","0","0","0","0","0","0","0","0","0","10","11","3","0","0","0","0","5","2","0","0","10","11","5","0","0","0","0","0","0","0","0","0","0","0"
"L323","GetAllInstances","SimpleDnsCrypt.AppBootstrapper.GetAllInstances(System.Type)System.Collections.Generic.IEnumerable<object>","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","63","3","66","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L329","BuildUp","SimpleDnsCrypt.AppBootstrapper.BuildUp(object)void","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","68","3","71","4","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L337","OnStartup","SimpleDnsCrypt.AppBootstrapper.OnStartup(object, System.Windows.StartupEventArgs)void","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","73","3","105","4","0","0","0","0","0","0","0","2","0","0","0","27","33","5","0","0","0","1","13","2","0","2","27","33","13","0","0","0","0","0","0","0","0","0","0","0"
"L409","OnUnhandledException","SimpleDnsCrypt.AppBootstrapper.OnUnhandledException(object, System.Windows.Threading.DispatcherUnhandledExceptionEventArgs)void","L210","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppBootstrapper.cs","107","3","114","4","0","0","0","0","0","0","0","0","0","0","0","7","6","1","0","0","0","0","2","2","0","0","7","8","2","0","0","0","0","0","0","0","0","0","0","0"
"L440","EnsureWindow","SimpleDnsCrypt.AppWindowManager.EnsureWindow(object, object, bool)System.Windows.Window","L263","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\AppWindowManager.cs","20","3","86","4","0","0","0","0","0","0","0","7","7","0","0","65","67","8","0","0","0","5","16","3","0","7","65","67","16","0","0","0","0","0","0","0","0","0","0","0"
"L2519","get_Debug","SimpleDnsCrypt.LogMode.Debug.getbool","L396","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\LogMode.cs","5","30","5","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L399","set_Debug","SimpleDnsCrypt.LogMode.Debug.setvoid","L396","L103","D:\DataCollection\repos\bitbeans_SimpleDnsCrypt\SimpleDnsCrypt\LogMode.cs","5","35","5","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
