"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L601","DeviceResponse","DeviceResponse","L100","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Response\DeviceResponse.cs","3","1","13","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","8","0","0","0","0","8","16","0","16","8","16","0","0","0","0","0","0","0","16","8","0","17","16","0","0","11","11","0","8","0","8","16","0","16","8","16","0","0","16","8","16","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L39318","AutoGeneratedProgram","AutoGeneratedProgram","L100","L38940","C:\Users\Threeteck\.nuget\packages\microsoft.net.test.sdk\17.7.0\build\netcoreapp3.1\Microsoft.NET.Test.Sdk.Program.cs","3","1","4","63","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","2","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2995","BitwardenIcons","Bit.Core.BitwardenIcons","L161","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\BitwardenIcons.cs","3","5","118","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","116","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3109","Constants","Bit.Core.Constants","L161","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Constants.cs","5","5","139","6","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0","0","127","135","0","0","0","0","0","0","0","48","0","48","0","48","0","0","0","0","0","0","0","48","0","0","49","48","0","0","127","135","0","0","0","0","48","0","48","0","48","0","0","48","0","48","0","0","7","0","0","0","0","1","0","0","1","0","5"
"L3630","ExternalLinksConstants","Bit.Core.ExternalLinksConstants","L161","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\ExternalLinksConstants.cs","3","5","20","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L21711","App","Bit.App.App","L13430","L21269","D:\DataCollection\repos\bitwarden_mobile\src\App\App.xaml.cs","24","5","537","6","0","36","0","0","0","0","0","0","0","0","4","1","0","1","0","0","479","348","0","1","0","0","0","0","1","21","0","5","1","24","1","0","0","61","1","139","0","8","1","0","6","82","0","4","479","514","0","1","0","1","21","0","5","1","24","139","0","8","1","64","0","0","9","0","0","5","0","0","1","4","1","0","3"
"L38692","Program","Bit.Playground.Program","L38688","L38687","D:\DataCollection\repos\bitwarden_mobile\test\Playground\Program.cs","7","5","22","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","16","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","3","0","6","0","2","0","0","3","5","0","0","15","16","0","1","0","1","3","0","3","0","3","6","0","3","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L38724","Program","Bit.Publisher.Program","L38719","L38718","D:\DataCollection\repos\bitwarden_mobile\store\google\Publisher\Program.cs","12","5","126","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","99","115","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","44","0","0","0","0","1","2","0","0","99","115","0","0","0","0","2","0","0","0","2","44","0","0","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2702","LocalizableEnumAttribute","Bit.Core.Attributes.LocalizableEnumAttribute","L2699","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Attributes\LocalizableEnumAttribute.cs","4","5","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","1","0","0","0","0","1","2","0","2","0","2","0","0","0","0","0","1","0","2","0","0","3","2","0","0","9","10","0","1","0","1","2","0","2","0","2","1","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3296","ClientTypeExtensions","Bit.Core.Enums.ClientTypeExtensions","L3270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Enums\ClientType.cs","13","5","35","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","23","23","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","8","0","1","0","0","2","1","0","0","23","23","0","0","0","0","1","0","1","0","1","8","0","1","0","7","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L3330","DeviceTypeExtensions","Bit.Core.Enums.DeviceTypeExtensions","L3270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Enums\DeviceType.cs","31","5","49","6","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","17","19","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","0","0","3","0","0","4","3","0","0","17","19","0","0","0","0","3","0","3","0","3","0","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L3598","ApiException","Bit.Core.Exceptions.ApiException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\ApiException.cs","6","5","21","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","1","0","0","0","0","1","4","0","4","1","4","0","0","0","0","0","1","0","4","1","0","5","4","0","0","13","16","0","1","0","1","4","0","4","1","4","1","0","4","1","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3617","ForwardedEmailInvalidSecretException","Bit.Core.Exceptions.ForwardedEmailInvalidSecretException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\ForwardedEmailInvalidSecretException.cs","4","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3622","LegacyUserException","Bit.Core.Exceptions.LegacyUserException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\LegacyUserException.cs","4","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3624","MasterKeyNullException","Bit.Core.Exceptions.MasterKeyNullException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\MasterKeyNullException.cs","4","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3626","UserAndMasterKeysNullException","Bit.Core.Exceptions.UserAndMasterKeysNullException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\UserAndMasterKeysNullException.cs","4","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3628","UserKeyNullException","Bit.Core.Exceptions.UserKeyNullException","L3597","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Exceptions\UserKeyNullException.cs","4","5","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
