"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L6687",".ctor","KdfConfig.KdfConfig(Bit.Core.Enums.KdfType?, int?, int?, int?)void","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","7","5","13","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","4","4","4","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L6700",".ctor","KdfConfig.KdfConfig(Bit.Core.Models.Domain.Account.AccountProfile)void","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","15","5","21","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","4","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L6702","get_Type","KdfConfig.Type.getBit.Core.Enums.KdfType?","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","23","28","23","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6692","set_Type","KdfConfig.Type.setvoid","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","23","33","23","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6706","get_Iterations","KdfConfig.Iterations.getint?","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","24","30","24","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6694","set_Iterations","KdfConfig.Iterations.setvoid","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","24","35","24","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6710","get_Memory","KdfConfig.Memory.getint?","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","25","26","25","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6696","set_Memory","KdfConfig.Memory.setvoid","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","25","31","25","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6714","get_Parallelism","KdfConfig.Parallelism.getint?","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","26","31","26","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L6698","set_Parallelism","KdfConfig.Parallelism.setvoid","L1270","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Domain\KdfConfiguration.cs","26","36","26","40","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10064","get_Id","DeviceResponse.Id.getstring","L601","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Response\DeviceResponse.cs","5","24","5","28","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10067","set_Id","DeviceResponse.Id.setvoid","L601","L103","D:\DataCollection\repos\bitwarden_mobile\src\Core\Models\Response\DeviceResponse.cs","5","29","5","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
