"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L556","App","FaceOff.App","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\App.cs","8","2","29","3","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","22","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","4","0","5","0","1","0","0","2","6","0","0","18","22","0","0","0","0","2","0","1","0","2","5","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L579","AnalyticsConstants","FaceOff.AnalyticsConstants","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\AnalyticsConstants.cs","6","2","35","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","30","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","24","30","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L596","AnimationConstants","FaceOff.AnimationConstants","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\AnimationConstants.cs","3","2","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L609","CognitiveServicesConstants","FaceOff.CognitiveServicesConstants","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\CognitiveServicesConstants.cs","3","5","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L566","ColorConstants","FaceOff.ColorConstants","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","5","2","19","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","15","0","7","0","0","0","0","7","7","0","7","0","7","0","0","0","0","0","0","0","7","0","0","8","7","0","0","14","15","0","7","0","7","7","0","7","0","7","0","0","7","0","7","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L655","GameInitializedEventArgs","FaceOff.GameInitializedEventArgs","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\EventArgs\AlertMessageEventArgs.cs","4","2","12","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","3","0","0","0","0","3","4","0","4","0","4","0","0","0","0","0","0","0","4","0","0","5","4","0","0","8","9","0","3","0","3","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L675","EmotionPopupResponseModel","FaceOff.EmotionPopupResponseModel","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Models\EmotionPopupResponseModel.cs","3","2","10","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","2","0","0","0","0","2","3","0","3","0","3","0","0","0","0","0","0","0","3","0","0","4","3","0","0","7","8","0","2","0","2","3","0","3","0","3","0","0","3","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L663","PlayerModel","FaceOff.PlayerModel","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Models\PlayerModel.cs","5","2","14","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","0","3","0","0","0","0","3","5","0","5","1","5","0","0","0","0","0","0","0","5","1","0","6","5","0","0","8","10","0","3","0","3","5","0","5","1","5","0","0","5","1","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L706","BaseContentPage","FaceOff.BaseContentPage<TViewModel>","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Pages\Base\BaseContentPage.cs","5","2","14","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","1","0","0","0","0","1","2","0","0","0","2","0","2","2","1","0","2","0","0","0","0","1","3","0","0","9","10","0","1","0","1","2","0","0","0","2","2","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L722","FaceOffPage","FaceOff.FaceOffPage","L120","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Pages\FaceOffPage.cs","11","2","236","3","0","14","0","0","0","0","0","0","0","0","0","1","0","8","0","0","126","155","0","1","0","0","0","0","0","10","0","1","0","12","1","0","0","21","1","21","0","1","0","0","2","31","0","0","187","226","0","1","0","0","16","0","7","0","25","44","0","11","0","12","0","0","10","0","0","1","0","1","0","2","7","0","0"
