"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L560",".ctor","FaceOff.App.App()void","L556","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\App.cs","10","3","21","4","0","0","0","0","0","0","0","0","0","0","0","10","12","1","0","0","0","3","3","0","0","0","10","12","3","0","0","0","0","0","0","0","0","0","0","0"
"L573","OnStart","FaceOff.App.OnStart()void","L556","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\App.cs","23","3","28","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","1","2","0","0","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L595","GetApiKey","FaceOff.AnalyticsConstants.GetApiKey()string","L579","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\AnalyticsConstants.cs","28","3","34","5","0","0","0","0","0","0","0","0","0","0","0","5","7","1","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L616","get_ActivityIndicatorColor","FaceOff.ColorConstants.ActivityIndicatorColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","12","48","12","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L622","get_ButtonBackgroundColor","FaceOff.ColorConstants.ButtonBackgroundColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","13","47","13","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L625","get_ButtonTextColor","FaceOff.ColorConstants.ButtonTextColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","14","41","14","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L628","get_LabelTextColor","FaceOff.ColorConstants.LabelTextColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","15","40","15","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L569","get_NavigationBarBackgroundColor","FaceOff.ColorConstants.NavigationBarBackgroundColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","16","54","16","58","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L571","get_NaviagtionBarTextColor","FaceOff.ColorConstants.NaviagtionBarTextColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","17","48","17","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L635","get_PageBackgroundColor","FaceOff.ColorConstants.PageBackgroundColor.getColor","L566","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Constants\ColorConstants.cs","18","45","18","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L659",".ctor","FaceOff.GameInitializedEventArgs.GameInitializedEventArgs(string, string, FaceOff.PlayerModel)void","L655","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\EventArgs\AlertMessageEventArgs.cs","6","3","7","56","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L666","get_Message","FaceOff.GameInitializedEventArgs.Message.getstring","L655","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\EventArgs\AlertMessageEventArgs.cs","9","27","9","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L669","get_Title","FaceOff.GameInitializedEventArgs.Title.getstring","L655","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\EventArgs\AlertMessageEventArgs.cs","10","25","10","29","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L672","get_Player","FaceOff.GameInitializedEventArgs.Player.getFaceOff.PlayerModel","L655","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\EventArgs\AlertMessageEventArgs.cs","11","31","11","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L676",".ctor","FaceOff.EmotionPopupResponseModel.EmotionPopupResponseModel(bool, FaceOff.PlayerModel)void","L675","L520","D:\DataCollection\repos\brminnick_FaceOff\Source\FaceOff\Models\EmotionPopupResponseModel.cs","5","3","6","60","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
