"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L119","FrmHtlmDocumentation","MarlinDocumentation.FrmHtlmDocumentation","L104","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmHtlmDocumentation.cs","5","5","11","6","0","0","0","0","0","0","0","0","0","0","14","0","8","2","0","0","40","65","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","21","0","1","0","0","2","3","0","14","40","65","0","0","0","0","3","0","1","0","3","21","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L289","FrmRTFdocumentation","MarlinDocumentation.FrmRTFdocumentation","L104","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.cs","6","5","25","6","0","0","0","0","0","0","0","0","0","0","14","0","8","2","0","0","45","76","0","1","0","0","0","0","1","5","0","3","1","5","0","0","0","0","0","22","0","3","1","0","4","5","0","14","45","76","0","1","0","1","5","0","3","1","5","22","0","3","1","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L315","Program","MarlinDocumentation.Program","L104","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\Program.cs","6","5","18","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","0","10","13","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L382","FrmAutoUpdate","AutoUpdater.FrmAutoUpdate","L376","L375","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\AutoUpdater\FrmAutoUpdate.cs","11","5","189","6","0","0","0","0.362178","8","8","0","8","0","0","43","0","8","4","0","0","228","352","0","4","0","0","0","0","4","18","0","9","4","18","0","0","0","0","0","149","0","9","4","0","10","18","0","43","228","352","0","4","0","4","18","0","9","4","18","149","0","9","4","26","0","0","15","0","0","1","10","1","0","0","1","0","3"
"L666","MapInfo","AutoUpdater.MapInfo","L376","L375","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\AutoUpdater\MapInfo.cs","12","5","221","6","0","2","0","0","0","0","0","0","0","0","7","0","0","3","0","0","138","210","0","0","0","0","0","0","0","6","0","3","0","6","0","0","0","6","0","78","0","3","0","0","4","12","0","7","138","210","0","0","0","0","6","0","3","0","6","78","0","3","0","21","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L668","MarkerPoint","AutoUpdater.MarkerPoint","L376","L375","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\AutoUpdater\MapInfo.cs","222","5","229","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","5","0","0","0","0","5","10","0","10","5","10","0","0","0","0","0","0","0","10","5","0","11","10","0","0","8","8","0","5","0","5","10","0","10","5","10","0","0","10","5","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L724","Updater","AutoUpdater.Updater","L376","L375","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\AutoUpdater\Updater.cs","8","5","191","6","0.333333","3","0","0.183673","1","2","0","1","0.11413","0.153226","3","0","3","1","21","19","120","184","0","4","0","0","0","0","4","14","0","11","4","14","0","0","0","15","0","57","0","11","4","4","8","29","0","3","120","184","0","4","0","4","14","0","11","4","14","57","0","11","4","28","0","0","15","0","0","0","14","0","0","0","1","0","0"
"L953","Configuration","Marlin3DprinterToolConfiguration.Configuration","L946","L945","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\Marlin3DprinterToolConfiguration\Configuration.cs","13","5","819","6","0.867925","3","0","0.2244","2","16","0","5","0.209418","0.243339","92","0","77","1","169","137","496","807","0","25","0","0","0","0","25","57","0","52","25","57","0","0","0","6","0","296","0","52","25","46","7","63","0","92","496","807","0","25","0","25","57","0","52","25","57","296","0","52","25","144","0","0","80","0","0","0","65","0","1","0","1","0","13"
"L1003","Position","Marlin3DprinterToolConfiguration.Position","L946","L945","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\Marlin3DprinterToolConfiguration\Configuration.cs","855","5","916","6","1","1","0","0","0","0","0","0","0","0","24","0","24","0","0","0","19","62","0","6","0","0","0","0","6","12","0","12","6","12","0","0","0","0","0","0","0","12","6","13","0","12","0","24","19","62","0","6","0","6","12","0","12","6","12","0","0","12","6","12","0","0","2","0","0","0","0","0","0","0","0","0","2"
"L959","NumberConversion","Marlin3DprinterToolConfiguration.NumberConversion","L946","L945","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\Marlin3DprinterToolConfiguration\Configuration.cs","920","5","955","6","0.333333","0","0","0","0","0","0","0","0","0","6","0","5","2","0","0","17","36","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","6","0","2","0","1","2","2","0","6","17","36","0","0","0","0","2","0","2","0","2","6","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1405","Marlin3DprinterSetup","Marlin3DprinterToolConfiguration.Marlin3DprinterSetup","L946","L945","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\Marlin3DprinterToolConfiguration\Marlin3DprinterSetup.cs","12","5","188","6","0","3","0","0.604171","10","23","0","22","0.225989","0.25","91","0","8","6","40","33","447","593","0","1","0","0","0","0","1","18","0","3","1","18","0","0","0","12","0","313","0","3","1","0","4","30","0","91","447","593","0","1","0","1","18","0","3","1","18","313","0","3","1","26","0","0","27","0","0","1","19","1","0","0","1","0","6"
"L1513","FileAssociation","Marlin3DprinterToolConfiguration.FileAssociation","L946","L945","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\Marlin3DprinterToolConfiguration\Marlin3DprinterSetup.cs","194","5","251","6","1","0","0","0.649402","1","5","0","1","0.465517","0.641026","14","0","14","1","27","25","40","58","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","0","0","18","0","1","0","2","0","4","0","14","40","58","0","0","0","0","4","0","1","0","4","18","0","1","0","14","0","0","13","0","0","1","12","0","1","0","0","0","0"
"L1732","FrmShowCommunication","MarlinComunicationHelper.FrmShowCommunication","L1725","L1724","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinComunicationHelper\FrmShowCommunication.cs","12","5","183","6","1","3","0","0.0924205","1","1","0","1","0","0","54","0","25","1","0","0","247","358","0","4","0","0","0","0","4","19","0","7","3","19","0","0","0","3","0","149","0","7","3","8","0","22","0","54","247","358","0","4","0","4","19","0","7","3","19","149","0","7","3","34","0","0","11","0","0","1","7","0","0","0","0","0","4"
"L1738","MarlinCommunication","MarlinComunicationHelper.MarlinCommunication","L1725","L1724","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinComunicationHelper\MarlinCommunication.cs","15","5","1334","2","1","10","0","0","0","0","0","0","0","0","178","0","129","2","0","0","627","1279","0","23","0","0","0","0","23","92","0","41","23","92","0","0","0","31","0","319","0","41","23","42","0","123","0","178","629","1320","0","23","0","23","92","0","41","23","92","319","0","41","23","191","0","0","21","0","0","3","0","1","3","2","0","0","15"
