"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L147",".ctor","MarlinDocumentation.FrmHtlmDocumentation.FrmHtlmDocumentation()void","L119","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmHtlmDocumentation.cs","7","9","10","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L157","Dispose","MarlinDocumentation.FrmHtlmDocumentation.Dispose(bool)void","L119","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmHtlmDocumentation.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L151","InitializeComponent","MarlinDocumentation.FrmHtlmDocumentation.InitializeComponent()void","L119","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmHtlmDocumentation.Designer.cs","29","9","55","10","0","0","0","0","0","0","0","10","4","0","0","20","27","1","0","0","0","0","17","0","0","10","20","27","17","0","0","0","0","0","0","0","0","0","0","0"
"L291",".ctor","MarlinDocumentation.FrmRTFdocumentation.FrmRTFdocumentation()void","L289","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.cs","10","9","13","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L294","get_Filename","MarlinDocumentation.FrmRTFdocumentation.Filename.getstring","L289","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.cs","17","13","17","38","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L296","set_Filename","MarlinDocumentation.FrmRTFdocumentation.Filename.setvoid","L289","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.cs","18","13","23","14","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","2","1","0","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L305","Dispose","MarlinDocumentation.FrmRTFdocumentation.Dispose(bool)void","L289","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L292","InitializeComponent","MarlinDocumentation.FrmRTFdocumentation.InitializeComponent()void","L289","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\FrmRTFdocumentation.Designer.cs","29","9","53","10","0","0","0","0","0","0","0","10","4","0","0","18","25","1","0","0","0","0","15","0","0","10","18","25","15","0","0","0","0","0","0","0","0","0","0","0"
"L316","Main","MarlinDocumentation.Program.Main()void","L315","L103","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\MarlinDocumentation\Program.cs","11","9","17","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","1","3","0","0","0","7","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L388",".ctor","AutoUpdater.FrmAutoUpdate.FrmAutoUpdate()void","L382","L375","D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool\Marlin3DprinterTool\AutoUpdater\FrmAutoUpdate.cs","16","9","19","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
