"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L169","get_Stage","ASB_Updater.ASBUpdater.Stage.getASB_Updater.ASBUpdater.Stages","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","66","32","66","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","set_Stage","ASB_Updater.ASBUpdater.Stage.setvoid","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","66","37","66","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L177",".ctor","ASB_Updater.ASBUpdater.ASBUpdater()void","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","68","9","75","10","0","0","0","0","0","0","0","1","0","0","0","7","8","1","0","0","0","1","4","0","0","1","7","8","4","0","0","0","0","0","0","0","0","0","0","0"
"L201","GetProgress","ASB_Updater.ASBUpdater.GetProgress()int","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","81","9","87","10","0","0","0","0","0","0","0","4","4","0","0","6","7","1","0","0","0","1","3","0","0","4","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L225","GetProgressState","ASB_Updater.ASBUpdater.GetProgressState()string","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","93","9","93","73","0","0","0","0","0","0","0","4","4","0","0","1","1","1","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L226","SetStatus","ASB_Updater.ASBUpdater.SetStatus(ASB_Updater.ASBUpdater.Stages, System.IProgress<ASB_Updater.ProgressReporter>)void","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","95","9","99","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","4","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L245","LastError","ASB_Updater.ASBUpdater.LastError()string","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","106","9","109","10","0","0","0","0","0","0","0","5","5","0","0","4","4","1","0","0","0","1","1","0","0","5","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L248","Fetch","ASB_Updater.ASBUpdater.Fetch(System.IProgress<ASB_Updater.ProgressReporter>)System.Threading.Tasks.Task<bool>","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","116","9","120","10","0","0","0","0","0","0","0","5","5","0","0","5","5","1","0","0","0","2","2","1","0","5","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L263","Parse","ASB_Updater.ASBUpdater.Parse(System.IProgress<ASB_Updater.ProgressReporter>)bool","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","127","9","151","10","0","0","0","0","0","0","0","6","5","0","0","20","25","3","0","0","0","2","12","1","0","6","20","25","12","0","0","0","0","0","0","0","0","0","0","0"
"L314","Check","ASB_Updater.ASBUpdater.Check(string, System.IProgress<ASB_Updater.ProgressReporter>)bool","L126","L103","D:\DataCollection\repos\cadon_ARKStatsExtractor\ASB-Updater\ASBUpdater.cs","157","9","185","10","0","0","0","0","0","0","0","5","4","0","0","23","29","8","0","0","0","2","12","2","0","5","23","29","12","0","0","0","0","0","0","0","0","0","0","0"
