"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L171","AggregateResultRenderer","Tesseract.AggregateResultRenderer","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","10","5","158","6","1","6","0","0","0","0","0","0","0","0","28","1","23","1","0","0","70","124","0","4","0","0","0","0","2","7","0","6","0","17","2","0","0","3","2","34","0","11","1","7","0","10","0","33","91","149","0","5","0","2","9","0","7","0","26","42","0","14","2","16","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L266","BitmapHelper","Tesseract.BitmapHelper","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","10","2","162","6","0.0666667","0","0","0","0","0","0","0","0","0","8","0","3","14","0","0","99","153","0","0","0","0","0","0","0","14","0","14","0","14","0","0","0","0","0","28","0","14","0","1","14","14","0","8","99","153","0","0","0","0","14","0","14","0","14","28","0","14","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L330","ChoiceIterator","Tesseract.ChoiceIterator","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\ChoiceIterator.cs","9","5","66","6","1","3","0","0","0","0","0","0","0","0","18","1","18","1","0","0","36","58","0","1","0","0","0","0","0","5","0","3","0","12","1","0","0","6","1","15","0","5","1","4","0","11","0","18","36","58","0","1","0","0","5","0","3","0","12","15","0","5","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","DisposableBase","Tesseract.DisposableBase","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\DisposableBase.cs","7","2","46","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","29","40","0","1","0","0","0","0","1","7","0","2","1","7","0","11","21","0","0","10","0","2","1","0","3","7","0","0","29","40","0","1","0","1","7","0","2","1","7","10","0","2","1","9","0","0","3","0","0","0","0","1","0","0","1","1","0"
"L426","EngineConfig","Tesseract.EngineConfig","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\EngineConfig.cs","6","2","24","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","19","0","2","0","0","0","0","2","5","0","5","2","5","0","0","0","0","0","4","0","5","2","0","6","5","0","0","12","19","0","2","0","2","5","0","5","2","5","4","0","5","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L449","FontAttributes","Tesseract.FontAttributes","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\FontAttributes.cs","13","5","29","6","0.166667","1","0","0","0","0","0","0","0","0","8","0","8","0","0","0","15","17","0","4","0","0","0","0","4","9","0","5","4","9","0","0","0","0","0","4","0","5","4","1","5","9","0","8","15","17","0","4","0","4","9","0","5","4","9","4","0","5","4","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L452","FontInfo","Tesseract.FontInfo","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\FontInfo.cs","10","5","36","6","0.125","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","24","27","0","7","0","0","0","0","7","15","0","7","7","15","0","0","0","0","0","7","0","7","7","1","7","15","0","4","24","27","0","7","0","7","15","0","7","7","15","7","0","7","7","15","0","0","4","0","0","1","0","0","0","0","1","0","3"
"L1852","LeptonicaException","Tesseract.LeptonicaException","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\LeptonicaException.cs","7","5","17","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","11","11","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L872","LoadLibraryException","Tesseract.LoadLibraryException","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\LoadLibraryException.cs","7","5","17","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","0","0","3","0","0","4","4","0","0","11","11","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1883","MathHelper","Tesseract.MathHelper","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\MathHelper.cs","7","5","40","6","0.75","0","0","0","0","0","0","0","0","0","9","0","9","2","0","0","16","34","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","4","0","3","0","3","1","3","0","9","16","34","0","0","0","0","3","0","3","0","3","4","0","3","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L244","Page","Tesseract.Page","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\Page.cs","14","5","375","6","0.869565","19","0","0","0","0","0","0","0","0","102","1","96","1","0","0","204","362","0","6","0","0","0","0","5","29","0","22","5","36","1","0","0","42","1","106","0","24","6","20","3","71","0","102","204","362","0","6","0","5","29","0","22","5","36","106","0","24","6","53","0","0","6","0","0","0","0","0","0","3","1","0","2"
"L1991","PageIterator","Tesseract.PageIterator","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\PageIterator.cs","15","5","207","6","0.75","12","0","0","0","0","0","0","0","0","56","1","56","1","0","0","119","193","0","2","0","0","0","0","1","13","0","11","0","20","1","1","1","18","1","61","0","13","1","9","3","31","0","56","119","193","0","2","0","1","13","0","11","0","20","61","0","13","1","27","0","0","2","0","0","0","0","0","0","1","1","0","0"
"L1918","Pix","Tesseract.Pix","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\Pix.cs","9","5","940","6","0.486486","14","0","0","0","0","0","0","0","0","338","1","314","2","0","0","409","932","0","8","0","0","0","0","7","39","0","36","3","46","1","0","0","56","1","225","0","38","4","18","19","95","0","338","409","932","0","8","0","7","39","0","36","3","46","225","0","38","4","90","0","0","14","0","0","1","0","1","0","7","1","0","5"
"L2431","PixArray","Tesseract.PixArray","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\PixArray.cs","14","2","312","3","0.888889","7","0","0","0","0","0","0","0","0","52","1","51","3","0","0","88","191","0","2","0","0","0","0","1","11","0","8","0","18","1","0","0","15","1","38","0","10","1","8","1","26","0","59","158","299","0","4","0","2","17","0","10","0","31","68","0","14","2","21","0","0","3","0","0","0","0","1","0","0","2","0","0"
"L2219","PixColormap","Tesseract.PixColormap","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\PixColormap.cs","15","5","156","6","0.0588235","3","0","0","0","0","0","0","0","0","7","0","7","1","0","0","109","142","0","5","0","0","0","0","5","18","0","16","1","18","0","0","0","21","0","45","0","16","1","1","16","39","0","7","109","142","0","5","0","5","18","0","16","1","18","45","0","16","1","43","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L2276","PixData","Tesseract.PixData","L104","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\PixData.cs","8","2","231","3","0.833333","3","0","0","0","0","0","0","0","0","61","0","49","14","0","0","93","224","0","3","0","0","0","0","3","21","0","17","3","21","0","0","0","5","0","31","0","17","3","15","3","26","0","61","93","224","0","3","0","3","21","0","17","3","21","31","0","17","3","25","0","0","4","0","0","0","0","1","0","0","1","0","2"
