"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L225",".ctor","Tesseract.AggregateResultRenderer.AggregateResultRenderer(params Tesseract.IResultRenderer[])void","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","51","9","54","10","0","0","0","0","0","0","0","4","4","0","0","4","4","1","0","0","0","1","0","1","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L229",".ctor","Tesseract.AggregateResultRenderer.AggregateResultRenderer(IEnumerable<Tesseract.IResultRenderer>)void","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","60","9","65","10","0","0","0","0","0","0","0","4","4","0","0","5","6","1","0","0","0","0","2","1","0","4","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L237","get_PageNumber","Tesseract.AggregateResultRenderer.PageNumber.getint","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","72","13","72","40","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","1","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L240","get_ResultRenderers","Tesseract.AggregateResultRenderer.ResultRenderers.getIEnumerable<Tesseract.IResultRenderer>","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","80","13","80","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","1","0","0","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L242","AddPage","Tesseract.AggregateResultRenderer.AddPage(Tesseract.Page)bool","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","88","9","101","10","0","0","0","0","0","0","0","5","5","0","0","12","14","3","0","0","0","3","7","1","0","5","12","14","7","0","0","0","0","0","0","0","0","0","0","0"
"L253","BeginDocument","Tesseract.AggregateResultRenderer.BeginDocument(string)IDisposable","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","108","9","138","10","0","0","0","0","0","0","0","8","5","0","0","24","31","5","0","0","0","4","15","1","0","8","24","31","15","0","0","0","0","0","0","0","0","0","0","0"
"L264","Dispose","Tesseract.AggregateResultRenderer.Dispose(bool)void","L171","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\AggregateResultRenderer.cs","140","9","157","10","0","0","0","0","0","0","0","2","0","0","0","16","18","4","0","0","0","1","8","1","0","2","16","18","8","0","0","0","0","0","0","0","0","0","0","0"
"L271","GetDataBit","Tesseract.BitmapHelper.GetDataBit(byte*, int)byte","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","15","9","20","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","2","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L279","SetDataBit","Tesseract.BitmapHelper.SetDataBit(byte*, int, byte)void","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","23","9","30","4","0","0","0","0","0","0","0","2","0","0","0","7","8","1","0","0","0","0","3","3","0","2","7","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L283","GetDataQBit","Tesseract.BitmapHelper.GetDataQBit(byte*, int)byte","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","33","9","38","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","2","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L286","SetDataQBit","Tesseract.BitmapHelper.SetDataQBit(byte*, int, byte)void","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","41","9","48","4","0","0","0","0","0","0","0","2","0","0","0","7","8","1","0","0","0","0","3","3","0","2","7","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L290","GetDataByte","Tesseract.BitmapHelper.GetDataByte(byte*, int)byte","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","51","9","56","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","2","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L293","SetDataByte","Tesseract.BitmapHelper.SetDataByte(byte*, int, byte)void","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","59","9","64","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","3","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L297","GetDataUInt16","Tesseract.BitmapHelper.GetDataUInt16(ushort*, int)ushort","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","67","9","72","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","2","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L304","SetDataUInt16","Tesseract.BitmapHelper.SetDataUInt16(ushort*, int, ushort)void","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","75","9","80","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","3","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L308","GetDataUInt32","Tesseract.BitmapHelper.GetDataUInt32(uint*, int)uint","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","83","9","88","4","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","2","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L315","SetDataUInt32","Tesseract.BitmapHelper.SetDataUInt32(uint*, int, uint)void","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","91","9","96","10","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","1","3","0","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"L319","ConvertRgb555ToRGBA","Tesseract.BitmapHelper.ConvertRgb555ToRGBA(uint)uint","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","104","9","116","10","0","0","0","0","0","0","0","0","0","0","0","11","13","1","0","0","0","0","4","1","0","0","11","13","4","0","0","0","0","0","0","0","0","0","0","0"
"L321","ConvertRgb565ToRGBA","Tesseract.BitmapHelper.ConvertRgb565ToRGBA(uint)uint","L266","L103","D:\DataCollection\repos\charlesw_tesseract\src\Tesseract\BitmapHelper.cs","119","9","131","10","0","0","0","0","0","0","0","0","0","0","0","11","13","1","0","0","0","0","4","1","0","0","11","13","4","0","0","0","0","0","0","0","0","0","0","0"
