"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L184","ParseInput","ThermoRawFileParser.ParseInput","L104","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","7","5","175","6","0.275862","4","0","0","0","0","0","0","0","0","25","0","25","2","0","0","92","169","0","29","0","0","0","0","29","60","0","57","25","60","0","0","0","1","0","30","0","57","25","16","42","61","0","25","92","169","0","29","0","29","60","0","57","25","60","30","0","57","25","62","0","0","16","0","0","1","0","1","0","1","1","0","13"
"L419","MainClass","ThermoRawFileParser.MainClass","L104","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\MainClass.cs","18","5","991","6","0","10","0","0.243347","2","34","0","5","0.144764","0.149133","18","0","6","2","141","129","870","974","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","49","0","278","0","1","0","0","2","57","0","18","870","974","0","0","0","0","8","0","1","0","8","278","0","1","0","138","0","0","47","0","0","6","23","1","5","3","1","0","14"
"L694","RawFileParserException","ThermoRawFileParser.RawFileParserException","L104","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\RawFileParserException.cs","6","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","18","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","2","0","0","0","3","0","0","4","6","0","0","15","18","0","0","0","0","4","0","3","0","4","0","0","3","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L884","RawFileParser","ThermoRawFileParser.RawFileParser","L104","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\RawFileParser.cs","13","5","188","6","0.5","10","0","0","0","0","0","0","0","0","24","0","12","1","0","0","134","176","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","18","0","66","0","1","0","1","1","21","0","24","134","176","0","0","0","0","3","0","1","0","3","66","0","1","0","23","0","0","4","0","0","2","0","0","1","1","1","0","1"
"L5524","OntologyMappingTests","ThermoRawFileParserTest.OntologyMappingTests","L5518","L5517","D:\DataCollection\repos\compomics_ThermoRawFileParser\ThermoRawFileParserTest\OntologyMappingTests.cs","8","5","24","6","0","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","14","17","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","6","0","1","0","0","2","3","0","3","14","17","0","0","0","0","1","0","1","0","1","6","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5533","UtilTests","ThermoRawFileParserTest.UtilTests","L5518","L5517","D:\DataCollection\repos\compomics_ThermoRawFileParser\ThermoRawFileParserTest\UtilTests.cs","6","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","20","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","6","0","1","0","0","2","1","0","0","19","20","0","0","0","0","1","0","1","0","1","6","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L5541","WriterTests","ThermoRawFileParserTest.WriterTests","L5518","L5517","D:\DataCollection\repos\compomics_ThermoRawFileParser\ThermoRawFileParserTest\WriterTests.cs","17","5","288","6","0","5","0","0","0","0","0","0","0","0","17","0","0","9","0","0","185","272","0","0","0","0","0","0","0","9","0","9","0","9","0","0","0","29","0","136","0","9","0","0","10","38","0","17","185","272","0","0","0","0","9","0","9","0","9","136","0","9","0","14","0","0","5","0","0","0","0","1","0","3","1","0","0"
"L5637","XicReaderTests","ThermoRawFileParserTest.XicReaderTests","L5518","L5517","D:\DataCollection\repos\compomics_ThermoRawFileParser\ThermoRawFileParserTest\XicReaderTests.cs","11","5","289","6","0","7","0","0.610747","2","4","0","4","0.408602","0.525424","6","0","0","4","114","62","120","279","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","21","0","49","0","4","0","0","5","25","0","6","120","279","0","0","0","0","4","0","4","0","4","49","0","4","0","4","0","0","30","0","0","0","26","1","0","2","1","0","0"
"L1044","ProxiSpectrum","ThermoRawFileParser.Query.ProxiSpectrum","L1043","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Query\ProxiSpectrum.cs","10","5","38","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","29","0","3","0","0","0","0","3","10","0","10","3","10","0","0","0","1","0","6","0","10","3","0","11","11","0","0","24","29","0","3","0","3","10","0","10","3","10","6","0","10","3","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L711","QueryParameters","ThermoRawFileParser.Query.QueryParameters","L1043","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Query\QueryParameters.cs","5","5","83","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","65","79","0","12","0","0","0","0","12","26","0","26","9","26","0","0","0","0","0","29","0","26","9","0","27","26","0","0","65","79","0","12","0","12","26","0","26","9","26","29","0","26","9","27","0","0","9","0","0","0","0","0","0","1","1","0","7"
"L766","QueryExecutor","ThermoRawFileParser.Query.QueryExecutor","L1043","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Query\QueryExecutor.cs","10","5","121","6","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","0","92","112","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","7","0","46","0","1","0","0","2","11","0","3","92","112","0","0","0","0","4","0","1","0","4","46","0","1","0","21","0","0","2","0","0","1","0","0","1","0","1","0","0"
"L1166","ProxiSpectrumReader","ThermoRawFileParser.Query.ProxiSpectrumReader","L1043","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Query\ProxiSpectrumReader.cs","16","5","269","6","0","6","0","0.0435154","1","4","0","1","0.0826772","0.071066","24","0","0","1","21","14","199","254","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","19","0","94","0","2","0","0","3","21","0","24","199","254","0","0","0","0","2","0","2","0","2","94","0","2","0","26","0","0","14","0","0","1","6","0","1","1","1","0","5"
"L1595","CVHelpers","ThermoRawFileParser.Util.CVHelpers","L1594","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Util\CVHelpers.cs","5","5","20","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","16","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","14","0","1","0","1","0","0","2","15","0","0","16","16","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","2","0","0","0","0","0","0","1","1","0","0"
"L1631","LimitedSizeDictionary","ThermoRawFileParser.Util.LimitedSizeDictionary<TKey, TValue>","L1594","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Util\LimitedSizeDictionary.cs","7","5","101","6","0.0714286","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","76","95","0","1","0","0","0","0","1","14","0","13","1","14","0","0","0","0","0","24","0","13","1","1","13","14","0","1","76","95","0","1","0","1","14","0","13","1","14","24","0","13","1","18","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1261","NativeMethods","ThermoRawFileParser.Util.NativeMethods","L1594","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Util\NativeMethods.cs","15","5","65","6","0.333333","0","0","0","0","0","0","0","0","0","6","0","6","1","0","0","44","51","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","0","0","10","0","2","0","1","2","4","0","6","44","51","0","0","0","0","4","0","2","0","4","10","0","2","0","6","0","0","2","0","0","1","0","0","0","0","1","0","1"
"L1855","PeptideData","ThermoRawFileParser.Util.PeptideData","L1594","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Util\Peptide.cs","8","5","40","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","31","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1863","Peptide","ThermoRawFileParser.Util.Peptide","L1594","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Util\Peptide.cs","41","5","69","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","22","29","0","1","0","0","0","0","1","5","0","4","0","5","0","0","0","0","0","8","0","4","0","0","5","5","0","0","22","29","0","1","0","1","5","0","4","0","5","8","0","4","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1903","PrecursorInfo","ThermoRawFileParser.Writer.PrecursorInfo","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\PrecursorInfo.cs","6","5","35","6","0.714286","1","0","0","0","0","0","0","0","0","8","0","8","0","0","0","20","30","0","4","0","0","0","0","4","6","0","6","0","6","0","0","0","0","0","7","0","6","0","5","2","6","0","8","20","30","0","4","0","4","6","0","6","0","6","7","0","6","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1363","ScanTrailer","ThermoRawFileParser.Writer.ScanTrailer","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\ScanTrailer.cs","9","5","163","6","0.6","0","0","0","0","0","0","0","0","0","42","0","42","1","0","0","83","155","0","3","0","0","0","0","3","14","0","14","0","14","0","0","0","0","0","29","0","14","0","9","6","14","0","42","83","155","0","3","0","3","14","0","14","0","14","29","0","14","0","26","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2639","Metadata","ThermoRawFileParser.Writer.Metadata","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\Metadata.cs","6","5","76","6","0.133333","1","0","0","0","0","0","0","0","0","10","0","10","3","0","0","47","71","0","5","0","0","0","0","5","14","0","14","0","14","0","0","0","0","0","10","0","14","0","2","13","14","0","10","47","71","0","5","0","5","14","0","14","0","14","10","0","14","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1063","ProxiCvTerm","ThermoRawFileParser.Writer.ProxiCvTerm","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\Metadata.cs","78","5","103","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","26","0","5","0","0","0","0","5","11","0","11","5","11","0","0","0","0","0","5","0","11","5","0","12","11","0","0","21","26","0","5","0","5","11","0","11","5","11","5","0","11","5","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2645","CVTerm","ThermoRawFileParser.Writer.CVTerm","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\Metadata.cs","105","5","166","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","40","0","1","0","0","0","0","1","5","0","5","0","5","0","0","0","0","0","6","0","5","0","0","6","5","0","0","52","62","0","1","0","1","7","0","7","0","7","21","0","7","0","5","0","0","3","0","0","0","0","1","0","0","2","0","0"
"L1563","MetadataWriter","ThermoRawFileParser.Writer.MetadataWriter","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MetadataWriter.cs","16","5","530","6","0.666667","5","0","0","0","0","0","0","0","0","28","0","10","1","0","0","412","515","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","15","0","190","0","2","0","2","1","20","0","28","412","515","0","0","0","0","5","0","2","0","5","190","0","2","0","89","0","0","13","0","0","3","0","0","3","0","1","0","9"
"L1575","MgfSpectrumWriter","ThermoRawFileParser.Writer.MgfSpectrumWriter","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MgfSpectrumWriter.cs","16","5","262","6","0.333333","6","0","0","0","0","0","0","0","0","23","2","1","1","0","0","183","247","0","0","0","0","0","0","0","2","0","2","0","11","2","0","0","18","2","88","0","6","0","1","2","20","0","23","183","247","0","0","0","0","2","0","2","0","11","88","0","6","0","29","0","0","8","0","0","1","0","0","1","1","1","1","4"
"L1582","MzMlSpectrumWriter","ThermoRawFileParser.Writer.MzMlSpectrumWriter","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzMlSpectrumWriter.cs","26","5","2883","6","0.333333","24","0","0.215875","10","92","0","33","0.243177","0.27866","271","2","61","1","695","632","2272","2836","0","0","0","0","0","0","0","22","0","2","0","31","2","0","0","94","2","835","0","6","0","1","2","116","0","271","2272","2858","0","0","0","0","22","0","2","0","31","835","0","6","0","228","0","0","120","0","0","10","61","0","7","11","1","1","39"
"L3330","OntologyMapping","ThermoRawFileParser.Writer.OntologyMapping","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\OntologyMapping.cs","10","5","1058","6","0.4","2","0","0","0","0","0","0","0","0","44","0","10","4","0","0","957","1049","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","5","0","22","0","4","0","2","3","9","0","44","957","1049","0","0","0","0","4","0","4","0","4","22","0","4","0","40","0","0","7","0","0","1","0","1","1","0","1","0","4"
"L1588","ParquetSpectrumWriter","ThermoRawFileParser.Writer.ParquetSpectrumWriter","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\ParquetSpectrumWriter.cs","17","5","222","6","0","5","0","0","0","0","0","0","0","0","5","2","0","1","0","0","174","206","0","0","0","0","0","0","0","5","0","3","0","14","2","0","0","43","2","54","0","7","0","0","4","48","0","5","174","206","0","0","0","0","5","0","3","0","14","54","0","7","0","19","0","0","5","0","0","0","0","0","0","2","1","1","1"
"L5000","PScan","ThermoRawFileParser.Writer.PScan","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\ParquetSpectrumWriter.cs","226","5","252","6","0.0731707","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","23","27","0","20","0","0","0","0","20","40","0","40","20","40","0","0","0","0","0","0","0","40","20","3","38","40","0","5","23","27","0","20","0","20","40","0","40","20","40","0","0","40","20","40","0","0","11","0","0","0","0","0","0","0","1","0","10"
"L334","S3Loader","ThermoRawFileParser.Writer.S3Loader","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\S3Loader.cs","9","5","93","6","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","70","85","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","21","0","2","0","0","3","2","0","2","70","85","0","0","0","0","2","0","2","0","2","21","0","2","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1341","SpectrumWriter","ThermoRawFileParser.Writer.SpectrumWriter","L1902","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\SpectrumWriter.cs","14","5","270","6","0.5","5","0","0","0","0","0","0","0","0","41","1","30","3","0","0","176","257","0","0","0","0","0","0","0","8","0","3","0","9","1","3","3","14","1","75","0","4","0","2","2","22","0","41","176","257","0","0","0","0","8","0","3","0","9","75","0","4","0","38","0","0","3","0","0","2","0","1","1","0","1","0","0"
"L2051","JSONInputUnit","ThermoRawFileParser.XIC.JSONInputUnit","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\JSONInputUnit.cs","6","5","66","6","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","48","61","0","11","0","0","0","0","11","25","0","25","11","25","0","0","0","0","0","3","0","25","11","0","26","25","0","0","48","61","0","11","0","11","25","0","25","11","25","3","0","25","11","26","0","0","9","0","0","0","0","1","0","0","1","0","7"
"L2114","JSONParser","ThermoRawFileParser.XIC.JSONParser","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\JSONParser.cs","9","5","162","6","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","64","154","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","22","0","33","0","2","0","0","3","24","0","0","64","154","0","0","0","0","2","0","2","0","2","33","0","2","0","13","0","0","4","0","0","1","0","1","1","1","1","0","0"
"L2150","XicData","ThermoRawFileParser.XIC.XicData","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicData.cs","5","5","27","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","23","0","2","0","0","0","0","2","6","0","6","2","6","0","0","0","3","0","6","0","6","2","0","7","9","0","0","19","23","0","2","0","2","6","0","6","2","6","6","0","6","2","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L672","XicExecutor","ThermoRawFileParser.XIC.XicExecutor","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicExecutor.cs","12","5","75","6","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","53","64","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","11","0","24","0","1","0","0","2","14","0","0","53","64","0","0","0","0","3","0","1","0","3","24","0","1","0","8","0","0","2","0","0","0","0","0","0","1","1","0","0"
"L461","XicParameters","ThermoRawFileParser.XIC.XicParameters","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicParameters.cs","5","5","67","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","56","63","0","11","0","0","0","0","11","24","0","24","9","24","0","0","0","0","0","26","0","24","9","0","25","24","0","0","56","63","0","11","0","11","24","0","24","9","24","26","0","24","9","25","0","0","8","0","0","0","0","0","0","1","1","0","6"
"L2338","XicMeta","ThermoRawFileParser.XIC.XicMeta","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicMeta.cs","6","5","52","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","47","0","6","0","0","0","0","6","14","0","14","6","14","0","0","0","0","0","12","0","14","6","0","15","14","0","0","39","47","0","6","0","6","14","0","14","6","14","12","0","14","6","14","0","0","4","0","0","0","0","0","0","1","1","0","2"
"L2277","XicReader","ThermoRawFileParser.XIC.XicReader","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicReader.cs","14","5","268","6","0","7","0","0.0445804","1","4","0","1","0.0823529","0.0682927","16","0","5","1","21","14","206","255","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","24","0","93","0","1","0","0","2","27","0","16","206","255","0","0","0","0","3","0","1","0","3","93","0","1","0","36","0","0","13","0","0","1","6","0","1","1","1","0","4"
"L2166","XicUnit","ThermoRawFileParser.XIC.XicUnit","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicUnit.cs","5","5","98","6","0","1","0","0.375405","1","8","0","2","0.446809","0.493827","0","0","0","1","42","40","82","94","0","3","0","0","0","0","3","11","0","11","3","11","0","0","0","14","0","33","0","11","3","0","12","25","0","0","82","94","0","3","0","3","11","0","11","3","11","33","0","11","3","20","0","0","14","0","0","0","12","0","0","0","1","0","1"
"L2199","XicOutputMeta","ThermoRawFileParser.XIC.XicOutputMeta","L2050","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\XIC\XicOutputMeta.cs","5","5","21","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","17","0","2","0","0","0","0","2","6","0","6","2","6","0","0","0","0","0","4","0","6","2","0","7","6","0","0","15","17","0","2","0","2","6","0","6","2","6","4","0","6","2","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2760","CvTermEqualityComparer","ThermoRawFileParser.Writer.CVTerm.CvTermEqualityComparer","L2645","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\Metadata.cs","135","9","158","10","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22","24","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","15","0","2","0","0","3","2","0","0","22","24","0","0","0","0","2","0","2","0","2","15","0","2","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L4083","mzMLType","ThermoRawFileParser.Writer.MzML.mzMLType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","18","5","172","6","0.72","9","0","0","0","0","0","0","0","0","1","0","1","0","0","0","104","155","0","12","0","0","0","0","12","24","0","24","12","24","0","0","0","0","0","24","0","24","12","18","7","24","0","1","104","155","0","12","0","12","24","0","24","12","24","24","0","24","12","24","0","0","7","0","0","0","0","0","0","0","1","0","6"
"L4085","CVListType","ThermoRawFileParser.Writer.MzML.CVListType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","175","5","207","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","24","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3280","CVType","ThermoRawFileParser.Writer.MzML.CVType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","210","5","269","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","60","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","0","0","8","0","8","4","0","9","8","0","0","40","60","0","4","0","4","8","0","8","4","8","8","0","8","4","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4199","OffsetType","ThermoRawFileParser.Writer.MzML.OffsetType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","272","5","343","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","72","0","5","0","0","0","0","5","10","0","10","5","10","0","0","0","0","0","10","0","10","5","0","11","10","0","0","47","72","0","5","0","5","10","0","10","5","10","10","0","10","5","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4225","IndexType","ThermoRawFileParser.Writer.MzML.IndexType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","346","5","378","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","25","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4243","IndexListType","ThermoRawFileParser.Writer.MzML.IndexListType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","394","5","426","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","24","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4256","DataProcessingType","ThermoRawFileParser.Writer.MzML.DataProcessingType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","429","5","461","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","33","0","2","0","0","0","0","2","4","0","4","2","4","0","0","0","0","0","4","0","4","2","0","5","4","0","0","24","33","0","2","0","2","4","0","4","2","4","4","0","4","2","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L4258","ProcessingMethodType","ThermoRawFileParser.Writer.MzML.ProcessingMethodType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","464","5","496","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","23","33","0","5","0","0","0","0","2","4","0","4","2","10","1","0","0","0","1","4","0","10","5","0","5","4","0","0","23","33","0","5","0","2","4","0","4","2","10","4","0","10","5","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L3902","ParamGroupType","ThermoRawFileParser.Writer.MzML.ParamGroupType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","499","5","560","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","62","0","3","0","0","0","0","3","6","0","6","3","6","0","13","16","0","0","6","0","6","3","0","7","6","0","0","50","62","0","3","0","3","6","0","6","3","6","6","0","6","3","6","0","0","2","0","0","0","0","0","0","0","1","1","0"
"L4281","ReferenceableParamGroupRefType","ThermoRawFileParser.Writer.MzML.ReferenceableParamGroupRefType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","563","5","582","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","20","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","2","0","2","1","0","3","2","0","0","15","20","0","1","0","1","2","0","2","1","2","2","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1597","CVParamType","ThermoRawFileParser.Writer.MzML.CVParamType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","585","5","683","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","99","0","7","0","0","0","0","7","14","0","14","7","14","0","0","0","0","0","14","0","14","7","0","15","14","0","0","64","99","0","7","0","7","14","0","14","7","14","14","0","14","7","14","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3989","UserParamType","ThermoRawFileParser.Writer.MzML.UserParamType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","686","5","770","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","85","0","6","0","0","0","0","6","12","0","12","6","12","0","0","0","0","0","12","0","12","6","0","13","12","0","0","55","85","0","6","0","6","12","0","12","6","12","12","0","12","6","12","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L3430","ChromatogramType","ThermoRawFileParser.Writer.MzML.ChromatogramType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","773","5","868","6","0.4","4","0","0","0","0","0","0","0","0","1","1","1","0","0","0","64","96","0","10","0","0","0","0","7","14","0","14","7","20","1","0","0","0","1","14","0","20","10","6","9","14","0","1","64","96","0","10","0","7","14","0","14","7","20","14","0","20","10","14","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L1918","PrecursorType","ThermoRawFileParser.Writer.MzML.PrecursorType","L4081","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\Writer\MzML\mzML1_1_1_idx.cs","871","5","952","6","0.461538","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","55","82","0","6","0","0","0","0","6","12","0","12","6","12","0","0","0","0","0","12","0","12","6","6","7","12","0","1","55","82","0","6","0","6","12","0","12","6","12","12","0","12","6","12","0","0","3","0","0","0","0","0","0","0","1","0","2"
