"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L188","get_AllLevels","ThermoRawFileParser.ParseInput.AllLevels.getSystem.Collections.Generic.HashSet<int>","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","10","48","10","106","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","get_RawDirectoryPath","ThermoRawFileParser.ParseInput.RawDirectoryPath.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","26","42","26","46","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","set_RawDirectoryPath","ThermoRawFileParser.ParseInput.RawDirectoryPath.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","26","47","26","51","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","get_RawFilePath","ThermoRawFileParser.ParseInput.RawFilePath.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","30","13","30","33","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","set_RawFilePath","ThermoRawFileParser.ParseInput.RawFilePath.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","31","13","39","14","0","0","0","0","0","0","0","0","0","0","0","9","9","2","0","0","0","1","4","1","0","0","9","9","4","0","0","0","0","0","0","0","0","0","0","0"
"L230","get_UserProvidedPath","ThermoRawFileParser.ParseInput.UserProvidedPath.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","43","13","43","42","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","get_Errors","ThermoRawFileParser.ParseInput.Errors.getint","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","48","13","48","28","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","get_Warnings","ThermoRawFileParser.ParseInput.Warnings.getint","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","52","13","52","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","get_OutputDirectory","ThermoRawFileParser.ParseInput.OutputDirectory.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","58","41","58","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","set_OutputDirectory","ThermoRawFileParser.ParseInput.OutputDirectory.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","58","46","58","50","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","get_OutputFile","ThermoRawFileParser.ParseInput.OutputFile.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","63","36","63","40","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L249","set_OutputFile","ThermoRawFileParser.ParseInput.OutputFile.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","63","41","63","45","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","get_OutputFormat","ThermoRawFileParser.ParseInput.OutputFormat.getThermoRawFileParser.OutputFormat","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","68","44","68","48","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L255","set_OutputFormat","ThermoRawFileParser.ParseInput.OutputFormat.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","68","49","68","53","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","get_MetadataFormat","ThermoRawFileParser.ParseInput.MetadataFormat.getThermoRawFileParser.MetadataFormat","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","73","48","73","52","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","set_MetadataFormat","ThermoRawFileParser.ParseInput.MetadataFormat.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","73","53","73","57","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L263","get_MetadataOutputFile","ThermoRawFileParser.ParseInput.MetadataOutputFile.getstring","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","78","44","78","48","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L267","set_MetadataOutputFile","ThermoRawFileParser.ParseInput.MetadataOutputFile.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","78","49","78","53","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","get_Gzip","ThermoRawFileParser.ParseInput.Gzip.getbool","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","83","28","83","32","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","set_Gzip","ThermoRawFileParser.ParseInput.Gzip.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","83","33","83","37","0","0","0","0","0","0","0","3","3","0","0","1","1","1","0","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L278","get_NoPeakPicking","ThermoRawFileParser.ParseInput.NoPeakPicking.getSystem.Collections.Generic.HashSet<int>","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","85","45","85","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","set_NoPeakPicking","ThermoRawFileParser.ParseInput.NoPeakPicking.setvoid","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","85","50","85","54","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L283","get_NoZlibCompression","ThermoRawFileParser.ParseInput.NoZlibCompression.getbool","L184","L103","D:\DataCollection\repos\compomics_ThermoRawFileParser\ParseInput.cs","87","41","87","45","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
