"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L126","MessageSearchResultsForm","WechatHistory.MessageSearchResultsForm","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MessageSearchResultsForm.cs","12","5","65","6","0","2","0","0.448718","1","1","0","1","0","0","17","0","8","5","0","0","90","125","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","1","0","49","0","1","0","0","2","10","0","17","90","125","0","0","0","0","9","0","1","0","9","49","0","1","0","13","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L476","FriendSearchResultsForm","WechatHistory.FriendSearchResultsForm","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\FriendSearchResultsForm.cs","12","5","50","6","0","1","0","0.532995","1","1","0","1","0","0","14","0","8","6","0","0","81","111","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","1","0","45","0","1","0","0","2","9","0","14","81","111","0","0","0","0","8","0","1","0","8","45","0","1","0","11","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L517","SpellCodeHelper","WechatHistory.SpellCodeHelper","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Hz2Py.cs","9","5","374","6","0.5","0","0","0","0","0","0","0","0","0","23","0","9","3","0","0","342","366","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","154","0","3","0","2","2","3","0","23","342","366","0","0","0","0","3","0","3","0","3","154","0","3","0","88","0","0","8","0","0","3","0","1","2","0","1","0","4"
"L643","Jump2PageForm","WechatHistory.Jump2PageForm","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Jump2PageForm.cs","12","5","70","6","0","0","0","0","0","0","0","0","0","0","23","0","8","2","0","0","118","158","0","0","0","0","0","0","0","8","0","1","0","8","0","0","0","0","0","71","0","1","0","0","2","8","0","23","118","158","0","0","0","0","8","0","1","0","8","71","0","1","0","20","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L155","MainForm","WechatHistory.MainForm","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","18","5","2666","6","0.6","7","0","0.0453597","1","3","0","3","0","0","355","0","118","9","0","0","2570","3014","0","0","0","0","0","0","0","54","0","4","1","54","0","0","0","12","0","1353","0","4","1","3","2","66","0","355","2570","3014","0","0","0","0","54","0","4","1","54","1353","0","4","1","248","0","0","50","0","0","8","9","1","5","0","1","0","34"
"L226","FriendInfo","WechatHistory.FriendInfo","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\MainForm.cs","2669","5","2676","7","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2050","Program","WechatHistory.Program","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Program.cs","8","5","27","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","20","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","5","0","0","0","0","1","2","0","0","17","20","0","0","0","0","1","0","0","0","1","5","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L933","ProgressForm","WechatHistory.ProgressForm","L104","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\ProgressForm.cs","12","5","33","6","0","0","0","0","0","0","0","0","0","0","17","0","11","2","0","0","53","85","0","1","0","0","0","0","1","4","0","1","0","4","0","0","0","0","0","30","0","1","0","0","2","4","0","17","53","85","0","1","0","1","4","0","1","0","4","30","0","1","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1507","Resources","WechatHistory.Properties.Resources","L2097","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Properties\Resources.Designer.cs","22","5","1225","6","0","0","0","0","0","0","0","0","0","0","18","0","18","0","0","0","600","1204","0","117","0","0","0","0","117","119","0","0","1","119","0","0","0","0","0","235","0","0","1","0","1","119","0","18","600","1204","0","117","0","117","119","0","0","1","119","235","0","0","1","120","0","0","12","0","0","1","0","0","1","1","1","0","9"
"L2244","Settings","WechatHistory.Properties.Settings","L2097","L103","D:\DataCollection\repos\cxun_WeChatHistory\Source\WechatHistory\Properties\Settings.Designer.cs","14","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","9","12","0","1","0","1","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
