"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L16053","DefaultGifAnimator","ImageGlass.DefaultGifAnimator","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DefaultGifAnimator.cs","32","5","68","6","1","1","0","0","0","0","0","0","0","0","22","1","22","4","0","0","14","37","0","0","0","0","0","0","0","4","0","4","0","8","1","0","0","0","1","4","0","8","0","5","0","4","0","22","14","37","0","0","0","0","4","0","4","0","8","4","0","8","0","4","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L16072","DragHandle","ImageGlass.DragHandle","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","13","5","43","6","0.111111","1","0","0","0","0","0","0","0","0","6","0","6","0","0","0","14","31","0","4","0","0","0","0","4","10","0","8","4","10","0","0","0","0","0","3","0","8","4","1","8","10","0","6","14","31","0","4","0","4","10","0","8","4","10","3","0","8","4","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L16113","DragHandleCollection","ImageGlass.DragHandleCollection","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandleCollection.cs","15","5","92","6","0.333333","2","0","0","0","0","0","0","0","0","12","0","12","2","0","0","34","78","0","2","0","0","0","0","2","6","0","5","0","6","0","0","0","4","0","20","0","5","0","2","4","10","0","12","34","78","0","2","0","2","6","0","5","0","6","20","0","5","0","9","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L16167","HighResolutionGifAnimator","ImageGlass.HighResolutionGifAnimator","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\HighResolutionGifAnimator.cs","42","5","278","6","0.857143","2","0","0","0","0","0","0","0","0","52","1","42","1","0","0","84","145","0","1","0","0","0","0","1","10","0","6","0","14","1","0","0","2","1","45","0","10","0","6","1","12","0","71","139","237","0","1","0","1","16","0","11","0","20","72","0","15","0","22","0","0","2","0","0","0","0","0","0","0","2","0","0"
"L16250","ImageBox","ImageGlass.ImageBox","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBox.cs","22","5","4833","6","0.43787","16","0","0","0","0","0","0","0","0","1026","0","950","39","0","0","2410","4812","0","62","0","0","0","0","62","292","0","168","52","292","0","1","1","17","0","1305","0","168","52","74","95","309","0","1026","2410","4812","0","62","0","62","292","0","168","52","292","1305","0","168","52","608","0","0","40","0","0","7","0","1","4","7","1","0","27"
"L17587","ImageBoxEx","ImageGlass.ImageBoxEx","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBoxEx.cs","17","5","859","6","0.133333","5","0","0.0855519","1","18","0","2","0.0474496","0.0712871","145","1","120","7","40","36","500","843","0","72","0","0","0","0","10","55","0","14","9","347","1","0","0","37","1","279","0","182","61","2","13","92","0","145","500","843","0","72","0","10","55","0","14","9","347","279","0","182","61","160","0","0","31","0","0","6","9","1","3","3","1","0","14"
"L17540","ImageBoxMouseWheelMessageFilter","ImageGlass.ImageBoxMouseWheelMessageFilter","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBoxMouseWheelMessageFilter.cs","21","5","125","6","1","2","0","0","0","0","0","0","0","0","23","0","13","1","0","0","50","105","0","1","0","0","0","0","1","4","0","2","1","4","0","0","0","2","0","25","0","2","1","3","0","6","0","23","50","105","0","1","0","1","4","0","2","1","4","25","0","2","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16365","ImageBoxScrollProperties","ImageGlass.ImageBoxScrollProperties","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBoxScrollProperties.cs","8","5","171","6","0.222222","0","0","0","0","0","0","0","0","0","11","0","11","0","0","0","81","164","0","7","0","0","0","0","7","16","0","8","8","16","0","0","0","0","0","35","0","8","8","2","7","16","0","11","81","164","0","7","0","7","16","0","8","8","16","35","0","8","8","26","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L16452","ImageBoxCancelEventArgs","ImageGlass.ImageBoxCancelEventArgs","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBoxCancelEventArgs.cs","17","5","49","6","1","0","0","0","0","0","0","0","0","0","20","0","20","0","0","0","8","33","0","1","0","0","0","0","1","4","0","2","1","4","0","0","0","0","0","1","0","2","1","3","0","4","0","20","8","33","0","1","0","1","4","0","2","1","4","1","0","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16478","ImageBoxZoomEventArgs","ImageGlass.ImageBoxZoomEventArgs","L113","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\ImageBoxZoomEventArgs.cs","16","5","72","6","1","2","0","0","0","0","0","0","0","0","35","0","35","0","0","0","14","57","0","4","0","0","0","0","4","10","0","5","4","10","0","0","0","0","0","4","0","5","4","6","0","10","0","35","14","57","0","4","0","4","10","0","5","4","10","4","0","5","4","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
