"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L16058","UpdateFrames","ImageGlass.DefaultGifAnimator.UpdateFrames(Image)void","L16053","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DefaultGifAnimator.cs","38","9","40","10","0","0","0","0","0","0","0","4","4","0","0","3","3","1","0","0","0","0","1","1","0","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L16061","StopAnimate","ImageGlass.DefaultGifAnimator.StopAnimate(Image, EventHandler)void","L16053","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DefaultGifAnimator.cs","47","9","49","10","0","0","0","0","0","0","0","5","5","0","0","3","3","1","0","0","0","0","1","2","0","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L16065","Animate","ImageGlass.DefaultGifAnimator.Animate(Image, EventHandler)void","L16053","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DefaultGifAnimator.cs","56","9","58","10","0","0","0","0","0","0","0","5","5","0","0","3","3","1","0","0","0","0","1","2","0","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L16069","CanAnimate","ImageGlass.DefaultGifAnimator.CanAnimate(Image)bool","L16053","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DefaultGifAnimator.cs","65","9","67","10","0","0","0","0","0","0","0","5","5","0","0","3","3","1","0","0","0","0","1","1","0","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L16074",".ctor","ImageGlass.DragHandle.DragHandle(ImageGlass.DragHandleAnchor)void","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","16","9","19","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L16079",".ctor","ImageGlass.DragHandle.DragHandle()void","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","25","9","28","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","2","0","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0"
"L16087","get_Anchor","ImageGlass.DragHandle.Anchor.getImageGlass.DragHandleAnchor","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","34","42","34","46","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16081","set_Anchor","ImageGlass.DragHandle.Anchor.setvoid","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","34","47","34","61","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16091","get_Bounds","ImageGlass.DragHandle.Bounds.getRectangle","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","36","35","36","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16094","set_Bounds","ImageGlass.DragHandle.Bounds.setvoid","L16072","L16029","D:\DataCollection\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageBox\DragHandle.cs","36","40","36","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
