"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L473","Extensions","NHapiTools.Base.Extensions","L125","L103","D:\DataCollection\repos\dib0_NHapiTools\src\Base\Extensions.cs","14","5","209","6","1","2","0","0","0","0","0","0","0","0","64","0","63","5","0","0","105","196","0","0","0","0","0","0","0","8","0","8","0","8","0","0","0","2","0","59","0","8","0","9","0","10","0","64","105","196","0","0","0","0","8","0","8","0","8","59","0","8","0","25","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L366630","AckTests","NHapiTools.Tests.AckTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\AckTests.cs","11","5","65","6","0","3","0","0.421245","1","3","0","1","0.454545","0.488372","0","0","0","1","25","21","45","55","0","1","0","0","0","0","1","3","0","1","0","3","0","0","0","2","0","20","0","1","0","0","2","5","0","0","45","55","0","1","0","1","3","0","1","0","3","20","0","1","0","6","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L366657","AutomatedContextTests","NHapiTools.Tests.AutomatedContextTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\AutomatedContextTests.cs","11","5","96","6","0","4","0","0.895122","2","5","0","2","0.813953","0.861538","1","0","0","1","70","56","67","86","0","2","0","0","0","0","2","5","0","2","0","5","0","0","0","6","0","35","0","2","0","0","3","11","0","1","67","86","0","2","0","2","5","0","2","0","5","35","0","2","0","8","0","0","20","0","0","0","19","0","0","0","1","0","0"
"L366682","ConfigurableContextTests","NHapiTools.Tests.ConfigurableContextTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\ConfigurableContextTests.cs","11","5","96","6","0","4","0","0.895122","2","5","0","2","0.813953","0.861538","1","0","0","1","70","56","67","86","0","2","0","0","0","0","2","5","0","2","0","5","0","0","0","6","0","35","0","2","0","0","3","11","0","1","67","86","0","2","0","2","5","0","2","0","5","35","0","2","0","8","0","0","20","0","0","0","19","0","0","0","1","0","0"
"L366750","ExtensionsTests","NHapiTools.Tests.ExtensionsTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\ExtensionsTests.cs","15","5","143","6","0","2","0","0.164051","1","3","0","1","0.193798","0.228261","2","0","0","1","25","21","94","129","0","1","0","0","0","0","1","7","0","5","0","7","0","0","0","2","0","54","0","5","0","0","6","9","0","2","94","129","0","1","0","1","7","0","5","0","7","54","0","5","0","16","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L366766","GenericMessageWrapperTests","NHapiTools.Tests.GenericMessageWrapperTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\GenericMessageWrapperTests.cs","13","5","111","6","0","4","0","0","0","0","0","0","0","0","3","0","0","2","0","0","69","99","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","2","0","46","0","2","0","0","3","4","0","3","69","99","0","0","0","0","2","0","2","0","2","46","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L366776","HL7FilterBase64AttachmentsStreamTests","NHapiTools.Tests.HL7FilterBase64AttachmentsStreamTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\HL7FilterBase64AttachmentsStreamTests.cs","8","5","64","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","47","57","0","2","0","0","0","0","2","5","0","2","0","5","0","0","0","1","0","17","0","2","0","0","3","6","0","0","47","57","0","2","0","2","5","0","2","0","5","17","0","2","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L366798","HL7InputStreamMessageEnumeratorTests","NHapiTools.Tests.HL7InputStreamMessageEnumeratorTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\HL7InputStreamMessageEnumeratorTests.cs","8","5","73","6","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","0","50","63","0","2","0","0","0","0","2","4","0","2","0","4","0","0","0","2","0","24","0","2","0","0","3","6","0","3","50","66","0","2","0","2","4","0","2","0","4","24","0","2","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L366816","HL7InputStreamMessageStringEnumeratorTests","NHapiTools.Tests.HL7InputStreamMessageStringEnumeratorTests","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\HL7InputStreamMessageStringEnumeratorTests.cs","8","5","73","6","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","0","50","63","0","2","0","0","0","0","2","4","0","2","0","4","0","0","0","2","0","24","0","2","0","0","3","6","0","3","50","66","0","2","0","2","4","0","2","0","4","24","0","2","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L366668","ParseResult","NHapiTools.Tests.ParseResult","L185646","L366613","D:\DataCollection\repos\dib0_NHapiTools\test\NHapiTools.Tests\ParseResult.cs","3","5","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","23","27","0","2","0","0","0","0","2","5","0","5","0","5","0","0","0","0","0","7","0","5","0","0","6","5","0","0","23","27","0","2","0","2","5","0","5","0","5","7","0","5","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
