"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L587","CameraMover","CameraMover","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","10","1","217","2","1","0","0","0","0","0","0","0","0","0","26","0","22","1","0","0","120","208","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","0","0","64","0","1","0","2","0","9","0","26","120","208","0","0","0","0","9","0","1","0","9","64","0","1","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L638","VNectBarracudaRunner","VNectBarracudaRunner","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","10","1","374","2","1","6","0","0","0","0","0","0","0","0","31","0","11","1","0","0","202","365","0","0","0","0","0","0","0","8","0","0","0","8","0","0","0","4","0","101","0","0","0","1","0","12","0","31","202","365","0","0","0","0","8","0","0","0","8","101","0","0","0","23","0","0","0","0","0","1","0","0","0","0","0","0","0"
"L862","EnumExtend","EnumExtend","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","50","1","56","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L651","VNectModel","VNectModel","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","58","1","418","2","0.25","4","0","0","0","0","0","0","0","0","40","0","9","1","0","0","230","333","0","1","0","0","0","0","1","7","0","3","0","7","0","0","0","1","0","166","0","3","0","1","3","8","0","40","255","361","0","1","0","1","7","0","3","0","7","166","0","3","0","18","0","0","8","0","0","2","0","0","0","0","3","0","5"
"L655","VideoCapture","VideoCapture","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VideoCapture.cs","5","1","125","2","0.333333","0","0","0","0","0","0","0","0","0","14","0","14","1","0","0","85","121","0","1","0","0","0","0","1","6","0","2","1","6","0","0","0","0","0","51","0","2","1","1","2","6","0","14","85","121","0","1","0","1","6","0","2","1","6","51","0","2","1","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6115","TriangleUtil","TriangleUtil","L100","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\VRM\UniGLTF\Scripts\IO\TriangleUtil.cs","6","1","51","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","40","46","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","17","0","4","0","0","5","4","0","0","40","46","0","0","0","0","4","0","4","0","4","17","0","4","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L24046","VRMMonoBehaviourComparator","VRMMonoBehaviourComparator","L100","L20765","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\VRM\UniVRM\Editor\VRMMonoBehaviourComparator.cs","6","1","30","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","24","25","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","8","0","2","0","0","3","2","0","0","24","25","0","0","0","0","2","0","2","0","2","8","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L129","AutoBlink","UnityChan.AutoBlink","L104","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Avatar\unity-chan!\Unity-chan! Model\Scripts\AutoBlink.cs","12","2","140","3","0","1","0","0","0","0","0","0","0","0","7","0","0","2","0","0","93","125","0","0","0","0","0","0","0","9","0","0","0","9","0","0","0","0","0","36","0","0","0","0","1","9","0","7","98","129","0","0","0","0","9","0","0","0","9","36","0","0","0","21","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L233","CameraController","UnityChan.CameraController","L104","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Avatar\unity-chan!\Unity-chan! Model\Scripts\CameraController.cs","28","2","174","3","0.333333","1","0","0","0","0","0","0","0","0","8","0","1","2","0","0","105","147","0","0","0","0","0","0","0","9","0","2","1","9","0","0","0","0","0","56","0","2","1","1","2","9","0","8","105","147","0","0","0","0","9","0","2","1","9","56","0","2","1","26","0","0","3","0","0","1","0","1","1","0","1","0","0"
"L281","FaceUpdate","UnityChan.FaceUpdate","L104","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Avatar\unity-chan!\Unity-chan! Model\Scripts\FaceUpdate.cs","6","2","70","3","0.5","1","0","0","0","0","0","0","0","0","2","0","1","1","0","0","55","65","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","0","0","26","0","1","0","1","1","5","0","2","55","65","0","0","0","0","5","0","1","0","5","26","0","1","0","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
