"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L600","Start","CameraMover.Start()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","66","5","72","6","0","0","0","0","0","0","0","1","0","0","0","5","7","1","0","0","0","0","2","0","0","1","5","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L603","Update","CameraMover.Update()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","74","5","86","6","0","0","0","0","0","0","0","0","0","0","0","11","13","2","0","0","0","5","6","0","0","0","11","13","6","0","0","0","0","0","0","0","0","0","0","0"
"L604","CamControlIsActive","CameraMover.CamControlIsActive()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","91","5","103","6","0","0","0","0","0","0","0","3","3","0","0","12","13","3","0","0","0","1","5","0","0","3","12","13","5","0","0","0","0","0","0","0","0","0","0","0"
"L607","ResetCameraRotation","CameraMover.ResetCameraRotation()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","108","5","115","6","0","0","0","0","0","0","0","3","3","0","0","8","8","2","0","0","0","0","3","0","0","3","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L609","CameraRotationMouseControl","CameraMover.CameraRotationMouseControl()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","120","5","141","6","0","0","0","0","0","0","0","5","3","0","0","17","22","3","0","0","0","0","10","0","0","5","17","22","10","0","0","0","0","0","0","0","0","0","0","0"
"L611","CameraSlideMouseControl","CameraMover.CameraSlideMouseControl()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","146","5","167","6","0","0","0","0","0","0","0","4","3","0","0","18","22","3","0","0","0","0","11","0","0","4","18","22","11","0","0","0","0","0","0","0","0","0","0","0"
"L613","CameraPositionKeyControl","CameraMover.CameraPositionKeyControl()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","172","5","184","6","0","0","0","0","0","0","0","3","3","0","0","11","13","7","0","0","0","0","14","0","0","3","11","13","14","0","0","0","0","0","0","0","0","0","0","0"
"L617","DisplayUiMessage","CameraMover.DisplayUiMessage()System.Collections.IEnumerator","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","190","5","200","6","0","0","0","0","0","0","0","4","4","0","0","11","11","2","0","0","0","0","6","0","0","4","11","11","6","0","0","0","0","0","0","0","0","0","0","0"
"L637","OnGUI","CameraMover.OnGUI()void","L587","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\CameraMover.cs","202","5","215","6","0","0","0","0","0","0","0","0","0","0","0","13","14","4","0","0","0","0","7","0","0","0","13","14","7","0","0","0","0","0","0","0","0","0","0","0"
"L704","Start","VNectBarracudaRunner.Start()void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","140","5","167","6","0","0","0","0","0","0","0","4","0","0","0","20","28","1","0","0","0","0","17","0","0","4","20","28","17","0","0","0","0","0","0","0","0","0","0","0"
"L735","Update","VNectBarracudaRunner.Update()void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","169","5","175","6","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","1","2","0","0","0","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L739","WaitLoad","VNectBarracudaRunner.WaitLoad()System.Collections.IEnumerator","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","177","5","213","6","0","0","0","0","0","0","0","6","0","0","0","23","37","3","0","0","0","3","16","0","0","6","23","37","16","0","0","0","0","0","0","0","0","0","0","0"
"L737","UpdateVNectModel","VNectBarracudaRunner.UpdateVNectModel()void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","224","5","243","6","0","0","0","0","0","0","0","5","5","0","0","18","20","2","0","0","0","2","10","0","0","5","18","20","10","0","0","0","0","0","0","0","0","0","0","0"
"L778","ExecuteModelAsync","VNectBarracudaRunner.ExecuteModelAsync()System.Collections.IEnumerator","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","253","5","275","6","0","0","0","0","0","0","0","4","0","0","0","15","23","3","0","0","0","1","8","0","0","4","15","23","8","0","0","0","0","0","0","0","0","0","0","0"
"L763","PredictPose","VNectBarracudaRunner.PredictPose()void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","280","5","350","6","0","0","0","0","0","0","0","9","3","0","0","58","71","10","0","0","0","2","37","0","0","9","58","71","37","0","0","0","0","0","1","0","0","0","0","0"
"L820","KalmanUpdate","VNectBarracudaRunner.KalmanUpdate(VNectModel.JointPoint)void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","356","5","363","6","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","5","1","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L830","measurementUpdate","VNectBarracudaRunner.measurementUpdate(VNectModel.JointPoint)void","L638","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectBarracudaRunner.cs","365","2","373","6","0","0","0","0","0","0","0","0","0","0","0","9","9","1","0","0","0","0","6","1","0","0","9","9","6","0","0","0","0","0","0","0","0","0","0","0"
"L796","Int","EnumExtend.Int(PositionIndex)int","L862","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","52","5","55","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L902","get_JointPoints","VNectModel.JointPoints.getVNectModel.JointPoint[]","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","107","39","107","66","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L914","Update","VNectModel.Update()void","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","125","5","131","6","0","0","0","0","0","0","0","0","0","0","0","7","7","2","0","0","0","1","2","0","0","0","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L761","Init","VNectModel.Init()VNectModel.JointPoint[]","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","137","5","305","6","0","0","0","0","0","0","0","27","4","0","0","120","169","6","0","0","0","5","110","0","0","27","120","169","110","0","0","5","0","0","2","0","0","0","0","5"
"L919","PoseUpdate","VNectModel.PoseUpdate()void","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","307","5","376","6","0","0","0","0","0","0","0","7","0","0","0","53","70","6","0","0","0","2","40","0","0","7","53","70","40","0","0","0","0","0","0","0","0","0","0","0"
"L957","TriangleNormal","VNectModel.TriangleNormal(Vector3, Vector3, Vector3)Vector3","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","378","5","387","6","0","0","0","0","0","0","0","0","0","0","0","8","10","1","0","0","0","0","5","3","0","0","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L953","GetInverse","VNectModel.GetInverse(VNectModel.JointPoint, VNectModel.JointPoint, Vector3)Quaternion","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","389","5","392","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","3","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L949","AddSkeleton","VNectModel.AddSkeleton(PositionIndex, PositionIndex)void","L651","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VNectModel.cs","399","5","417","6","0","0","0","0","0","0","0","6","5","0","0","15","19","1","0","0","0","1","7","2","0","6","15","19","7","0","0","0","0","0","0","0","0","0","0","0"
"L773","get_MainTexture","VideoCapture.MainTexture.getRenderTexture","L655","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VideoCapture.cs","22","40","22","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1024","set_MainTexture","VideoCapture.MainTexture.setvoid","L655","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VideoCapture.cs","22","45","22","57","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L767","Init","VideoCapture.Init(int, int)void","L655","L103","D:\DataCollection\repos\digital-standard_ThreeDPoseUnityBarracuda\Assets\Scripts\VideoCapture.cs","29","5","35","6","0","0","0","0","0","0","0","5","5","0","0","7","7","2","0","0","0","2","5","2","0","5","7","7","5","0","0","0","0","0","0","0","0","0","0","0"
