"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L2290","Injections","Injections","L100","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","7","1","689","2","0","32","0","0","0","0","0","0","0","0","0","0","0","29","0","0","653","683","0","0","0","0","0","0","0","29","0","29","0","29","0","0","0","25","0","271","0","29","0","0","30","54","0","0","653","683","0","0","0","0","29","0","29","0","29","271","0","29","0","213","0","0","17","0","0","13","0","1","7","1","1","0","7"
"L5408","AdminListConsole","AdminListConsole","L100","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\ConsoleCommands\AdminListConsole.cs","5","5","77","6","0","2","0","0.854093","3","15","0","3","0.69863","0.73913","0","0","0","1","51","51","70","73","0","3","0","0","0","0","3","4","0","1","0","4","0","0","0","2","0","27","0","1","0","0","2","6","0","0","70","73","0","3","0","3","4","0","1","0","4","27","0","1","0","10","0","0","13","0","0","0","12","0","0","0","1","0","0"
"L8557","AdminsConsole","AdminsConsole","L100","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\ConsoleCommands\@AdminConsole.cs","5","1","51","2","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","42","47","0","3","0","0","0","0","3","4","0","1","0","4","0","0","0","1","0","13","0","1","0","0","2","5","0","0","42","47","0","3","0","3","4","0","1","0","4","13","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L556","DupeLog","ServerTools.DupeLog","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\DupeLog\DupeLog.cs","9","5","307","6","0","2","0","0.593864","3","33","0","4","0.478261","0.496504","1","0","0","2","143","142","284","299","0","0","0","0","0","0","0","8","0","5","0","8","0","0","0","1","0","138","0","5","0","0","6","9","0","1","284","299","0","0","0","0","8","0","5","0","8","138","0","5","0","76","0","0","27","0","0","3","20","1","3","0","1","0","2"
"L823","BlockChange","ServerTools.BlockChange","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\BlockChange\BlockChange.cs","9","5","376","6","0","11","0","0","0","0","0","0","0","0","4","0","0","3","0","0","347","348","0","0","0","0","0","0","0","4","0","2","0","4","0","0","0","2","0","171","0","2","0","0","3","6","0","4","347","368","0","0","0","0","4","0","2","0","4","171","0","2","0","107","0","0","9","0","0","2","0","1","1","1","1","0","5"
"L906","DamageDetector","ServerTools.DamageDetector","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\DamageDetector\DamageDetector.cs","9","5","118","6","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","103","90","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","34","0","4","0","0","5","4","0","0","103","110","0","0","0","0","4","0","4","0","4","34","0","4","0","17","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1055","GodMode","ServerTools.GodMode","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\GodMode\GodMode.cs","7","5","34","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","26","28","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","12","0","1","0","0","2","1","0","0","26","28","0","0","0","0","1","0","1","0","1","12","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L899","InfiniteAmmo","ServerTools.InfiniteAmmo","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\InfiniteAmmo\InfiniteAmmo.cs","9","5","87","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","73","79","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","31","0","2","0","0","3","2","0","0","73","79","0","0","0","0","2","0","2","0","2","31","0","2","0","17","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1097","MagicBullet","ServerTools.MagicBullet","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\MagicBullet\MagicBullet.cs","9","5","52","6","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","41","44","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","18","0","1","0","0","2","2","0","0","41","44","0","0","0","0","1","0","1","0","1","18","0","1","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1119","NoVehicleDrone","ServerTools.NoVehicleDrone","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\No_Vehicle_Drone\NoVehicleDrone.cs","6","5","34","6","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","27","29","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","10","0","1","0","0","2","2","0","1","27","29","0","0","0","0","1","0","1","0","1","10","0","1","0","8","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1142","PlayerChecks","ServerTools.PlayerChecks","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\PlayerChecks\PlayerChecks.cs","9","5","157","6","0","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","142","149","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","6","0","65","0","2","0","0","3","8","0","0","142","149","0","0","0","0","2","0","2","0","2","65","0","2","0","46","0","0","6","0","0","2","0","1","2","0","1","0","2"
"L856","ProtectedZones","ServerTools.ProtectedZones","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\ProtectedZones\ProtectedZones.cs","10","5","356","6","0","3","0","0.134511","2","17","0","2","0.123919","0.129909","1","0","0","2","43","43","326","317","0","0","0","0","0","0","0","11","0","9","0","11","0","0","0","2","0","146","0","9","0","0","10","13","0","1","326","347","0","0","0","0","11","0","9","0","11","146","0","9","0","78","0","0","15","0","0","3","9","1","3","0","1","0","1"
"L1177","InvalidBuffs","ServerTools.InvalidBuffs","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\InvalidBuffs\InvalidBuffs.cs","9","5","238","6","0","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","215","230","0","0","0","0","0","0","0","8","0","5","0","8","0","0","0","1","0","104","0","5","0","0","6","9","0","1","215","230","0","0","0","0","8","0","5","0","8","104","0","5","0","45","0","0","4","0","0","2","0","0","2","0","1","0","1"
"L1185","SpeedDetector","ServerTools.SpeedDetector","L112","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\AntiCheat\SpeedDetector\SpeedDetector.cs","9","5","69","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","56","61","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","24","0","3","0","0","4","4","0","0","56","61","0","0","0","0","3","0","3","0","3","24","0","3","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
