"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L2313","PlayerSlotsAuthorizer_Authorize_Prefix","Injections.PlayerSlotsAuthorizer_Authorize_Prefix(ref (EAuthorizerSyncResult, GameUtils.KickPlayerData?), ClientInfo)bool","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","9","5","33","6","0","0","0","0","0","0","0","0","0","0","0","24","25","10","0","0","0","1","9","2","0","0","24","25","9","0","0","0","0","0","1","0","0","0","0","0"
"L2337","NetPackageSetBlock_ProcessPackage_Prefix","Injections.NetPackageSetBlock_ProcessPackage_Prefix(GameManager, ref System.Collections.Generic.List<BlockChangeInfo>, int)void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","35","5","45","6","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","1","3","3","0","0","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L2344","ServerConsoleCommand_Postfix","Injections.ServerConsoleCommand_Postfix(ClientInfo, string)void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","47","5","57","6","0","0","0","0","0","0","0","0","0","0","0","11","11","2","0","0","0","1","3","2","0","0","11","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L2352","AddFallingBlock_Prefix","Injections.AddFallingBlock_Prefix(World, Vector3i)void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","59","5","80","6","0","0","0","0","0","0","0","0","0","0","0","22","22","7","0","0","0","0","7","2","0","0","22","22","7","0","0","0","0","0","0","0","0","0","0","0"
"L2363","AddFallingBlocks_Prefix","Injections.AddFallingBlocks_Prefix(World, System.Collections.Generic.IList<Vector3i>)void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","82","5","127","6","0","0","0","0","0","0","0","0","0","0","0","45","46","12","0","0","0","0","16","2","0","0","45","46","16","0","0","1","0","0","1","0","1","0","0","0"
"L2381","GameManager_Cleanup_Finalizer","Injections.GameManager_Cleanup_Finalizer()void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","129","5","144","6","0","0","0","0","0","0","0","0","0","0","0","16","16","3","0","0","0","0","6","0","0","0","16","16","6","0","0","0","0","0","0","0","0","0","0","0"
"L2389","GameManager_CollectEntityServer_Prefix","Injections.GameManager_CollectEntityServer_Prefix(int)bool","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","146","5","168","6","0","0","0","0","0","0","0","0","0","0","0","23","23","7","0","0","0","1","9","1","0","0","23","23","9","0","0","0","0","0","0","0","0","0","0","0"
"L2395","GameManager_ExplosionServer_Prefix","Injections.GameManager_ExplosionServer_Prefix(int, Vector3i)bool","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","170","5","179","6","0","0","0","0","0","0","0","0","0","0","0","10","10","8","0","0","0","2","4","2","0","0","10","10","4","0","0","0","0","0","0","0","0","0","0","0"
"L2399","GameManager_OpenTileEntityAllowed_Prefix","Injections.GameManager_OpenTileEntityAllowed_Prefix(ref bool, ref bool, int, ref TileEntity)bool","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","181","5","248","6","0","0","0","0","0","0","0","0","0","0","0","68","68","24","0","0","0","2","34","4","0","0","68","68","34","0","0","2","0","0","2","0","1","0","0","1"
"L2421","GameManager_OpenTileEntityAllowed_Postfix","Injections.GameManager_OpenTileEntityAllowed_Postfix(bool, int)void","L2290","L103","D:\DataCollection\repos\dmustanger_7dtd-ServerTools\ServerTools\src\Harmony\Injections.cs","250","5","267","6","0","0","0","0","0","0","0","0","0","0","0","18","18","4","0","0","0","1","6","2","0","0","18","18","6","0","0","0","0","0","0","0","0","0","0","0"
