"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L42491","MaskGenerator","MaskGenerator","L100","L41292","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchAudio\Modules\Wav2Vec2Components.cs","1104","9","1226","10","1","3","0","0","0","0","0","0","0","0","29","3","29","1","0","0","92","123","0","4","0","0","0","0","0","3","0","2","0","74","4","0","0","2","2","32","0","43","0","3","0","5","0","29","92","123","0","4","0","0","3","0","2","0","74","32","0","43","0","6","0","0","3","0","0","1","0","0","0","0","0","1","2"
"L42549","LogitGenerator","LogitGenerator","L100","L41292","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchAudio\Modules\Wav2Vec2Components.cs","1259","9","1327","10","1","4","0","0","0","0","0","0","0","0","17","3","17","1","0","0","51","69","0","4","0","0","0","0","0","3","0","2","0","74","4","0","0","1","2","24","0","43","0","3","0","4","0","17","51","69","0","4","0","0","3","0","2","0","74","24","0","43","0","6","0","0","3","0","0","0","0","0","0","0","0","1","2"
"L42578","GradMultiply","GradMultiply","L100","L41292","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchAudio\Modules\Wav2Vec2Components.cs","1331","9","1337","10","0.5","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","0","1","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L51120","NegateLoss","NegateLoss","L100","L46763, L51298","D:\DataCollection\repos\dotnet_TorchSharp\test\TorchSharpTest\TestTraining.cs","190","9","203","10","0.5","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","12","14","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","2","0","1","0","1","1","2","0","3","12","14","0","0","0","0","2","0","1","0","2","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L113","Program","ConsoleApp2.Program","L104","L103","D:\DataCollection\repos\dotnet_TorchSharp\pkg\FileRestitcher\FileRestitcher\FileRestitcher.cs","6","5","213","6","0","0","0","0.264045","2","22","0","4","0.240385","0.310559","32","0","0","1","50","50","162","208","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","131","0","1","0","0","2","1","0","32","162","208","0","0","0","0","1","0","1","0","1","131","0","1","0","48","0","0","19","0","0","1","12","0","1","0","1","0","5"
"L129","Tests","FileRestitcherTests.Tests","L126","L125","D:\DataCollection\repos\dotnet_TorchSharp\pkg\FileRestitcher\FileRestitcher.Tests\UnitTest1.cs","7","5","60","6","0.5","1","0","0","0","0","0","0","0","0","2","0","1","1","0","0","51","54","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","43","0","1","0","1","1","1","0","2","51","54","0","0","0","0","1","0","1","0","1","43","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L591","AutoGradMode","TorchSharp.AutoGradMode","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\Autograd.cs","12","5","37","6","0.2","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","22","26","0","1","0","0","0","0","1","4","0","4","0","4","0","0","0","2","0","6","0","4","0","1","4","6","0","3","22","26","0","1","0","1","4","0","4","0","4","6","0","4","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L611","AnomalyMode","TorchSharp.AnomalyMode","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\Autograd.cs","42","5","70","6","0.2","1","0","0","0","0","0","0","0","0","3","0","3","1","0","0","24","29","0","2","0","0","0","0","2","5","0","4","0","5","0","0","0","3","0","7","0","4","0","1","4","8","0","3","24","29","0","2","0","2","5","0","4","0","5","7","0","4","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L636","torch","TorchSharp.torch","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\Autograd.cs","72","5","240","6","0.581645","31","0","0.0208548","6","64","0","12","0","0","2327","0","2261","751","0","0","4163","10099","0","7","0","0","0","0","7","878","0","838","12","878","0","0","0","70","0","1272","0","838","12","488","351","948","0","10663","20157","39040","0","331","0","122","2994","0","2665","63","4297","9090","0","3430","113","1261","0","0","830","0","0","211","103","49","27","32","116","23","480"
"L715","ConsoleProgressBar","TorchSharp.ConsoleProgressBar","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\ConsoleProgressBar.cs","7","5","91","6","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","74","85","0","4","0","0","0","0","2","7","0","5","2","11","1","0","0","0","1","35","0","9","4","0","6","7","0","1","74","85","0","4","0","2","7","0","5","2","11","35","0","9","4","19","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1119","DisposeScope","TorchSharp.DisposeScope","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\DisposeScope.cs","15","5","301","6","0.954545","5","0","0","0","0","0","0","0","0","54","0","52","5","0","0","140","287","0","2","0","0","0","0","2","25","0","21","1","25","0","0","0","8","0","53","0","21","1","21","1","33","0","54","140","287","0","2","0","2","25","0","21","1","25","53","0","21","1","39","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L933","DisposeScopeManager","TorchSharp.DisposeScopeManager","L284","L283","D:\DataCollection\repos\dotnet_TorchSharp\src\TorchSharp\DisposeScopeManager.cs","15","5","56","6","1","2","0","0","0","0","0","0","0","0","5","0","5","1","0","0","35","42","0","2","0","0","0","0","2","6","0","0","0","6","0","0","0","5","0","14","0","0","0","1","0","11","0","5","35","42","0","2","0","2","6","0","0","0","6","14","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
