"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1805","IndexBase","IndexBase","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","37","1","45","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","8","9","0","0","0","0","0","0","0","1","0","1","0","1","0","2","2","0","0","1","0","1","0","0","2","1","0","1","8","9","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L1846","ColumnIndex","ColumnIndex","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","60","1","214","2","0","3","0","0","0","0","0","0","0","0","1","1","0","1","0","0","148","155","0","0","0","0","0","0","0","7","0","2","0","8","1","0","0","5","1","52","0","3","0","0","3","12","0","1","148","155","0","0","0","0","7","0","2","0","8","52","0","3","0","32","0","0","2","0","0","1","0","0","0","1","0","1","0","0"
"L1854","PageIndex","PageIndex","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","215","1","323","2","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","94","109","0","5","0","0","0","0","5","15","0","8","1","16","1","0","0","1","1","30","0","9","1","0","9","16","0","0","94","109","0","5","0","5","15","0","8","1","16","30","0","9","1","19","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L1994","CellStore","CellStore<T>","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","328","1","1995","2","0.333333","7","0","0.0770303","1","16","0","2","0.0659472","0.0720598","175","0","44","2","110","106","1465","1668","0","2","0","0","0","0","2","50","0","5","0","50","0","1","1","19","0","718","0","5","0","2","4","69","0","175","1465","1668","0","2","0","2","52","0","7","0","52","718","0","7","0","333","0","0","51","0","0","21","0","17","1","13","1","1","0","18"
"L2403","CellsStoreEnumerator","CellsStoreEnumerator<T>","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","1996","1","2138","2","0","5","0","0","0","0","0","0","0","0","2","0","0","2","0","0","112","143","0","5","0","0","0","0","5","17","0","8","1","17","0","0","0","6","0","45","0","8","1","0","9","23","0","2","112","143","0","5","0","5","17","0","8","1","17","45","0","8","1","22","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L2483","FlagCellStore","FlagCellStore","L100","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\CellStore.cs","2139","1","2157","2","0","2","0","0","0","0","0","0","0","0","2","1","0","1","0","0","19","19","0","2","0","0","0","0","0","2","0","0","0","52","1","0","0","2","1","5","0","5","0","0","1","4","0","2","19","19","0","2","0","0","2","0","0","0","52","5","0","5","0","3","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L13415","ExcelTableAddress","OfficeOpenXml.ExcelTableAddress","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelAddress.cs","39","5","48","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","7","0","0","0","0","7","14","0","14","7","14","0","0","0","0","0","0","0","14","7","0","15","14","0","0","10","10","0","7","0","7","14","0","14","7","14","0","0","14","7","14","0","0","3","0","0","0","0","0","0","0","0","1","0","2"
"L2468","ExcelAddressBase","OfficeOpenXml.ExcelAddressBase","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelAddress.cs","53","5","1279","6","0.785714","13","0","0","0","0","0","0","0","0","110","1","72","5","0","0","1038","1209","0","13","0","0","0","0","13","50","0","13","0","88","1","2","5","30","1","450","0","26","0","11","3","80","0","110","1059","1227","0","13","0","13","50","0","13","0","88","450","0","26","0","297","0","0","29","0","0","14","0","0","1","11","3","1","0","13"
"L2745","ExcelAddress","OfficeOpenXml.ExcelAddress","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelAddress.cs","1283","5","1337","6","0.5","3","0","0","0","0","0","0","0","0","7","2","7","0","0","0","43","55","0","14","0","0","0","0","1","8","0","5","1","96","2","1","3","8","1","10","0","31","1","3","3","16","0","7","43","55","0","14","0","1","8","0","5","1","96","10","0","31","1","12","0","0","2","0","0","1","0","0","0","0","0","1","0","1"
"L13802","ExcelFormulaAddress","OfficeOpenXml.ExcelFormulaAddress","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelAddress.cs","1338","5","1480","6","0.333333","2","0","0","0","0","0","0","0","0","4","2","4","1","0","0","129","143","0","15","0","0","0","0","2","11","0","5","1","99","2","0","0","8","1","54","0","31","1","2","4","19","0","4","129","143","0","15","0","2","11","0","5","1","99","54","0","31","1","32","0","0","3","0","0","3","0","0","0","0","0","1","0","2"
"L13847","ExcelBackgroundImage","OfficeOpenXml.ExcelBackgroundImage","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelBackgroundImage.cs","46","5","156","6","0.75","12","0","0","0","0","0","0","0","0","23","1","18","1","0","0","74","111","0","5","0","0","0","0","2","8","0","3","2","50","1","0","0","22","1","33","0","3","5","3","1","30","0","23","74","111","0","5","0","2","8","0","3","2","50","33","0","3","5","16","0","0","5","0","0","0","0","0","0","0","4","1","0","0"
"L13582","ExcelCellAddress","OfficeOpenXml.ExcelCellAddress","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelCellAddress.cs","39","5","151","6","0.888889","2","0","0","0","0","0","0","0","0","29","0","29","1","0","0","72","113","0","4","0","0","0","0","4","11","0","8","3","11","0","0","0","3","0","24","0","8","3","8","1","14","0","29","72","113","0","4","0","4","11","0","8","3","11","24","0","8","3","17","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L7882","ExcelCellBase","OfficeOpenXml.ExcelCellBase","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelCellBase.cs","45","5","1070","6","0.785714","12","0","0.0315457","1","8","0","2","0.0389864","0.0512821","209","0","189","8","40","40","780","1026","0","0","0","0","0","0","0","38","0","13","0","38","0","1","6","19","0","381","0","13","0","11","3","57","0","209","780","1026","0","0","0","0","39","0","14","0","39","381","0","14","0","241","0","0","31","0","0","11","0","9","1","7","2","1","0","11"
"L10382","ExcelColumn","OfficeOpenXml.ExcelColumn","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelColumn.cs","40","2","359","6","0.862069","14","0","0","0","0","0","0","0","0","79","1","78","2","0","0","179","320","0","16","0","0","0","0","15","36","0","28","11","38","1","0","0","28","1","66","0","30","12","25","4","64","0","79","179","320","0","16","0","15","36","0","28","11","38","66","0","30","12","50","0","0","13","0","0","0","0","0","1","0","2","1","0","9"
"L14413","ExcelComment","OfficeOpenXml.ExcelComment","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelComment.cs","41","5","170","6","1","16","0","0","0","0","0","0","0","0","19","3","18","1","0","0","96","130","0","28","0","0","0","0","5","11","0","7","4","96","4","0","0","35","2","47","0","36","24","8","0","46","0","19","96","130","0","28","0","5","11","0","7","4","96","47","0","36","24","19","0","0","7","0","0","0","0","0","0","0","2","0","1","4"
"L14488","ExcelCommentCollection","OfficeOpenXml.ExcelCommentCollection","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelCommentCollection.cs","41","5","337","6","1","20","0","0","0","0","0","0","0","0","75","0","44","2","0","0","201","297","0","9","0","0","0","0","9","26","0","11","6","26","0","0","0","44","0","87","0","11","6","12","0","70","0","75","201","297","0","9","0","9","26","0","11","6","26","87","0","11","6","54","0","0","9","0","0","2","0","0","1","0","4","0","0","4"
"L12016","ExcelEncryption","OfficeOpenXml.ExcelEncryption","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelEncryption.cs","84","5","171","6","1","2","0","0","0","0","0","0","0","0","25","0","25","0","0","0","60","88","0","4","0","0","0","0","4","10","0","8","4","10","0","0","0","0","0","17","0","8","4","9","0","10","0","25","60","88","0","4","0","4","10","0","8","4","10","17","0","8","4","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14684","ExcelHeaderFooterText","OfficeOpenXml.ExcelHeaderFooterText","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelHeaderFooter.cs","68","5","201","6","1","11","0","0","0","0","0","0","0","0","19","0","14","1","0","0","103","134","0","0","0","0","0","0","0","6","0","2","0","6","0","0","0","11","0","52","0","2","0","3","0","17","0","19","103","134","0","0","0","0","6","0","2","0","6","52","0","2","0","19","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"L14743","ExcelHeaderFooter","OfficeOpenXml.ExcelHeaderFooter","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelHeaderFooter.cs","208","5","565","6","1","13","0","0","0","0","0","0","0","0","50","1","48","1","0","0","223","358","0","14","0","0","0","0","11","19","0","15","4","61","1","0","0","38","1","81","0","15","7","16","0","57","0","50","223","358","0","14","0","11","19","0","15","4","61","81","0","15","7","48","0","0","6","0","0","0","0","0","0","0","3","0","0","3"
"L11037","ExcelHyperLink","OfficeOpenXml.ExcelHyperLink","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelHyperLink.cs","39","5","166","6","1","0","0","0","0","0","0","0","0","0","36","0","36","0","0","0","62","128","0","7","0","0","0","0","7","17","0","14","7","17","0","0","0","1","0","12","0","14","7","15","0","18","0","36","62","128","0","7","0","7","17","0","14","7","17","12","0","14","7","17","0","0","2","0","0","0","0","0","0","0","0","0","0","2"
"L14910","ExcelNamedRange","OfficeOpenXml.ExcelNamedRange","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelNamedRange.cs","38","5","119","6","0.888889","5","0","0","0","0","0","0","0","0","23","4","23","1","0","0","44","82","0","50","0","0","0","0","7","16","0","8","6","241","5","0","0","3","2","10","0","118","21","8","1","19","0","23","44","82","0","50","0","7","16","0","8","6","241","10","0","118","21","17","0","0","11","0","0","0","0","0","0","0","0","1","1","9"
"L14982","ExcelNamedRangeCollection","OfficeOpenXml.ExcelNamedRangeCollection","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelNamedRangeCollection.cs","43","5","315","6","0.818182","10","0","0","0","0","0","0","0","0","47","0","45","1","0","0","190","273","0","3","0","0","0","0","3","22","0","10","0","22","0","0","0","22","0","73","0","10","0","9","2","44","0","47","190","273","0","3","0","3","22","0","10","0","22","73","0","10","0","42","0","0","2","0","0","0","0","0","0","0","0","1","0","1"
"L2188","ExcelPackage","OfficeOpenXml.ExcelPackage","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelPackage.cs","173","2","1284","6","0.971429","15","0","0","0","0","0","0","0","0","337","0","311","1","0","0","764","1107","0","8","0","0","0","0","8","54","0","34","3","54","0","0","0","49","0","343","0","34","3","34","1","103","0","337","771","1112","0","12","0","12","62","0","34","7","62","343","0","34","7","132","0","0","17","0","0","1","0","0","0","2","4","2","0","9"
"L15767","ExcelPrinterSettings","OfficeOpenXml.ExcelPrinterSettings","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelPrinterSettings.cs","343","5","842","6","1","11","0","0.164869","1","8","0","2","0.114","0.121951","84","1","82","1","57","50","351","500","0","25","0","0","0","0","22","46","0","44","22","88","1","0","0","27","1","105","0","44","25","45","0","73","0","84","351","500","0","25","0","22","46","0","44","22","88","105","0","44","25","71","0","0","34","0","0","0","0","17","0","0","4","0","0","13"
"L15959","ExcelProtectedRange","OfficeOpenXml.ExcelProtectedRange","L2516","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\ExcelProtectedRange.cs","56","5","195","6","0.125","4","0","0","0","0","0","0","0","0","7","1","4","1","0","0","106","140","0","10","0","0","0","0","7","16","0","7","7","58","1","0","0","7","1","43","0","7","10","1","7","23","0","7","106","140","0","10","0","7","16","0","7","7","58","43","0","7","10","21","0","0","3","0","0","0","0","0","0","0","0","1","0","2"
