"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L16583","Config","BackupS7.Config","L16569","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","3","5","14","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","12","0","5","0","0","0","0","5","10","0","10","5","10","0","0","0","0","0","0","0","10","5","0","11","10","0","0","8","12","0","5","0","5","10","0","10","5","10","0","0","10","5","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L16609","Program","BackupS7.Program","L16569","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Program.cs","13","5","98","6","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","77","86","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","12","0","54","0","0","0","0","1","13","0","0","77","86","0","0","0","0","1","0","0","0","1","54","0","0","0","16","0","0","4","0","0","2","0","0","1","1","1","0","1"
"L28495","App","BackupRestoreBlocks.App","L16660","L28488","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\App.xaml.cs","13","5","15","6","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28496","MainWindow","BackupRestoreBlocks.MainWindow","L16660","L28488","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupRestoreBlocks\MainWindow.xaml.cs","28","5","166","6","0.5","3","0","0","0","0","0","0","0","0","4","0","3","1","0","0","96","139","0","0","0","0","0","0","0","9","0","1","0","9","0","0","0","9","0","57","0","1","0","1","1","18","0","4","96","139","0","0","0","0","9","0","1","0","9","57","0","1","0","15","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L23478","DataBlockValueSaver","ToolboxForSiemensPLCs.DataBlockValueSaver","L23471","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\DataBlockValueSaver.cs","17","5","83","6","0","4","0","0.369803","5","5","0","5","0","0","23","0","8","2","0","0","116","162","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","10","0","75","0","1","0","0","2","16","0","23","116","162","0","0","0","0","6","0","1","0","6","75","0","1","0","12","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L23545","DataBlockViewControl","TestProjectFileFunctions.DataBlockViewControl","L23534","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\DataBlockViewControl.xaml.cs","13","5","99","6","0.5","6","0","0","0","0","0","0","0","0","14","0","14","1","0","0","61","87","0","2","0","0","0","0","2","7","0","5","2","7","0","0","0","6","0","20","0","5","2","3","3","13","0","14","61","87","0","2","0","2","7","0","5","2","7","20","0","5","2","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L23594","DBStructresizer","TestProjectFileFunctions.DBStructresizer","L23534","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\DBStructresizer.cs","14","5","79","6","0","5","0","0.437383","16","25","0","25","0","0","56","0","8","2","0","0","213","289","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","14","0","158","0","1","0","0","2","20","0","56","213","289","0","0","0","0","6","0","1","0","6","158","0","1","0","12","0","0","18","0","0","1","10","1","0","1","1","0","5"
"L23645","DownloadBlock","TestProjectFileFunctions.DownloadBlock","L23534","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\DownloadBlock.cs","15","5","77","6","0","3","0","0.256209","2","2","0","2","0","0","21","0","8","2","0","0","108","146","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","7","0","59","0","1","0","0","2","13","0","21","108","146","0","0","0","0","6","0","1","0","6","59","0","1","0","12","0","0","12","0","0","0","10","1","0","0","1","0","0"
"L23690","Features","TestProjectFileFunctions.Features","L23534","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\Features.cs","13","5","24","6","0","0","0","0.307692","11","11","0","11","0","0","32","0","8","2","0","0","103","147","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","0","0","74","0","1","0","0","2","4","0","32","103","147","0","0","0","0","4","0","1","0","4","74","0","1","0","6","0","0","13","0","0","0","10","1","0","0","1","0","1"
"L27080","TelegrammSimulator","TestProjectFileFunctions.TelegrammSimulator","L23534","L23470","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\TestProjectFileFunctions\TelegrammSimulator.cs","12","5","18","6","0","0","0","0","0","0","0","0","0","0","50","0","8","2","0","0","141","202","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","108","0","1","0","0","2","3","0","50","141","202","0","0","0","0","3","0","1","0","3","108","0","1","0","5","0","0","6","0","0","1","0","1","0","0","1","0","4"
