"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L16584","get_Ip","BackupS7.Config.Ip.getstring","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","5","28","5","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16587","set_Ip","BackupS7.Config.Ip.setvoid","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","5","33","5","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16589","get_Rack","BackupS7.Config.Rack.getint","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","7","27","7","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16592","set_Rack","BackupS7.Config.Rack.setvoid","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","7","32","7","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16594","get_Slot","BackupS7.Config.Slot.getint","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","9","27","9","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16597","set_Slot","BackupS7.Config.Slot.setvoid","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","9","32","9","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16599","get_BackupBlocks","BackupS7.Config.BackupBlocks.getstring[]","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","11","40","11","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16602","set_BackupBlocks","BackupS7.Config.BackupBlocks.setvoid","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","11","45","11","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16604","get_BackupType","BackupS7.Config.BackupType.getBackupS7.BackupType","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","13","40","13","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L16607","set_BackupType","BackupS7.Config.BackupType.setvoid","L16583","L16568","D:\DataCollection\repos\dotnetprojects_DotNetSiemensPLCToolBoxLibrary\BackupS7\Config.cs","13","45","13","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
