"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L176",".ctor","MarioMaker2OCR.FormAbout.FormAbout(string)void","L148","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.cs","15","9","19","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L192","linkLabel1_LinkClicked","MarioMaker2OCR.FormAbout.linkLabel1_LinkClicked(object, System.Windows.Forms.LinkLabelLinkClickedEventArgs)void","L148","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.cs","21","9","24","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L207","button1_Click","MarioMaker2OCR.FormAbout.button1_Click(object, System.EventArgs)void","L148","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.cs","26","9","29","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","2","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L219","Dispose","MarioMaker2OCR.FormAbout.Dispose(bool)void","L148","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L184","InitializeComponent","MarioMaker2OCR.FormAbout.InitializeComponent()void","L148","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.Designer.cs","29","9","131","10","0","0","0","0","0","0","0","25","4","0","0","81","103","1","0","0","0","0","76","0","0","25","81","103","76","0","0","2","0","0","1","0","0","0","0","2"
"L451",".ctor","MarioMaker2OCR.FormJsonSettings.FormJsonSettings()void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.cs","9","9","13","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","2","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L454","loadCheckboxStateFromSettings","MarioMaker2OCR.FormJsonSettings.loadCheckboxStateFromSettings()void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.cs","15","9","21","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","4","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L479","button1_Click","MarioMaker2OCR.FormJsonSettings.button1_Click(object, System.EventArgs)void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.cs","24","9","31","10","0","0","0","0","0","0","0","1","1","0","0","8","8","1","0","0","0","4","5","2","0","1","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L493","button2_Click","MarioMaker2OCR.FormJsonSettings.button2_Click(object, System.EventArgs)void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.cs","34","9","37","10","0","0","0","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","1","2","0","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L498","Dispose","MarioMaker2OCR.FormJsonSettings.Dispose(bool)void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L452","InitializeComponent","MarioMaker2OCR.FormJsonSettings.InitializeComponent()void","L450","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.Designer.cs","29","9","166","10","0","0","0","0","0","0","0","34","4","0","0","107","138","1","0","0","0","0","104","0","0","34","107","138","104","0","0","4","0","0","1","0","0","0","0","4"
"L545",".ctor","MarioMaker2OCR.FormWarpWorld.FormWarpWorld()void","L544","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.cs","15","9","27","10","0","0","0","0","0","0","0","0","0","0","0","12","13","2","0","0","0","5","7","0","0","0","12","13","7","0","0","0","0","0","0","0","0","0","0","0"
"L583","TxtWarpBarURL_TextChanged","MarioMaker2OCR.FormWarpWorld.TxtWarpBarURL_TextChanged(object, System.EventArgs)void","L544","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.cs","29","9","49","10","0","0","0","0","0","0","0","1","0","0","0","17","21","5","0","0","0","3","8","2","0","1","17","21","8","0","0","0","0","0","0","0","0","0","0","0"
"L623","ChkWarpWorld_CheckedChanged","MarioMaker2OCR.FormWarpWorld.ChkWarpWorld_CheckedChanged(object, System.EventArgs)void","L544","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.cs","51","9","56","10","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","2","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L629","Dispose","MarioMaker2OCR.FormWarpWorld.Dispose(bool)void","L544","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.Designer.cs","14","9","21","10","0","0","0","0","0","0","0","4","4","0","0","8","8","3","0","0","0","0","3","1","0","4","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L546","InitializeComponent","MarioMaker2OCR.FormWarpWorld.InitializeComponent()void","L544","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.Designer.cs","29","9","131","10","0","0","0","0","0","0","0","28","4","0","0","78","103","1","0","0","0","0","74","0","0","28","78","103","74","0","0","2","0","0","0","0","0","0","0","2"
"L850","addEvent","MarioMaker2OCR.StatsTracker.addEvent(string)void","L841","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\StatsTracker.cs","15","9","18","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L852","addEvent","MarioMaker2OCR.StatsTracker.addEvent(string, string)void","L841","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\StatsTracker.cs","20","9","29","10","0","0","0","0","0","0","0","0","0","0","0","10","10","1","0","0","0","2","2","2","0","0","10","10","2","0","0","0","0","0","0","0","0","0","0","0"
"L873","clearHistory","MarioMaker2OCR.StatsTracker.clearHistory()void","L841","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\StatsTracker.cs","31","9","34","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
