"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L420","Settings","VelcroPhysics.Settings","L153","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Settings.cs","28","5","278","6","0.666667","1","0","0","0","0","0","0","0","0","12","0","12","2","0","0","52","251","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","2","0","2","0","2","1","2","0","12","52","251","0","0","0","0","2","0","2","0","2","2","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L10502","AsepriteAnimation","Aseprite.AsepriteAnimation","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteAnimation.cs","2","2","7","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L10528","AsepriteFile","Aseprite.AsepriteFile","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","18","2","411","3","0","16","0","0","0","0","0","0","0","0","39","0","0","1","0","0","281","372","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","11","0","196","0","3","0","0","4","15","0","39","285","394","0","0","0","0","4","0","3","0","4","196","0","3","0","42","0","0","10","0","0","2","0","0","1","2","1","0","6"
"L10542","AsepriteLayer","Aseprite.AsepriteLayer","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","421","2","471","3","1","4","0","0","0","0","0","0","0","0","1","1","1","2","0","0","40","22","0","2","0","0","0","0","0","4","0","0","0","8","1","0","0","0","1","0","0","4","2","1","0","4","0","1","45","51","0","2","0","0","4","0","0","0","8","0","0","4","2","4","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L10535","AsepriteFrame","Aseprite.AsepriteFrame","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","474","2","482","3","0.5","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","7","9","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","0","1","7","9","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L10549","AsepriteTag","Aseprite.AsepriteTag","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","485","2","497","3","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","12","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10632","AsepriteCel","Aseprite.AsepriteCel","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","513","2","526","3","0.2","3","0","0","0","0","0","0","0","0","1","1","1","0","0","0","11","14","0","4","0","0","0","0","2","4","0","4","2","8","1","0","0","0","1","0","0","8","4","1","4","4","0","1","11","14","0","4","0","2","4","0","4","2","8","0","0","8","4","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11019","AsepriteImporter","Aseprite.AsepriteImporter","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteImporter.cs","5","2","10","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11032","AsepriteProcessor","Aseprite.AsepriteProcessor","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteProcessor.cs","4","2","12","3","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","9","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","9","9","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11035","ProcessedAseprite","Aseprite.ProcessedAseprite","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteProcessor.cs","14","2","17","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L10648","AsepriteReader","Aseprite.AsepriteReader","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteReader.cs","9","2","135","3","0","8","0","0","0","0","0","0","0","0","11","0","0","1","0","0","89","127","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","54","0","0","0","0","1","3","0","11","89","127","0","0","0","0","1","0","0","0","1","54","0","0","0","11","0","0","4","0","0","2","0","0","1","0","1","0","2"
"L11090","AsepriteWriter","Aseprite.AsepriteWriter","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteWriter.cs","6","2","71","3","0","8","0","0","0","0","0","0","0","0","3","0","0","3","0","0","51","66","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","0","0","36","0","2","0","0","3","3","0","3","51","66","0","0","0","0","3","0","2","0","3","36","0","2","0","9","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L11136","AudioFile","Aseprite.AudioFile","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AudioFile.cs","2","2","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11140","AudioImporter","Aseprite.AudioImporter","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AudioImporter.cs","5","2","28","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","24","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","9","0","2","0","0","3","2","0","0","21","24","0","0","0","0","2","0","2","0","2","9","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11160","AudioProcessor","Aseprite.AudioProcessor","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AudioProcessor.cs","4","2","9","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11167","AudioReader","Aseprite.AudioReader","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AudioReader.cs","4","2","25","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","22","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","9","0","0","0","0","1","1","0","0","19","22","0","0","0","0","1","0","0","0","1","9","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11174","AudioWriter","Aseprite.AudioWriter","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AudioWriter.cs","6","2","27","3","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","19","22","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","0","0","9","0","2","0","0","3","3","0","0","19","22","0","0","0","0","3","0","2","0","3","9","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L10853","Calc","Aseprite.Calc","L10488","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\Calc.cs","2","2","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","5","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11720","Cloner","Lens.Cloner","L11205","L11195","D:\DataCollection\repos\egordorichev_BurningKnight\Lens\Cloner.cs","5","2","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","13","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","5","0","1","0","0","2","1","0","0","12","13","0","0","0","0","1","0","1","0","1","5","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11790","Display","Lens.Display","L11205","L11195","D:\DataCollection\repos\egordorichev_BurningKnight\Lens\Display.cs","2","2","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L13785","Program","Lens.Program","L11205","L11195","D:\DataCollection\repos\egordorichev_BurningKnight\Lens\Program.cs","4","2","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L11289","Engine","Lens.Engine","L11205","L11195","D:\DataCollection\repos\egordorichev_BurningKnight\Lens\Engine.cs","17","2","314","3","0","15","0","0","0","0","0","0","0","0","5","0","0","4","0","0","217","298","0","2","0","0","0","0","2","21","0","12","2","21","0","1","2","24","0","125","0","12","2","0","13","45","0","5","217","298","0","2","0","2","21","0","12","2","21","125","0","12","2","45","0","0","5","0","0","0","0","1","0","1","1","0","2"
"L13794","Version","Lens.Version","L11205","L11195","D:\DataCollection\repos\egordorichev_BurningKnight\Lens\Version.cs","2","2","24","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","23","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","8","0","2","0","0","3","2","0","0","21","23","0","0","0","0","2","0","2","0","2","8","0","2","0","5","0","0","2","0","0","1","0","0","0","0","1","0","1"
"L18092","BK","BurningKnight.BK","L14766","L14758","D:\DataCollection\repos\egordorichev_BurningKnight\BurningKnight\BK.cs","20","2","87","3","0","15","0","0","0","0","0","0","0","0","0","1","0","5","0","0","51","68","0","2","0","0","0","0","0","6","0","2","0","27","1","1","1","17","1","22","0","14","2","0","3","23","0","0","51","68","0","2","0","0","6","0","2","0","27","22","0","14","2","9","0","0","3","0","0","0","0","1","0","1","1","0","0"
"L23020","Events","BurningKnight.Events","L14766","L14758","D:\DataCollection\repos\egordorichev_BurningKnight\BurningKnight\Events.cs","4","2","14","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","11","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0","0","0","0","1","1","0","0","9","11","0","0","0","0","1","0","0","0","1","3","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L15517","Settings","BurningKnight.Settings","L14766","L14758","D:\DataCollection\repos\egordorichev_BurningKnight\BurningKnight\Settings.cs","10","2","207","3","0.117647","6","0","0","0","0","0","0","0","0","1","0","1","1","0","0","163","198","0","6","0","0","0","0","6","17","0","16","6","17","0","0","0","10","0","108","0","16","6","2","15","27","0","1","163","198","0","6","0","6","17","0","16","6","17","108","0","16","6","17","0","0","5","0","0","0","0","0","0","1","1","0","3"
"L15712","Tags","BurningKnight.Tags","L14766","L14758","D:\DataCollection\repos\egordorichev_BurningKnight\BurningKnight\Tags.cs","4","2","59","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","46","56","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","7","0","0","0","0","1","1","0","0","46","56","0","0","0","0","1","0","0","0","1","7","0","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L44301","DesktopApp","Desktop.DesktopApp","L44282","L44281","D:\DataCollection\repos\egordorichev_BurningKnight\Desktop\DesktopApp.cs","13","2","64","3","0","5","0","0","0","0","0","0","0","0","0","2","0","1","0","0","39","49","0","2","0","0","0","0","0","5","0","2","0","32","2","0","0","1","1","16","0","16","2","0","3","6","0","0","39","52","0","2","0","0","5","0","2","0","32","16","0","16","2","9","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L44675","Program","Desktop.Program","L44282","L44281","D:\DataCollection\repos\egordorichev_BurningKnight\Desktop\Program.cs","9","2","71","3","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","53","63","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","3","0","33","0","1","0","0","2","5","0","0","53","63","0","0","0","0","2","0","1","0","2","33","0","1","0","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L154","BreakableBody","VelcroPhysics.Dynamics.BreakableBody","L104","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\BreakableBody.cs","15","5","145","6","0.3","14","0","0","0","0","0","0","0","0","12","0","7","1","0","0","101","131","0","4","0","0","0","0","4","12","0","9","2","12","0","0","0","16","0","50","0","9","2","3","7","28","0","12","101","131","0","4","0","4","12","0","9","2","12","50","0","9","2","24","0","0","3","0","0","1","0","0","0","2","1","0","0"
"L255","Body","VelcroPhysics.Dynamics.Body","L104","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Dynamics\Body.cs","42","5","1245","6","0.763441","24","0","0","0","0","0","0","0","0","267","0","232","1","0","0","652","1204","0","27","0","0","0","0","27","101","0","92","34","101","0","0","0","45","0","329","0","92","34","71","22","146","0","267","652","1204","0","27","0","27","101","0","92","34","101","329","0","92","34","177","0","0","24","0","0","3","0","0","1","4","1","0","18"
"L216","Fixture","VelcroPhysics.Dynamics.Fixture","L104","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Dynamics\Fixture.cs","43","5","421","6","1","21","0","0","0","0","0","0","0","0","99","0","85","1","0","0","193","379","0","10","0","0","0","0","10","31","0","20","10","31","0","0","0","23","0","100","0","20","10","21","0","54","0","99","194","379","0","10","0","10","31","0","20","10","31","100","0","20","10","49","0","0","8","0","0","1","0","0","0","2","0","0","6"
"L173","World","VelcroPhysics.Dynamics.World","L104","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Dynamics\World.cs","45","5","1347","6","0.540541","33","0","0","0","0","0","0","0","0","194","0","98","5","0","0","809","1297","0","16","0","0","0","0","16","62","0","36","14","62","0","0","0","58","0","472","0","36","14","20","17","120","0","194","812","1303","0","16","0","16","62","0","36","14","62","472","0","36","14","207","0","0","37","0","0","12","0","1","5","8","1","0","22"
"L399","AABBHelper","VelcroPhysics.Collision.AABBHelper","L325","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Collision\AABBHelper.cs","7","5","45","6","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0","0","33","39","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","2","0","19","0","3","0","0","4","5","0","0","33","39","0","0","0","0","3","0","3","0","3","19","0","3","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1800","TestPointHelper","VelcroPhysics.Collision.TestPointHelper","L325","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Collision\TestPointHelper.cs","7","5","31","6","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22","25","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","1","0","9","0","2","0","0","3","3","0","0","22","25","0","0","0","0","2","0","2","0","2","9","0","2","0","4","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L221","BodyFactory","VelcroPhysics.Factories.BodyFactory","L5570","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Factories\BodyFactory.cs","13","5","203","6","0","11","0","0","0","0","0","0","0","0","14","0","0","4","0","0","139","191","0","0","0","0","0","0","0","18","0","18","0","18","0","0","0","26","0","76","0","18","0","0","19","44","0","14","139","191","0","0","0","0","18","0","18","0","18","76","0","18","0","23","0","0","15","0","0","10","0","1","0","1","1","0","12"
