"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L831","MixFriction","VelcroPhysics.Settings.MixFriction(float, float)float","L420","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Settings.cs","263","9","266","10","0","0","0","0","0","0","0","6","6","0","0","4","4","1","0","0","0","0","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L825","MixRestitution","VelcroPhysics.Settings.MixRestitution(float, float)float","L420","L103","D:\DataCollection\repos\egordorichev_BurningKnight\VelcroPhysics\Settings.cs","274","9","277","10","0","0","0","0","0","0","0","6","6","0","0","4","4","2","0","0","0","0","1","2","0","6","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L10592",".ctor","Aseprite.AsepriteFile.AsepriteFile()void","L10528","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","51","3","53","4","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L10593",".ctor","Aseprite.AsepriteFile.AsepriteFile(string)void","L10528","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","55","3","91","4","0","0","0","0","0","0","0","0","0","0","0","29","37","5","0","0","0","1","23","1","0","0","29","37","23","0","0","0","0","0","0","0","0","0","0","0"
"L10595",".ctor","Aseprite.AsepriteFile.AsepriteFile(string, ContentBuildLogger)void","L10528","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","93","3","384","4","0","0","0","0","0","0","0","39","0","0","0","202","284","28","0","0","0","12","157","2","0","39","202","292","157","0","0","8","0","0","2","0","1","1","0","6"
"L10820","ConvertBytesToPixels","Aseprite.AsepriteFile.ConvertBytesToPixels(byte[], Color[], Color[])void","L10528","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","386","3","410","4","0","0","0","0","0","0","0","0","0","0","0","23","25","8","0","0","0","0","16","3","0","0","23","25","16","0","0","0","0","0","0","0","0","0","0","0"
"L10933","get_UserDataText","Aseprite.IUserData.UserDataText.getstring","L10737","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","416","25","416","29","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10863","set_UserDataText","Aseprite.IUserData.UserDataText.setvoid","L10737","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","416","30","416","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10935","get_UserDataColor","Aseprite.IUserData.UserDataColor.getColor","L10737","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","417","25","417","29","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10865","set_UserDataColor","Aseprite.IUserData.UserDataColor.setvoid","L10737","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","417","30","417","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10968","Aseprite.IUserData.get_UserDataText","Aseprite.AsepriteLayer.Aseprite.IUserData.UserDataText.getstring","L10542","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","469","35","469","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10971","Aseprite.IUserData.set_UserDataText","Aseprite.AsepriteLayer.Aseprite.IUserData.UserDataText.setvoid","L10542","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","469","40","469","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10973","Aseprite.IUserData.get_UserDataColor","Aseprite.AsepriteLayer.Aseprite.IUserData.UserDataColor.getColor","L10542","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","470","35","470","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10976","Aseprite.IUserData.set_UserDataColor","Aseprite.AsepriteLayer.Aseprite.IUserData.UserDataColor.setvoid","L10542","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","470","40","470","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L10740",".ctor","Aseprite.AsepriteFrame.AsepriteFrame()void","L10535","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","479","3","481","4","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","1","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0"
"L10998","Aseprite.IUserData.get_UserDataText","Aseprite.AsepriteSlice.Aseprite.IUserData.UserDataText.getstring","L10556","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","508","35","508","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L11001","Aseprite.IUserData.set_UserDataText","Aseprite.AsepriteSlice.Aseprite.IUserData.UserDataText.setvoid","L10556","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","508","40","508","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L11003","Aseprite.IUserData.get_UserDataColor","Aseprite.AsepriteSlice.Aseprite.IUserData.UserDataColor.getColor","L10556","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","509","35","509","39","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L11006","Aseprite.IUserData.set_UserDataColor","Aseprite.AsepriteSlice.Aseprite.IUserData.UserDataColor.setvoid","L10556","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","509","40","509","44","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L11009","get_UserDataText","Aseprite.AsepriteCel.UserDataText.getstring","L10632","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","524","32","524","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L11012","set_UserDataText","Aseprite.AsepriteCel.UserDataText.setvoid","L10632","L10487","D:\DataCollection\repos\egordorichev_BurningKnight\Aseprite\AsepriteFile.cs","524","37","524","41","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
