"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L22900","AkAuxSend","AkAuxSend","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSend.cs","13","1","35","2","0.25","4","0","0","0","0","0","0","0","0","4","3","3","2","0","0","19","23","0","16","0","0","0","0","0","3","0","3","0","43","4","0","0","2","3","4","0","42","9","1","3","5","0","4","19","23","0","16","0","0","3","0","3","0","43","4","0","42","9","3","0","0","4","0","0","0","0","1","0","0","1","1","1"
"L22918","AkAuxSendAware","AkAuxSendAware","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSendAware.cs","16","1","90","2","0.666667","11","0","0","0","0","0","0","0","0","14","3","7","1","0","0","54","67","0","16","0","0","0","0","0","4","0","2","0","45","5","0","0","10","4","20","0","42","9","2","1","14","0","14","54","75","0","16","0","0","4","0","2","0","45","20","0","42","9","9","0","0","4","0","0","0","0","0","0","1","1","1","1"
"L22991","AkBankPath","AkBankPath","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","21","1","150","2","0.0714286","1","0","0","0","0","0","0","0","0","10","0","8","4","0","0","79","130","0","0","0","0","0","0","0","14","0","13","0","14","0","0","0","1","0","37","0","13","0","1","13","15","0","10","79","130","0","0","0","0","14","0","13","0","14","37","0","13","0","19","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L23052","AkGameObject","AkGameObject","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkGameObject.cs","12","1","53","2","0.25","5","0","0","0","0","0","0","0","0","4","3","2","1","0","0","35","42","0","16","0","0","0","0","0","3","0","3","0","43","4","1","1","10","3","13","0","42","9","1","3","13","0","4","35","42","0","16","0","0","3","0","3","0","43","13","0","42","9","5","0","0","3","0","0","0","0","0","0","0","1","1","1"
"L22971","AkGameObjectTracker","AkGameObjectTracker","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkGameObjectTracker.cs","12","1","66","2","0.2","7","0","0","0","0","0","0","0","0","3","4","2","2","0","0","45","55","0","16","0","0","0","0","0","4","0","4","0","47","5","0","0","5","3","16","0","46","9","1","4","9","0","3","45","55","0","16","0","0","4","0","4","0","47","16","0","46","9","6","0","0","5","0","0","0","0","1","0","0","1","1","2"
"L23020","AkGlobalSoundEngineInitializer","AkGlobalSoundEngineInitializer","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkGlobalSoundEngineInitializer.cs","19","1","266","2","0.2","15","0","0","0","0","0","0","0","0","19","3","6","1","0","0","78","248","0","16","0","0","0","0","0","4","0","4","0","44","4","0","0","27","3","48","0","43","9","1","4","31","0","19","78","248","0","16","0","0","4","0","4","0","44","48","0","43","9","9","0","0","5","0","0","0","0","0","0","2","1","1","1"
"L23200","AkGlobalSoundEngineTerminator","AkGlobalSoundEngineTerminator","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkGlobalSoundEngineTerminator.cs","18","1","52","2","0.25","4","0","0","0","0","0","0","0","0","11","3","6","1","0","0","25","35","0","16","0","0","0","0","0","3","0","3","0","43","4","0","0","3","3","10","0","42","9","1","3","6","0","11","25","35","0","16","0","0","3","0","3","0","43","10","0","42","9","5","0","0","3","0","0","0","0","0","0","0","1","1","1"
"L23211","AkBankLoader","AkBankLoader","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkInMemBankLoader.cs","14","1","34","2","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","17","21","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","3","0","5","0","3","0","0","4","6","0","0","17","21","0","0","0","0","3","0","3","0","3","5","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L23220","AkListener","AkListener","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkListener.cs","13","1","53","2","0.5","6","0","0","0","0","0","0","0","0","5","3","3","1","0","0","32","41","0","16","0","0","0","0","0","1","0","1","0","42","5","0","0","2","4","9","0","41","9","1","1","3","0","5","32","41","0","16","0","0","1","0","1","0","42","9","0","41","9","4","0","0","3","0","0","0","0","0","0","0","1","1","1"
"L23250","AkArrayAllocatorAlignedSimd","AkArrayAllocatorAlignedSimd","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkArrayAllocatorAlignedSimd.cs","14","1","55","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","32","42","0","1","0","0","0","0","1","7","0","4","0","7","0","0","0","4","0","13","0","4","0","0","5","11","0","0","32","42","0","1","0","1","7","0","4","0","7","13","0","4","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L23307","AkArrayAllocatorDefault","AkArrayAllocatorDefault","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkArrayAllocatorDefault.cs","14","1","55","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","32","42","0","1","0","0","0","0","1","7","0","4","0","7","0","0","0","4","0","13","0","4","0","0","5","11","0","0","32","42","0","1","0","1","7","0","4","0","7","13","0","4","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L23339","AkAuxSendValue","AkAuxSendValue","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkAuxSendValue.cs","14","1","64","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","40","51","0","3","0","0","0","0","3","8","0","5","2","8","0","0","0","5","0","17","0","5","2","0","6","13","0","0","40","51","0","3","0","3","8","0","5","2","8","17","0","5","2","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L23377","AkCallbackSerializer","AkCallbackSerializer","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkCallbackSerializer.cs","14","1","71","2","0","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","42","58","0","1","0","0","0","0","1","10","0","7","0","10","0","0","0","7","0","17","0","7","0","0","8","17","0","0","42","58","0","1","0","1","10","0","7","0","10","17","0","7","0","13","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L23108","AkDeviceSettings","AkDeviceSettings","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkDeviceSettings.cs","14","1","155","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","92","142","0","11","0","0","0","0","11","25","0","22","10","25","0","0","0","24","0","40","0","22","10","0","23","49","0","0","92","142","0","11","0","11","25","0","22","10","25","40","0","22","10","29","0","0","7","0","0","0","0","0","0","0","1","0","6"
"L23562","AkExternalSourceInfo","AkExternalSourceInfo","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkExternalSourceInfo.cs","14","1","102","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","64","89","0","7","0","0","0","0","7","20","0","17","6","20","0","0","0","17","0","27","0","17","6","0","18","37","0","0","64","89","0","7","0","7","20","0","17","6","20","27","0","17","6","23","0","0","4","0","0","0","0","0","0","0","1","0","3"
"L23127","AkInitSettings","AkInitSettings","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkInitSettings.cs","14","1","196","2","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","116","183","0","14","0","0","0","0","14","31","0","28","13","31","0","0","0","28","0","49","0","28","13","0","29","59","0","0","116","183","0","14","0","14","31","0","28","13","31","49","0","28","13","35","0","0","8","0","0","0","0","0","0","0","1","0","7"
"L23765","AkListenerPosition","AkListenerPosition","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkListenerPosition.cs","14","1","81","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","55","68","0","4","0","0","0","0","4","11","0","8","3","11","0","0","0","10","0","23","0","8","3","0","9","21","0","0","55","68","0","4","0","4","11","0","8","3","11","23","0","8","3","17","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L23101","AkMemSettings","AkMemSettings","L100","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\Generated\Common\AkMemSettings.cs","14","1","60","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","35","47","0","2","0","0","0","0","2","7","0","4","1","7","0","0","0","4","0","14","0","4","1","0","5","11","0","0","35","47","0","2","0","2","7","0","4","1","7","14","0","4","1","10","0","0","1","0","0","0","0","0","0","0","1","0","0"
