"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L22907","GetAuxBusID","AkAuxSend.GetAuxBusID()uint","L22900","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSend.cs","19","2","22","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L22909","GetAuxSendValueForPosition","AkAuxSend.GetAuxSendValueForPosition(Vector3)float","L22900","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSend.cs","24","2","27","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L22911","Awake","AkAuxSend.Awake()void","L22900","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSend.cs","29","2","34","3","0","0","0","0","0","0","0","1","0","0","0","5","6","1","0","0","0","2","2","0","0","1","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L22938","Awake","AkAuxSendAware.Awake()void","L22918","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSendAware.cs","27","2","49","3","0","0","0","0","0","0","0","4","2","0","0","11","15","1","0","0","0","5","6","0","0","4","18","23","6","0","0","0","0","0","0","0","0","0","0","0"
"L22963","AddAuxSend","AkAuxSendAware.AddAuxSend(ComponentBind.Entity)void","L22918","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSendAware.cs","52","2","61","3","0","0","0","0","0","0","0","0","0","0","0","10","10","2","0","0","0","2","5","1","0","0","10","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L22969","Update","AkAuxSendAware.Update(float)void","L22918","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSendAware.cs","63","2","76","3","0","0","0","0","0","0","0","5","0","0","0","8","14","3","0","0","0","4","3","1","0","5","8","14","3","0","0","0","0","0","0","0","0","0","0","0"
"L22961","UpdateAuxSend","AkAuxSendAware.UpdateAuxSend()void","L22918","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkAuxSendAware.cs","78","2","89","3","0","0","0","0","0","0","0","0","0","0","0","10","12","3","0","0","0","6","6","0","0","0","10","12","6","0","0","0","0","0","0","0","0","0","0","0"
"L22997",".cctor","AkBankPath.AkBankPath()void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","28","2","31","3","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L22999","UsePosixPath","AkBankPath.UsePosixPath()void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","33","2","33","73","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L23000","UsePlatformSpecificPath","AkBankPath.UsePlatformSpecificPath()void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","34","2","34","85","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L23001","SetToAppendTrailingPathSeparator","AkBankPath.SetToAppendTrailingPathSeparator(bool)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","36","2","36","106","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L23004","Exists","AkBankPath.Exists(string)bool","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","39","2","43","3","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","1","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L23014","GetDefaultPath","AkBankPath.GetDefaultPath()string","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","46","2","46","67","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"L23016","GetFullBasePath","AkBankPath.GetFullBasePath()string","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","48","2","69","3","0","0","0","0","0","0","0","1","0","0","0","7","22","1","0","0","0","3","4","0","0","1","7","22","4","0","0","0","0","0","0","0","0","0","0","0"
"L23032","GetPlatformBasePath","AkBankPath.GetPlatformBasePath()string","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","71","2","81","3","0","0","0","0","0","0","0","1","0","0","0","7","11","1","0","0","0","4","4","0","0","1","7","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L23034","GetPlatformSubDirectory","AkBankPath.GetPlatformSubDirectory()string","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","83","2","93","3","0","0","0","0","0","0","0","0","0","0","0","6","11","2","0","0","0","0","3","0","0","0","6","11","3","0","0","0","0","0","0","0","0","0","0","0"
"L23030","LazyConvertPathConvention","AkBankPath.LazyConvertPathConvention(ref string)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","95","2","110","3","0","0","0","0","0","0","0","0","0","0","0","12","16","3","0","0","0","2","5","1","0","0","12","16","5","0","0","0","0","0","0","0","0","0","0","0"
"L23043","ConvertToWindowsPath","AkBankPath.ConvertToWindowsPath(ref string)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","112","2","117","3","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L23046","ConvertToWindowsCommandPath","AkBankPath.ConvertToWindowsCommandPath(ref string)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","119","2","125","3","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","4","1","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L23041","ConvertToPosixPath","AkBankPath.ConvertToPosixPath(ref string)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","127","2","132","3","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L23028","LazyAppendTrailingSeparator","AkBankPath.LazyAppendTrailingSeparator(ref string)void","L22991","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkBankPath.cs","134","2","149","3","0","0","0","0","0","0","0","0","0","0","0","9","16","3","0","0","0","0","4","1","0","0","9","16","4","0","0","0","0","0","0","0","0","0","0","0"
"L23055","Awake","AkGameObject.Awake()void","L23052","L22899","D:\DataCollection\repos\etodd_Lemma\Wwise\AkGameObject.cs","14","2","23","3","0","0","0","0","0","0","0","1","0","0","0","8","10","1","0","0","0","7","5","0","0","1","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
