"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L104","HelloWord","HelloWord","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\001_Helloworld.cs","3","1","10","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","8","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","2","2","0","0","7","8","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L126","TestCube","TestCube","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\002_cube.cs","2","1","30","2","0","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","26","29","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","13","0","10","0","2","0","0","3","15","0","0","26","29","0","0","0","0","2","0","2","0","2","10","0","2","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L217","GoodsData","GoodsData","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","2","1","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L233","GoodsList","GoodsList","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","12","1","16","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L241","ItemCfg","ItemCfg","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","18","1","22","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L245","JsonLoader","JsonLoader","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","24","1","54","2","0","2","0","0","0","0","0","0","0","0","8","0","0","2","0","0","21","31","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","3","0","10","0","2","0","0","3","5","0","8","21","31","0","0","0","0","2","0","2","0","2","10","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L280","MapNodeData","MapNodeData","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","56","1","65","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L286","MapData","MapData","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","66","1","70","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L293","JsonLoaderMapData","JsonLoaderMapData","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","71","1","85","2","0","2","0","0","0","0","0","0","0","0","6","0","0","1","0","0","8","15","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","2","0","1","0","0","2","2","0","6","8","15","0","0","0","0","1","0","1","0","1","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L302","TestXml","TestXml","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","3","1","17","3","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","15","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","2","0","0","0","0","1","2","0","0","14","15","0","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L309","BuffInfo","BuffInfo","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","19","1","33","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L332","EffectNode","EffectNode","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","35","1","41","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L339","XmlLoader","XmlLoader","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","44","1","66","2","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","21","23","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","11","0","2","0","0","3","7","0","0","21","23","0","0","0","0","2","0","2","0","2","11","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L362","TestCoroutine","TestCoroutine","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","3","1","61","2","0","6","0","0","0","0","0","0","0","0","6","0","0","1","0","0","51","59","0","0","0","0","0","0","0","6","0","3","0","6","0","0","0","8","0","21","0","3","0","0","4","14","0","6","51","59","0","0","0","0","6","0","3","0","6","21","0","3","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L422","TestAwait","TestAwait","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\008_await.cs","3","1","36","3","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","33","34","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","10","0","16","0","1","0","0","2","13","0","0","33","34","0","0","0","0","3","0","1","0","3","16","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L455","TestProtobuf","TestProtobuf","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\009_protobuf.cs","3","1","153","3","0","11","0","0","0","0","0","0","0","0","0","0","0","1","0","0","141","151","0","0","0","0","0","0","0","10","0","1","0","10","0","0","0","26","0","72","0","1","0","0","2","36","0","0","141","151","0","0","0","0","10","0","1","0","10","72","0","1","0","17","0","0","2","0","0","0","0","0","0","1","1","0","0"
"L468","TestPersonProto","TestPersonProto","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\009_protobuf.cs","155","1","279","2","0","7","0","0","0","0","0","0","0","0","2","0","0","1","0","0","109","125","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","11","0","79","0","4","0","0","5","16","0","2","109","125","0","0","0","0","5","0","4","0","5","79","0","4","0","10","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L634","ScriptAttrib","ScriptAttrib","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\ScriptProfiler.cs","3","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L638","ScriptItem","ScriptItem","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\ScriptProfiler.cs","9","1","14","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L644","ScriptObj","ScriptObj","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\ScriptProfiler.cs","16","1","23","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","8","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","0","2","1","0","0","7","8","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L649","Monster","Monster","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\ScriptProfiler.cs","25","1","32","2","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","7","8","0","0","0","0","0","0","0","1","0","1","0","2","1","0","0","0","1","0","0","2","0","0","2","1","0","0","7","8","0","0","0","0","1","0","1","0","2","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L654","ScriptProfiler","ScriptProfiler","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\ScriptProfiler.cs","35","1","173","2","0.285714","6","0","0","0","0","0","0","0","0","6","0","6","6","0","0","124","139","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","10","0","63","0","13","0","4","10","23","0","6","124","139","0","0","0","0","13","0","13","0","13","63","0","13","0","21","0","0","2","0","0","2","0","1","0","0","1","0","0"
"L749","TestUI","TestUI","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\TestUI.cs","2","1","31","2","0","1","0","0","0","0","0","0","0","0","3","0","0","2","0","0","26","30","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","1","0","11","0","1","0","0","2","3","0","3","26","30","0","0","0","0","2","0","1","0","2","11","0","1","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L236","List","List<Transform>","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\Array.cs","15","1","130","3","0.75","1","0","0","0","0","0","0","0","0","20","0","20","20","0","0","69","116","0","2","0","0","0","0","2","23","0","23","1","23","0","0","0","0","0","5","0","23","1","18","6","23","0","20","69","116","0","2","0","2","23","0","23","1","23","5","0","23","1","23","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L394","FCEnumerator","FCEnumerator","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\Delegate.cs","8","1","72","3","0.769231","0","0","0","0","0","0","0","0","0","11","0","10","13","0","0","47","65","0","0","0","0","0","0","0","14","0","12","0","14","0","0","0","0","0","5","0","12","0","10","3","14","0","11","47","65","0","0","0","0","14","0","12","0","14","5","0","12","0","14","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L412","WaitForSeconds","WaitForSeconds","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\Delegate.cs","73","1","78","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","1","0","0","6","6","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L942","Delegate","Delegate","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\Delegate.cs","80","1","93","2","0.333333","0","0","0","0","0","0","0","0","0","2","0","2","4","0","0","12","14","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","0","0","5","0","2","4","5","0","2","12","14","0","0","0","0","5","0","5","0","5","0","0","5","0","5","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L976","FCObject","FCObject","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\FCObject.cs","32","1","87","3","0.3","2","0","0","0","0","0","0","0","0","14","0","14","7","0","0","39","56","0","1","0","0","0","0","1","9","0","9","1","9","0","0","0","0","0","9","0","9","1","3","7","9","0","14","39","56","0","1","0","1","9","0","9","1","9","9","0","9","1","9","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1795","iterator","iterator<_TyKey, _TyValue>","L100","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\inner_class\Map.cs","8","1","30","3","0.75","0","0","0","0","0","0","0","0","0","5","0","4","3","0","0","17","23","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","3","0","3","0","3","1","3","0","5","17","23","0","0","0","0","3","0","3","0","3","3","0","3","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
