"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L116","SetText","HelloWord.SetText(Text)void","L104","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\001_Helloworld.cs","6","5","9","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L148","Start","TestCube.Start()void","L126","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\002_cube.cs","10","5","20","6","0","0","0","0","0","0","0","0","0","0","0","10","11","2","0","0","0","4","5","0","0","0","10","11","5","0","0","0","0","0","0","0","0","0","0","0"
"L180","Update","TestCube.Update()void","L126","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\002_cube.cs","21","5","29","6","0","0","0","0","0","0","0","0","0","0","0","8","9","1","0","0","0","9","5","0","0","0","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L246","TestLoad","JsonLoader.TestLoad(StringA)void","L245","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","27","5","36","6","0","0","0","0","0","0","0","5","0","0","0","5","10","1","0","0","0","1","2","1","0","5","5","10","2","0","0","0","0","0","0","0","0","0","0","0"
"L258","TestWrite","JsonLoader.TestWrite(StringA)void","L245","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","37","5","53","6","0","0","0","0","0","0","0","3","0","0","0","13","17","2","0","0","0","3","8","1","0","3","13","17","8","0","0","0","0","0","0","0","0","0","0","0"
"L294","TestLoad","JsonLoaderMapData.TestLoad(StringA)void","L293","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\003_Json.cs","74","5","84","6","0","0","0","0","0","0","0","6","0","0","0","5","11","1","0","0","0","1","2","1","0","6","5","11","2","0","0","0","0","0","0","0","0","0","0","0"
"L314","PrintXml","TestXml.PrintXml()void","L302","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","12","5","16","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","1","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L340","TestLoad","XmlLoader.TestLoad(StringA)void","L339","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","47","5","55","6","0","0","0","0","0","0","0","0","0","0","0","9","9","2","0","0","0","3","5","1","0","0","9","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L353","TestWrite","XmlLoader.TestWrite(StringA)void","L339","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\004_xml.cs","56","5","65","6","0","0","0","0","0","0","0","0","0","0","0","9","10","1","0","0","0","4","6","1","0","0","9","10","6","0","0","0","0","0","0","0","0","0","0","0"
"L372","Start","TestCoroutine.Start()void","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","11","5","18","6","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","5","5","0","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L393","TestFunc","TestCoroutine.TestFunc()void","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","19","5","23","6","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","3","2","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L399","Step1","TestCoroutine.Step1()System.Collections.IEnumerator","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","24","5","31","6","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","2","5","0","0","0","8","8","5","0","0","0","0","0","0","0","0","0","0","0"
"L417","Step2","TestCoroutine.Step2()System.Collections.IEnumerator","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","32","5","37","6","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","2","3","0","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0"
"L418","OnClieckButton","TestCoroutine.OnClieckButton()void","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","38","5","43","6","0","0","0","0","0","0","0","1","0","0","0","5","6","1","0","0","0","1","2","0","0","1","5","6","2","0","0","0","0","0","0","0","0","0","0","0"
"L419","OnButtonClicked","TestCoroutine.OnButtonClicked(string)void","L362","L103","D:\DataCollection\repos\fcscript_CSharpHotUpdate\UnityDemo\Script\fccode\005_coroutine.cs","45","5","60","6","0","0","0","0","0","0","0","5","0","0","0","11","16","2","0","0","0","1","4","1","0","5","11","16","4","0","0","0","0","0","0","0","0","0","0","0"
