"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L1161","Program","PokeApi.Program","L113","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Program.cs","12","5","25","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","14","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","1","0","2","0","0","3","2","0","0","13","14","0","0","0","0","2","0","2","0","2","1","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L1578","Startup","PokeApi.Startup","L113","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Startup.cs","19","5","92","6","0.4","2","0","0","0","0","0","0","0","0","7","0","2","2","0","0","51","68","0","1","0","0","0","0","1","4","0","4","0","4","0","0","0","1","0","25","0","4","0","2","3","5","0","7","51","74","0","1","0","1","4","0","4","0","4","25","0","4","0","5","0","4","2","0","0","0","4","0","1","0","0","1","0","0"
"L114","ImageController","PokeApi.Controllers.ImageController","L104","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\ImageController.cs","9","3","42","4","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","28","34","0","0","0","0","0","0","0","3","0","2","0","3","0","0","0","2","0","9","0","2","0","0","3","5","0","0","28","34","0","0","0","0","3","0","2","0","3","9","0","2","0","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L183","PokemonController","PokeApi.Controllers.PokemonController","L104","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\PokemonController.cs","11","3","66","4","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","45","56","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","6","0","14","0","3","0","0","4","10","0","0","45","56","0","0","0","0","4","0","3","0","4","14","0","3","0","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L264","ApplicationContext","PokeApi.Data.ApplicationContext","L259","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\ApplicationContext.cs","8","3","68","4","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","54","61","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","19","0","1","0","0","2","2","0","0","54","61","0","0","0","0","2","0","1","0","2","19","0","1","0","2","0","2","1","0","0","0","2","0","0","0","0","1","0","0"
"L347","DataService","PokeApi.Data.DataService","L259","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\DataService.cs","11","3","70","4","0","9","0","0","0","0","0","0","0","0","0","1","0","1","0","0","56","48","0","0","0","0","0","0","0","3","0","2","0","4","1","0","0","7","1","17","0","3","0","0","3","10","0","0","56","60","0","0","0","0","3","0","2","0","4","17","0","3","0","3","0","1","2","0","0","1","1","0","0","0","0","1","0","1"
"L455","InitialCreate","PokeApi.Migrations.InitialCreate","L448","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200514200940_InitialCreate.cs","6","5","103","6","0","0","0","0.163731","3","3","0","3","0","0","0","0","0","3","0","0","175","74","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","13","0","0","0","0","1","3","0","0","175","214","0","18","0","18","21","0","18","0","21","13","0","18","0","3","0","5","24","0","0","0","5","17","1","0","0","3","0","3"
"L557","ModelCreated","PokeApi.Migrations.ModelCreated","L448","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200516135127_ModelCreated.cs","6","5","293","6","0","0","0","0.304884","7","10","0","10","0","0","0","0","0","3","0","0","415","256","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","51","0","0","0","0","1","3","0","0","415","510","0","12","0","12","15","0","12","0","15","51","0","12","0","3","0","9","61","0","0","1","9","45","1","0","0","5","0","10"
"L666","ApplicationContextModelSnapshot","PokeApi.Migrations.ApplicationContextModelSnapshot","L448","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\ApplicationContextModelSnapshot.cs","10","5","230","6","0","0","0","0.567493","7","10","0","10","0.579186","0.554878","0","0","0","1","128","91","165","43","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","11","0","0","0","0","1","1","0","0","165","221","0","0","0","0","1","0","0","0","1","11","0","0","0","1","0","5","51","0","0","0","5","48","0","0","0","1","0","2"
"L133","Pokemon","PokeApi.Model.Pokemon","L692","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","8","3","50","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","43","0","16","0","0","0","0","16","34","0","34","16","34","0","0","0","0","0","15","0","34","16","0","35","34","0","0","41","43","0","16","0","16","34","0","34","16","34","15","0","34","16","34","0","0","13","0","0","1","0","0","0","0","1","1","0","11"
