"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1162","Main","PokeApi.Program.Main(string[])void","L1161","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Program.cs","14","9","17","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1166","CreateHostBuilder","PokeApi.Program.CreateHostBuilder(string[])Microsoft.Extensions.Hosting.IHostBuilder","L1161","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Program.cs","19","9","24","20","0","0","0","0","0","0","0","0","0","0","0","5","6","1","0","0","0","0","0","1","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1580",".ctor","PokeApi.Startup.Startup(Microsoft.Extensions.Configuration.IConfiguration)void","L1578","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Startup.cs","22","9","25","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","1","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L1585","get_Configuration","PokeApi.Startup.Configuration.getMicrosoft.Extensions.Configuration.IConfiguration","L1578","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Startup.cs","27","47","27","51","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1589","ConfigureServices","PokeApi.Startup.ConfigureServices(Microsoft.Extensions.DependencyInjection.IServiceCollection)void","L1578","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Startup.cs","30","9","52","10","0","0","0","0","0","0","0","4","1","0","0","16","23","1","0","0","0","1","13","1","0","4","16","23","13","0","2","0","0","0","0","2","0","0","0","0","0"
"L1667","Configure","PokeApi.Startup.Configure(Microsoft.AspNetCore.Builder.IApplicationBuilder, Microsoft.AspNetCore.Hosting.IWebHostEnvironment, System.IServiceProvider)void","L1578","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Startup.cs","55","9","91","10","0","0","0","0","0","0","0","3","1","0","0","23","31","2","0","0","0","1","11","3","0","3","26","37","11","0","2","0","0","0","0","2","0","0","0","0","0"
"L122",".ctor","PokeApi.Controllers.ImageController.ImageController(PokeApi.Repositories.IPokemonRepository)void","L114","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\ImageController.cs","15","5","18","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L128","GetById","PokeApi.Controllers.ImageController.GetById(int)System.Threading.Tasks.Task<Microsoft.AspNetCore.Mvc.ActionResult<PokeApi.Model.Pokemon>>","L114","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\ImageController.cs","20","5","34","6","0","0","0","0","0","0","0","0","0","0","0","12","15","2","0","0","0","3","5","1","0","0","12","15","5","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","RawPath","PokeApi.Controllers.ImageController.RawPath(string)string","L114","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\ImageController.cs","36","5","41","6","0","0","0","0","0","0","0","0","0","0","0","6","6","1","0","0","0","0","3","1","0","0","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L185",".ctor","PokeApi.Controllers.PokemonController.PokemonController(PokeApi.Repositories.IPokemonRepository)void","L183","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\PokemonController.cs","17","5","20","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L188","GetAll","PokeApi.Controllers.PokemonController.GetAll(string, int, int)System.Threading.Tasks.Task<Microsoft.AspNetCore.Mvc.ActionResult<PokeApi.Services.PagedService<PokeApi.Model.PokemonSerialize>>>","L183","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\PokemonController.cs","22","5","43","6","0","0","0","0","0","0","0","0","0","0","0","18","22","2","0","0","0","5","6","3","0","0","18","22","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","GetByNumber","PokeApi.Controllers.PokemonController.GetByNumber(int)System.Threading.Tasks.Task<Microsoft.AspNetCore.Mvc.ActionResult<PokeApi.Model.PokemonSerialize>>","L183","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\PokemonController.cs","45","5","60","6","0","0","0","0","0","0","0","0","0","0","0","13","16","2","0","0","0","5","6","1","0","0","13","16","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","RetrieveRawUrlImage","PokeApi.Controllers.PokemonController.RetrieveRawUrlImage(int)string","L183","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Controllers\PokemonController.cs","62","5","65","6","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L268",".ctor","PokeApi.Data.ApplicationContext.ApplicationContext(DbContextOptions)void","L264","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\ApplicationContext.cs","10","5","12","6","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","1","0","0","3","3","0","0","2","0","0","0","0","2","0","0","0","0","0"
"L273","OnModelCreating","PokeApi.Data.ApplicationContext.OnModelCreating(ModelBuilder)void","L264","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\ApplicationContext.cs","14","5","67","6","0","0","0","0","0","0","0","0","0","0","0","48","54","1","0","0","0","0","19","1","0","0","48","54","19","0","0","0","0","0","0","0","0","0","0","0","0"
"L375",".ctor","PokeApi.Data.DataService.DataService(PokeApi.Data.ApplicationContext, PokeApi.Repositories.IPokemonRepository, PokeApi.Repositories.ITypeElementRepository, PokeApi.Repositories.IPokemonTypeElementRepository, PokeApi.Repositories.IPokemonWeaknessRepository, PokeApi.Repositories.IPokemonNextEvolutionRepository, PokeApi.Repositories.IPokemonPrevEvolutionRepository)void","L347","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\DataService.cs","21","5","36","6","0","0","0","0","0","0","0","0","0","0","0","16","16","1","0","0","0","0","7","7","0","0","16","16","7","0","0","1","0","0","1","0","0","0","0","0","1"
"L390","InitializeDB","PokeApi.Data.DataService.InitializeDB()void","L347","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\DataService.cs","38","5","48","6","0","0","0","0","0","0","0","0","0","0","0","11","11","1","0","0","0","8","8","0","0","0","11","11","8","0","1","0","0","0","0","1","0","0","0","0","0"
"L391","GetPokemons","PokeApi.Data.DataService.GetPokemons()System.Collections.Generic.List<PokeApi.Model.Pokemon>","L347","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\DataService.cs","50","5","69","6","0","0","0","0","0","0","0","0","0","0","0","8","8","1","0","0","0","1","2","0","0","0","19","20","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","InitializeDB","PokeApi.Data.IDataService.InitializeDB()void","L348","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Data\IDataService.cs","7","7","7","27","0","","","0","","0","0","0","0","0","0","1","1","1","0","0","0","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L459","Up","PokeApi.Migrations.InitialCreate.Up(MigrationBuilder)void","L455","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200514200940_InitialCreate.cs","8","9","93","10","0","0","0","0","0","0","0","0","0","0","0","35","36","1","0","0","0","0","6","1","0","0","81","86","6","0","1","4","0","0","0","1","0","0","0","2","2"
"L544","Down","PokeApi.Migrations.InitialCreate.Down(MigrationBuilder)void","L455","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200514200940_InitialCreate.cs","95","9","102","10","0","0","0","0","0","0","0","0","0","0","0","7","8","1","0","0","0","0","2","1","0","0","7","8","2","0","1","0","0","0","0","1","0","0","0","0","0"
"L547","BuildTargetModel","PokeApi.Migrations.InitialCreate.BuildTargetModel(ModelBuilder)void","L455","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200514200940_InitialCreate.Designer.cs","16","9","126","10","0.285199","3","3","0","3","0.252252","0.253165","0","0","28","20","19","21","1","0","0","0","0","5","1","0","0","79","111","5","0","2","14","0","0","0","2","14","0","0","0","0"
"L558","Up","PokeApi.Migrations.ModelCreated.Up(MigrationBuilder)void","L557","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200516135127_ModelCreated.cs","8","9","201","10","0","0","0","0","0","0","0","0","0","0","0","103","118","1","0","0","0","0","24","1","0","0","171","194","24","0","1","10","0","0","1","1","0","0","0","4","6"
"L642","Down","PokeApi.Migrations.ModelCreated.Down(MigrationBuilder)void","L557","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200516135127_ModelCreated.cs","203","9","292","10","0","0","0","0","0","0","0","0","0","0","0","75","90","1","0","0","0","0","16","1","0","0","75","90","16","0","5","1","0","0","0","5","0","0","0","0","1"
"L644","BuildTargetModel","PokeApi.Migrations.ModelCreated.BuildTargetModel(ModelBuilder)void","L557","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\20200516135127_ModelCreated.Designer.cs","15","9","231","10","0.573284","7","10","0","10","0.589862","0.565217","0","0","128","91","37","39","1","0","0","0","0","11","1","0","0","161","217","11","0","2","44","0","0","0","2","42","0","0","0","2"
"L670","BuildModel","PokeApi.Migrations.ApplicationContextModelSnapshot.BuildModel(ModelBuilder)void","L666","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Migrations\ApplicationContextModelSnapshot.cs","13","9","229","10","0.573284","7","10","0","10","0.589862","0.565217","0","0","128","91","37","39","1","0","0","0","0","11","1","0","0","161","217","11","0","2","44","0","0","0","2","42","0","0","0","2"
"L700",".ctor","PokeApi.Model.Pokemon.Pokemon()void","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","10","5","16","6","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","4","4","0","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L435",".ctor","PokeApi.Model.Pokemon.Pokemon(int, string, string, double, double, string, int, string, double, double, string)void","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","18","5","31","6","0","0","0","0","0","0","0","0","0","0","0","14","14","1","0","0","0","12","11","11","0","0","14","14","11","0","0","2","0","0","1","0","0","0","1","0","1"
"L768","get_Id","PokeApi.Model.Pokemon.Id.getint","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","34","21","34","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L771","set_Id","PokeApi.Model.Pokemon.Id.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","34","26","34","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","get_Number","PokeApi.Model.Pokemon.Number.getint","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","35","25","35","29","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L748","set_Number","PokeApi.Model.Pokemon.Number.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","35","30","35","34","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","get_Name","PokeApi.Model.Pokemon.Name.getstring","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","36","26","36","30","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L750","set_Name","PokeApi.Model.Pokemon.Name.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","36","31","36","35","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L779","get_Image","PokeApi.Model.Pokemon.Image.getstring","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","37","27","37","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","set_Image","PokeApi.Model.Pokemon.Image.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","37","32","37","36","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L783","get_Type","PokeApi.Model.Pokemon.Type.getSystem.Collections.Generic.IList<PokeApi.Model.PokemonTypeElement>","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","38","45","38","49","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L701","set_Type","PokeApi.Model.Pokemon.Type.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","38","50","38","54","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L791","get_Height","PokeApi.Model.Pokemon.Height.getdouble","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","39","28","39","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L752","set_Height","PokeApi.Model.Pokemon.Height.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","39","33","39","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L795","get_Weight","PokeApi.Model.Pokemon.Weight.getdouble","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","40","28","40","32","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L754","set_Weight","PokeApi.Model.Pokemon.Weight.setvoid","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","40","33","40","37","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L799","get_Candy","PokeApi.Model.Pokemon.Candy.getstring","L133","L103","D:\DataCollection\repos\figormartins_pokemon\PokeApi\Model\Pokemon.cs","41","27","41","31","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
