"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L619","AudioSubTypes","CSCore.AudioSubTypes","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\AudioSubTypes.cs","5","2","380","3","1","1","0","0","0","0","0","0","0","0","20","0","20","2","0","0","184","416","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","8","0","2","0","3","0","2","0","20","184","416","0","0","0","0","2","0","2","0","2","8","0","2","0","4","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L843","ChannelMasks","CSCore.ChannelMasks","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\ChannelMasks.cs","12","5","40","6","1","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","10","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","10","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6409","FluentExtensions","CSCore.FluentExtensions","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","12","5","355","6","1","21","0","0.286911","1","10","0","2","0.139535","0.206186","106","0","106","9","48","40","144","290","0","0","0","0","0","0","0","15","0","15","0","15","0","0","0","23","0","81","0","15","0","16","0","38","0","106","198","344","0","22","0","0","19","0","19","0","62","97","0","56","8","43","0","0","28","0","0","0","18","1","0","3","2","4","0"
"L7763","StoppedEventArgs","CSCore.StoppedEventArgs","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\StoppedEventArgs.cs","8","5","47","6","1","0","0","0","0","0","0","0","0","0","18","0","18","0","0","0","15","40","0","2","0","0","0","0","2","4","0","4","0","4","0","2","2","0","0","3","0","4","0","5","0","4","0","18","15","40","0","2","0","2","4","0","4","0","4","3","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10851","TimeConverter","CSCore.TimeConverter","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\TimeConverter.cs","9","5","61","6","1","1","0","0","0","0","0","0","0","0","16","0","16","0","0","0","7","33","0","0","0","0","0","0","0","2","0","2","0","2","0","3","3","0","0","0","0","2","0","3","0","2","0","16","29","53","0","0","0","0","6","0","6","0","10","4","0","10","0","2","0","0","4","0","0","0","0","2","0","0","2","0","0"
"L10881","TimeConverterAttribute","CSCore.TimeConverterAttribute","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\TimeConverterAttribute.cs","8","5","42","6","0.857143","1","0","0","0","0","0","0","0","0","16","0","16","0","0","0","15","35","0","3","0","0","0","0","3","7","0","6","3","7","0","0","0","0","0","5","0","6","3","6","1","7","0","16","15","35","0","3","0","3","7","0","6","3","7","5","0","6","3","9","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L10908","TimeConverterFactory","CSCore.TimeConverterFactory","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\TimeConverterFactory.cs","10","5","241","6","1","4","0","0","0","0","0","0","0","0","85","0","75","3","0","0","108","219","0","1","0","0","0","0","1","9","0","7","0","9","0","0","0","6","0","47","0","7","0","8","0","15","0","85","120","232","0","4","0","4","16","0","14","3","16","50","0","14","3","23","0","0","2","0","0","1","0","1","0","0","1","0","0"
"L1837","WaveFormatExtensible","CSCore.WaveFormatExtensible","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\WaveFormatExtensible.cs","17","5","202","6","0.818182","4","0","0","0","0","0","0","0","0","77","1","74","2","0","0","77","186","0","13","0","0","0","0","4","16","0","10","4","45","1","0","0","9","1","35","0","28","11","9","2","25","0","77","77","186","0","13","0","4","16","0","10","4","45","35","0","28","11","22","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L8141","MmException","CSCore.MmException","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\MmException.cs","9","5","87","6","0.75","1","0","0","0","0","0","0","0","0","27","0","27","1","0","0","32","79","0","3","0","0","0","0","3","9","0","7","2","9","0","0","0","0","0","12","0","7","2","6","2","9","0","27","32","79","0","3","0","3","9","0","7","2","9","12","0","7","2","11","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L6597","SampleAggregatorBase","CSCore.SampleAggregatorBase","L104","L103","D:\DataCollection\repos\filoe_cscore\CSCore\SampleAggregatorBase.cs","8","5","152","6","1","6","0","0","0","0","0","0","0","0","54","4","54","1","0","0","67","145","0","11","0","0","0","0","6","14","0","12","3","21","5","16","17","8","5","29","0","19","4","13","0","22","0","54","67","145","0","11","0","6","14","0","12","3","21","29","0","19","4","24","0","0","3","0","0","0","0","0","0","0","0","2","1"
