"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L791","EncodingFromSubType","CSCore.AudioSubTypes.EncodingFromSubType(Guid)CSCore.AudioEncoding","L619","L103","D:\DataCollection\repos\filoe_cscore\CSCore\AudioSubTypes.Utils.cs","18","9","26","10","0","0","0","0","0","0","0","5","5","0","0","8","9","2","0","0","0","0","5","1","0","5","8","9","5","0","0","0","0","0","0","0","0","0","0","0"
"L797","SubTypeFromEncoding","CSCore.AudioSubTypes.SubTypeFromEncoding(CSCore.AudioEncoding)Guid","L619","L103","D:\DataCollection\repos\filoe_cscore\CSCore\AudioSubTypes.Utils.cs","33","9","39","10","0","0","0","0","0","0","0","5","5","0","0","6","7","2","0","0","0","0","3","1","0","5","6","7","3","0","0","0","0","0","0","0","0","0","0","0"
"L6411","AppendSource","CSCore.FluentExtensions.AppendSource<TInput, TResult>(TInput, Func<TInput, TResult>)TResult","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","22","9","26","10","0","0","0","0","0","0","0","8","8","0","0","5","5","1","0","0","0","0","1","2","0","8","5","5","1","0","0","0","0","0","0","0","0","0","0","0"
"L6425","AppendSource","CSCore.FluentExtensions.AppendSource<TInput, TResult>(TInput, Func<TInput, TResult>, out TResult)TResult","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","37","9","43","10","0","0","0","0","0","0","0","9","9","0","0","7","7","1","0","0","0","0","2","3","0","9","7","7","2","0","0","0","0","0","0","0","0","0","0","0"
"L6430","ChangeSampleRate","CSCore.FluentExtensions.ChangeSampleRate(CSCore.IWaveSource, int)CSCore.IWaveSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","51","9","63","10","0","0","0","0","0","0","0","6","6","0","0","10","13","4","0","0","0","3","7","2","0","6","10","13","7","0","0","0","0","0","0","0","0","0","0","0"
"L6439","ChangeSampleRate","CSCore.FluentExtensions.ChangeSampleRate(CSCore.ISampleSource, int)CSCore.ISampleSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","72","9","84","10","0","0","0","0","0","0","0","7","7","0","0","10","13","4","0","0","0","4","7","2","0","7","10","13","7","0","0","0","0","0","0","0","0","0","0","0"
"L6448","ToStereo","CSCore.FluentExtensions.ToStereo(CSCore.IWaveSource)CSCore.IWaveSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","95","9","118","10","1","1","5","0","1","1","1","8","8","24","20","20","24","5","0","0","0","11","15","1","0","8","20","24","15","0","0","8","0","0","0","7","0","1","0","0"
"L6479","ToStereo","CSCore.FluentExtensions.ToStereo(CSCore.ISampleSource)CSCore.ISampleSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","128","9","139","10","0","0","0","0","0","0","0","8","8","0","0","10","12","4","0","0","0","6","7","1","0","8","10","12","7","0","0","0","0","0","0","0","0","0","0","0"
"L6483","ToMono","CSCore.FluentExtensions.ToMono(CSCore.IWaveSource)CSCore.IWaveSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","149","9","172","10","1","1","5","0","1","1","1","8","8","24","20","20","24","5","0","0","0","11","15","1","0","8","20","24","15","0","0","8","0","0","0","7","0","1","0","0"
"L6492","ToMono","CSCore.FluentExtensions.ToMono(CSCore.ISampleSource)CSCore.ISampleSource","L6409","L103","D:\DataCollection\repos\filoe_cscore\CSCore\FluentExtensions.cs","182","9","193","10","0","0","0","0","0","0","0","8","8","0","0","10","12","4","0","0","0","6","7","1","0","8","10","12","7","0","0","0","0","0","0","0","0","0","0","0"
