"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L466","AnnoTierAttributesWindow","ssi.AnnoTierAttributesWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","15","5","128","6","0.5","5","0","0","0","0","0","0","0","0","4","0","3","4","0","0","78","106","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","9","0","40","0","1","0","1","1","15","0","4","89","114","0","5","0","5","16","0","11","5","16","40","0","11","5","16","0","0","4","0","0","0","0","1","0","0","3","0","0"
"L561","AnnoTierNewFreeSchemeWindow","ssi.AnnoTierNewFreeSchemeWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierNewFreeSchemeWindow.xaml.cs","6","5","49","6","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","34","44","0","0","0","0","0","0","0","4","0","1","0","4","0","0","0","7","0","16","0","1","0","0","2","11","0","0","34","44","0","0","0","0","4","0","1","0","4","16","0","1","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L598","AnnoTierSettingsWindow","ssi.AnnoTierSettingsWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierSettingsWindow.xaml.cs","17","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L600","AnnoTierNewPointSchemeWindow","ssi.AnnoTierNewPointSchemeWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\AnnoTierNewPointSchemeWindow.xaml.cs","20","5","65","6","0.5","3","0","0","0","0","0","0","0","0","3","0","3","2","0","0","39","46","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","9","0","20","0","1","0","1","1","12","0","3","39","46","0","0","0","0","3","0","1","0","3","20","0","1","0","7","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L620","GeometricListControl","ssi.GeometricListControl","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","19","5","100","6","0.5","2","0","0","0","0","0","0","0","0","3","0","3","4","0","0","73","82","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","2","0","28","0","1","0","1","1","7","0","3","73","82","0","0","0","0","5","0","1","0","5","28","0","1","0","16","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L658","AnnoTierNewDiscretePolygonSchemeWindow","ssi.AnnoTierNewDiscretePolygonSchemeWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","23","5","138","6","0.5","5","0","0","0","0","0","0","0","0","3","0","3","3","0","0","93","116","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","11","0","52","0","1","0","1","1","16","0","3","93","116","0","0","0","0","5","0","1","0","5","52","0","1","0","18","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L701","InterpolationWindow","ssi.InterpolationWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\InterpolationWindow.xaml.cs","13","5","600","6","0","10","0","0","0","0","0","0","0","0","17","0","1","4","0","0","468","588","0","3","0","0","0","0","3","29","0","1","1","29","0","0","0","21","0","267","0","1","1","0","2","50","0","17","468","588","0","3","0","3","29","0","1","1","29","267","0","1","1","96","0","0","8","0","0","2","0","1","2","1","1","0","3"
"L745","ComboboxItem","ssi.ComboboxItem","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\InterpolationWindow.xaml.cs","602","5","617","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","16","0","2","0","0","0","0","2","6","0","6","2","6","0","0","0","0","0","3","0","6","2","0","7","6","0","0","14","16","0","2","0","2","6","0","6","2","6","3","0","6","2","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L772","PointAngleTuple","ssi.PointAngleTuple","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\InterpolationWindow.xaml.cs","619","5","634","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","2","0","0","0","0","2","6","0","6","2","6","0","0","0","0","0","2","0","6","2","0","7","6","0","0","13","16","0","2","0","2","6","0","6","2","6","2","0","6","2","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L929","AnnoTierNewPolygonSchemeWindow","ssi.AnnoTierNewPolygonSchemeWindow","L130","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewPolygonSchemeWindow.xaml.cs","20","5","68","6","0.5","3","0","0","0","0","0","0","0","0","3","0","3","2","0","0","38","49","0","0","0","0","0","0","0","3","0","1","0","3","0","0","0","7","0","21","0","1","0","1","1","10","0","3","38","49","0","0","0","0","3","0","1","0","3","21","0","1","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
