"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L483",".ctor","ssi.AnnoTierAttributesWindow.AnnoTierAttributesWindow(ref ssi.AnnoScheme)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","20","9","43","10","0","0","0","0","0","0","0","0","0","0","0","18","24","3","0","0","0","5","12","1","0","0","18","24","12","0","0","0","0","0","0","0","0","0","0","0"
"L500","AddLabel_Click","ssi.AnnoTierAttributesWindow.AddLabel_Click(object, RoutedEventArgs)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","45","9","51","10","0","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","2","4","2","0","0","7","7","4","0","0","0","0","0","0","0","0","0","0","0"
"L506","DeleteLabel_Click","ssi.AnnoTierAttributesWindow.DeleteLabel_Click(object, RoutedEventArgs)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","53","9","60","10","0","0","0","0","0","0","0","1","0","0","0","8","8","2","0","0","0","0","3","2","0","1","8","8","3","0","0","0","0","0","0","0","0","0","0","0"
"L509","Ok_Click","ssi.AnnoTierAttributesWindow.Ok_Click(object, RoutedEventArgs)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","62","9","100","10","0","0","0","0","0","0","0","0","0","0","0","32","39","8","0","0","0","5","19","2","0","0","32","39","19","0","0","0","0","0","0","0","0","0","0","0"
"L532","Cancel_Click","ssi.AnnoTierAttributesWindow.Cancel_Click(object, RoutedEventArgs)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","102","9","106","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L558","Attributes_Click","ssi.AnnoTierAttributesWindow.Attributes_Click(object, RoutedEventArgs)void","L466","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierAttributesWindow.xaml.cs","124","9","127","10","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0","0","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L563",".ctor","ssi.AnnoTierNewFreeSchemeWindow.AnnoTierNewFreeSchemeWindow(ref ssi.AnnoScheme)void","L561","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierNewFreeSchemeWindow.xaml.cs","10","9","19","10","0","0","0","0","0","0","0","0","0","0","0","8","10","1","0","0","0","3","5","1","0","0","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L572","okButton_Click","ssi.AnnoTierNewFreeSchemeWindow.okButton_Click(object, RoutedEventArgs)void","L561","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierNewFreeSchemeWindow.xaml.cs","21","9","30","10","0","0","0","0","0","0","0","0","0","0","0","8","10","2","0","0","0","3","5","2","0","0","8","10","5","0","0","0","0","0","0","0","0","0","0","0"
"L589","cancelButton_Click","ssi.AnnoTierNewFreeSchemeWindow.cancelButton_Click(object, RoutedEventArgs)void","L561","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierNewFreeSchemeWindow.xaml.cs","32","9","36","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L592","Attributes_Click","ssi.AnnoTierNewFreeSchemeWindow.Attributes_Click(object, RoutedEventArgs)void","L561","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierNewFreeSchemeWindow.xaml.cs","38","9","47","10","0","0","0","0","0","0","0","0","0","0","0","9","10","2","0","0","0","1","4","2","0","0","9","10","4","0","0","0","0","0","0","0","0","0","0","0"
"L599",".ctor","ssi.AnnoTierSettingsWindow.AnnoTierSettingsWindow()void","L598","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\AnnoTierSettingsWindow.xaml.cs","19","9","22","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L603",".ctor","ssi.AnnoTierNewPointSchemeWindow.AnnoTierNewPointSchemeWindow(ref ssi.AnnoScheme)void","L600","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\AnnoTierNewPointSchemeWindow.xaml.cs","24","9","34","10","0","0","0","0","0","0","0","0","0","0","0","9","11","1","0","0","0","4","6","1","0","0","9","11","6","0","0","0","0","0","0","0","0","0","0","0"
"L610","okButton_Click","ssi.AnnoTierNewPointSchemeWindow.okButton_Click(object, RoutedEventArgs)void","L600","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\AnnoTierNewPointSchemeWindow.xaml.cs","36","9","58","10","0","0","0","0","0","0","0","0","0","0","0","21","23","5","0","0","0","5","12","2","0","0","21","23","12","0","0","0","0","0","0","0","0","0","0","0"
"L617","cancelButton_Click","ssi.AnnoTierNewPointSchemeWindow.cancelButton_Click(object, RoutedEventArgs)void","L600","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\AnnoTierNewPointSchemeWindow.xaml.cs","60","9","64","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L633",".ctor","ssi.GeometricListControl.GeometricListControl()void","L620","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","24","9","27","10","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","0","1","0","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0"
"L634","editTextBox_KeyDown","ssi.GeometricListControl.editTextBox_KeyDown(object, System.Windows.Input.KeyEventArgs)void","L620","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","30","9","32","10","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","2","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L640","MenuItemSetConfidenceZeroClick","ssi.GeometricListControl.MenuItemSetConfidenceZeroClick(object, RoutedEventArgs)void","L620","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","34","9","47","10","0","0","0","0","0","0","0","0","0","0","0","14","14","4","0","0","0","1","5","2","0","0","14","14","5","0","0","0","0","0","0","0","0","0","0","0"
"L648","MenuItemSetConfidenceOneClick","ssi.GeometricListControl.MenuItemSetConfidenceOneClick(object, RoutedEventArgs)void","L620","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","49","9","62","10","0","0","0","0","0","0","0","0","0","0","0","14","14","4","0","0","0","1","5","2","0","0","14","14","5","0","0","0","0","0","0","0","0","0","0","0"
"L651","GridViewColumnHeader_Click","ssi.GeometricListControl.GridViewColumnHeader_Click(object, RoutedEventArgs)void","L620","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Geometric\GeometricListControl.xaml.cs","64","9","98","10","0","0","0","0","0","0","0","0","0","0","0","33","35","6","0","0","0","1","17","2","0","0","33","35","17","0","0","0","0","0","0","0","0","0","0","0"
"L668",".ctor","ssi.AnnoTierNewDiscretePolygonSchemeWindow.AnnoTierNewDiscretePolygonSchemeWindow(ref ssi.AnnoScheme)void","L658","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","28","9","46","10","0","0","0","0","0","0","0","0","0","0","0","16","19","3","0","0","0","6","10","1","0","0","16","19","10","0","0","0","0","0","0","0","0","0","0","0"
"L683","AddLabel_Click","ssi.AnnoTierNewDiscretePolygonSchemeWindow.AddLabel_Click(object, RoutedEventArgs)void","L658","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","48","9","79","10","0","0","0","0","0","0","0","0","0","0","0","27","32","4","0","0","0","2","18","2","0","0","27","32","18","0","0","0","0","0","0","0","0","0","0","0"
"L688","DeleteLabel_Click","ssi.AnnoTierNewDiscretePolygonSchemeWindow.DeleteLabel_Click(object, RoutedEventArgs)void","L658","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","81","9","89","10","0","0","0","0","0","0","0","0","0","0","0","8","9","2","0","0","0","0","3","2","0","0","8","9","3","0","0","0","0","0","0","0","0","0","0","0"
"L691","OkButton_Click","ssi.AnnoTierNewDiscretePolygonSchemeWindow.OkButton_Click(object, RoutedEventArgs)void","L658","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","91","9","131","10","0","0","0","0","0","0","0","0","0","0","0","32","41","8","0","0","0","6","19","2","0","0","32","41","19","0","0","0","0","0","0","0","0","0","0","0"
"L698","CancelButton_Click","ssi.AnnoTierNewDiscretePolygonSchemeWindow.CancelButton_Click(object, RoutedEventArgs)void","L658","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\AnnoTierNewDiscretePolygonSchemeWindow.xaml.cs","133","9","137","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L723",".ctor","ssi.InterpolationWindow.InterpolationWindow(ssi.Types.Polygon.PolygonUtilities, ssi.Tools.Polygon_Helper.UIElementsController, ssi.Types.Polygon.PolygonHandlerPerformer)void","L701","L103","D:\DataCollection\repos\hcmlab_nova\Controls\Annotation\Polygon\InterpolationWindow.xaml.cs","22","9","41","10","0","0","0","0","0","0","0","0","0","0","0","16","20","2","0","0","0","6","13","3","0","0","16","20","13","0","0","0","0","0","0","0","0","0","0","0"
