"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","LDC","LLDC","LLOC","LOC","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L135","Main","FrequencyListBuilder.Program.Main(string[])void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","15","9","150","10","0","0","0","0","0","0","0","3","0","0","0","111","127","15","0","0","0","6","59","1","0","3","111","136","59","0","0","4","0","0","1","0","1","0","0","3"
"L265","ProcessTarGzArchive","FrequencyListBuilder.Program.ProcessTarGzArchive(System.IO.FileInfo, System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","152","9","198","10","0","0","0","0","0","0","0","0","0","0","0","40","47","5","0","0","0","2","22","3","0","0","40","47","22","0","0","0","0","0","0","0","0","0","0","0"
"L263","ProcessZipArchive","FrequencyListBuilder.Program.ProcessZipArchive(System.IO.FileInfo, System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","200","9","222","10","0","0","0","0","0","0","0","0","0","0","0","21","23","6","0","0","0","1","10","3","0","0","21","23","10","0","0","0","0","0","0","0","0","0","0","0"
"L288","IsValidWord","FrequencyListBuilder.Program.IsValidWord(string, LanguageDetector, string)bool","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","224","9","238","10","0","0","0","0","0","0","0","0","0","0","0","13","15","3","0","0","0","0","5","3","0","0","13","15","5","0","0","0","0","0","0","0","0","0","0","0"
"L319","LogWordlistToFile","FrequencyListBuilder.Program.LogWordlistToFile(System.Collections.Generic.List<System.Collections.Generic.KeyValuePair<string, long>>, System.Collections.Generic.List<System.Collections.Generic.KeyValuePair<string, long>>, string, string, string)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","240","9","250","10","0","0","0","0","0","0","0","0","0","0","0","9","11","2","0","0","0","1","4","5","0","0","9","11","4","0","0","0","0","0","0","0","0","0","0","0"
"L410","DumpListToFile","FrequencyListBuilder.Program.DumpListToFile(string, System.Collections.Generic.IEnumerable<System.Collections.Generic.KeyValuePair<string, long>>)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","252","9","263","10","0","0","0","0","0","0","0","0","0","0","0","11","12","2","0","0","0","0","4","2","0","0","11","12","4","0","0","0","0","0","0","0","0","0","0","0"
"L248","ProcessFilesInDirectory","FrequencyListBuilder.Program.ProcessFilesInDirectory(System.IO.DirectoryInfo, System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","265","9","306","10","0","0","0","0","0","0","0","0","0","0","0","32","42","6","0","0","0","2","17","3","0","0","32","42","17","0","0","0","0","0","0","0","0","0","0","0"
"L326","LogMessage","FrequencyListBuilder.Program.LogMessage(System.IO.StreamWriter, string)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","308","9","312","10","0","0","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","2","2","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0"
"L448","ProcessFilesInDirectory","FrequencyListBuilder.Program.ProcessFilesInDirectory(System.IO.FileInfo[], System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","314","9","335","10","0","0","0","0","0","0","0","0","0","0","0","19","22","4","0","0","0","2","9","3","0","0","19","22","9","0","0","0","0","0","0","0","0","0","0","0"
"L261","ProcessSubtitleGZ","FrequencyListBuilder.Program.ProcessSubtitleGZ(System.IO.Stream, System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)void","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","337","9","361","10","0","0","0","0","0","0","0","0","0","0","0","25","25","4","0","0","0","0","9","3","0","0","25","25","9","0","0","0","0","0","0","0","0","0","0","0"
"L505","ProcessSubtitle","FrequencyListBuilder.Program.ProcessSubtitle(System.IO.Stream, System.Collections.Generic.Dictionary<string, long>, System.IO.StreamWriter)bool","L131","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","363","9","395","10","0","0","0","0","0","0","0","0","0","0","0","31","33","5","0","0","0","0","12","3","0","0","31","33","12","0","0","0","0","0","0","0","0","0","0","0"
"L283","<>f__(void, [System.Collections.Generic.KeyValuePair<string, long>])","FrequencyListBuilder.Program.Main(string[])void.<>f__(void, [System.Collections.Generic.KeyValuePair<string, long>])","L135","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","123","58","133","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L300","<>f__(int, [System.Collections.Generic.KeyValuePair<string, long>, System.Collections.Generic.KeyValuePair<string, long>])","FrequencyListBuilder.Program.Main(string[])void.<>f__(int, [System.Collections.Generic.KeyValuePair<string, long>, System.Collections.Generic.KeyValuePair<string, long>])","L135","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","135","33","135","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","<>f__(int, [System.Collections.Generic.KeyValuePair<string, long>, System.Collections.Generic.KeyValuePair<string, long>])","FrequencyListBuilder.Program.Main(string[])void.<>f__(int, [System.Collections.Generic.KeyValuePair<string, long>, System.Collections.Generic.KeyValuePair<string, long>])","L135","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","136","35","136","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L386","<>f__(bool, [char])","FrequencyListBuilder.Program.IsValidWord(string, LanguageDetector, string)bool.<>f__(bool, [char])","L288","L103","D:\DataCollection\repos\hermitdave_FrequencyWords\src\FrequencyListBuilder\Program.cs","234","49","234","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
