"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L585","Guard","Mpv.NET.Guard","L149","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Guard.cs","5","2","32","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","24","28","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","0","0","9","0","4","0","0","5","4","0","0","24","28","0","0","0","0","4","0","4","0","4","9","0","4","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L247","MpvClientMessageEventArgs","Mpv.NET.API.MpvClientMessageEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvClientMessageEventArgs.cs","5","2","13","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","8","9","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L265","MpvCommandReplyEventArgs","Mpv.NET.API.MpvCommandReplyEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvCommandReplyEventArgs.cs","5","2","16","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","2","0","0","0","0","2","5","0","3","2","5","0","0","0","0","0","2","0","3","2","0","4","5","0","0","10","12","0","2","0","2","5","0","3","2","5","2","0","3","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L284","MpvEndFileEventArgs","Mpv.NET.API.MpvEndFileEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvEndFileEventArgs.cs","5","2","13","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","8","9","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L296","MpvGetPropertyReplyEventArgs","Mpv.NET.API.MpvGetPropertyReplyEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvGetPropertyReplyEventArgs.cs","5","2","19","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","15","0","3","0","0","0","0","3","7","0","4","3","7","0","0","0","0","0","3","0","4","3","0","5","7","0","0","12","15","0","3","0","3","7","0","4","3","7","3","0","4","3","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L322","MpvLogMessageEventArgs","Mpv.NET.API.MpvLogMessageEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvLogMessageEventArgs.cs","5","2","13","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","8","9","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L334","MpvPropertyChangeEventArgs","Mpv.NET.API.MpvPropertyChangeEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvPropertyChangeEventArgs.cs","5","2","16","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","2","0","0","0","0","2","5","0","3","2","5","0","0","0","0","0","2","0","3","2","0","4","5","0","0","10","12","0","2","0","2","5","0","3","2","5","2","0","3","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L350","MpvSetPropertyReplyEventArgs","Mpv.NET.API.MpvSetPropertyReplyEventArgs","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\EventArgs\MpvSetPropertyReplyEventArgs.cs","5","2","16","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","0","2","0","0","0","0","2","5","0","3","2","5","0","0","0","0","0","2","0","3","2","0","4","5","0","0","10","12","0","2","0","2","5","0","3","2","5","2","0","3","2","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L366","MpvAPIException","Mpv.NET.API.MpvAPIException","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\Exceptions\MpvAPIException.cs","5","2","26","3","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","22","0","1","0","0","0","0","1","5","0","4","1","5","0","0","0","3","0","4","0","4","1","0","5","8","0","0","20","22","0","1","0","1","5","0","4","1","5","4","0","4","1","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L412","MpvLogLevelHelper","Mpv.NET.API.MpvLogLevelHelper","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\Helpers\MpvLogLevelHelper.cs","3","2","29","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","27","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","10","0","1","0","0","2","1","0","0","27","27","0","0","0","0","1","0","1","0","1","10","0","1","0","9","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L792","Mpv","Mpv.NET.API.Mpv","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\Mpv.cs","8","2","453","3","0","46","0","0","0","0","0","0","0","0","15","0","0","1","0","0","535","687","0","3","0","0","0","0","3","47","0","32","3","47","0","0","0","73","0","284","0","32","3","0","33","120","0","15","645","687","0","3","0","3","47","0","32","3","47","284","0","32","3","118","0","0","12","0","0","2","0","0","2","3","1","0","6"
"L834","MpvEventLoop","Mpv.NET.API.MpvEventLoop","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\MpvEventLoop.cs","8","2","120","3","0","8","0","0","0","0","0","0","0","0","2","1","0","1","0","0","83","113","0","7","0","0","0","0","4","15","0","10","4","22","1","0","0","7","1","32","0","17","6","0","11","22","0","2","87","113","0","7","0","4","15","0","10","4","22","32","0","17","6","24","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L827","MpvFunctions","Mpv.NET.API.MpvFunctions","L104","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\API\MpvFunctions.cs","6","2","130","3","0.027027","39","0","0","0","0","0","0","0","0","1","1","1","1","0","0","110","125","0","68","0","0","0","0","34","74","0","36","34","108","1","0","0","5","1","49","0","70","34","1","36","79","0","1","110","125","0","68","0","34","74","0","36","34","108","49","0","70","34","78","0","0","19","0","0","1","0","0","0","3","1","0","15"
"L1911","MpvPlayerPositionChangedEventArgs","Mpv.NET.Player.MpvPlayerPositionChangedEventArgs","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\EventArgs.cs","5","2","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","0","1","0","0","0","0","1","3","0","2","1","3","0","0","0","0","0","1","0","2","1","0","3","3","0","0","8","9","0","1","0","1","3","0","2","1","3","1","0","2","1","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2028","KeepOpenHelper","Mpv.NET.Player.KeepOpenHelper","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\KeepOpen\KeepOpenHelper.cs","5","2","36","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","29","32","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","10","0","2","0","0","3","2","0","0","29","32","0","0","0","0","2","0","2","0","2","10","0","2","0","8","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2045","LoadMethodHelper","Mpv.NET.Player.LoadMethodHelper","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\LoadMethod\LoadMethodHelper.cs","5","2","21","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","17","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","5","0","1","0","0","2","1","0","0","16","17","0","0","0","0","1","0","1","0","1","5","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2051","MpvPlayer","Mpv.NET.Player.MpvPlayer","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\MpvPlayer.cs","15","2","1058","3","0.982456","23","0","0.0480559","1","2","0","2","0.0402299","0.0571429","182","1","176","2","42","38","627","1044","0","41","0","0","0","0","20","72","0","56","13","120","1","0","0","30","1","260","0","104","21","56","1","102","0","182","627","1044","0","41","0","20","72","0","56","13","120","260","0","104","21","132","0","0","45","0","0","4","22","1","2","2","1","0","17"
"L2275","MpvPlayerException","Mpv.NET.Player.MpvPlayerException","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\MpvPlayerException.cs","5","2","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","14","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","2","0","0","0","3","0","0","4","5","0","0","12","14","0","0","0","0","3","0","3","0","3","0","0","3","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2092","MpvPlayerHelper","Mpv.NET.Player.MpvPlayerHelper","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\MpvPlayerHelper.cs","3","2","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","6","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","5","6","0","0","0","0","2","0","2","0","2","0","0","2","0","3","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2480","WinFunctions","Mpv.NET.Player.WinFunctions","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\WinFunctions.cs","6","2","27","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","19","22","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","2","0","0","19","22","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","0","3","0","0","1","0","1","0","0","1","0","1"
"L2113","YouTubeDlHelperQuality","Mpv.NET.Player.YouTubeDlHelperQuality","L1910","L103","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET\Player\YouTubeDlQuality\YouTubeDlQualityHelper.cs","5","2","22","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","18","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","7","0","1","0","0","2","1","0","0","15","18","0","0","0","0","1","0","1","0","1","7","0","1","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2533","App","Mpv.NET.WPFExample.App","L2529","L2528","D:\DataCollection\repos\hudec117_Mpv.NET-lib-\src\Mpv.NET.WPFExample\App.xaml.cs","5","2","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
